"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
1942,,dd8238c7e5d3fd390d27e050bc8abdece26ef084,,,,,,,1986,"Elite Systems",,,,,1,,,,,,,,
"5 Exitos de Opera",,3b3ffe7795eba49cf7e541d70e076c27ea4e38f4,,,,,,"(S) (19xx) (Disk 2 of 4) (Abadia del Crimen) [d3]",,,,,,,,,,,,,,,
"Abu Simbel Profanation",,f619bde23be33b5303b92d7614472a91b088f7b5,,,,,,,1986,"Dinamic Software",es,,,,1,,,,,,,,
"Army Moves",,0dcc9e8643d11c61ff815303d39babb5e0fd783f,,,,,,"(UK) (1986) [!]",,,,,,,,,,,,,,,
Barbarian,,56c4c377c9837b96319384b373afcea5025f99a3,,,,,,,1987,"Palace Software",,a,"a 2",,,,,,,,,,
Batman,,9d94d1b5f4494974168de272172df91394bcb350,,,,,,,1986,Ocean,,,,,+2,,,,,,,,
"Bomb Jack",,f9d8371297dd1053cff741167944ea58652cee73,,,,,,,1986,"Elite Systems",,,,,XOR,,,XOR,,,,,
"Boulder Dash",,41148894e0b24dda9ecf7cbd583117bcf6aacba4,,,,,,,1984,"Prism Leisure",,,,,,,,FMR,,,,,
"Castle Master",,b03ef4e577611f0fcd4285be8afb7fe5fa9ca8eb,,,,,,"(UK,F,G) (1990) [a1]",,,,,,,,,,,,,,,
Commando,,faa1ef50a6946ad71b9ca7c32262867099dfcd77,,,,,,"(UK) (1985) [t3]",,,,,,,,,,,,,,,
"Dragon Ninja",,8f1f074ca455ee3cdb85e83d36c17f8c8c51f407,,,,,,"(UK) (1988) [!]",,,,,,,,,,,,,,,
Elite,,e609a9223b47c246a25a6ef6cec2c7cc76bd496d,,,,,,"(UK) (1986) (GOLD Version)",,,,,,,,,,,,,,,
"Game Over",,75e38a1e05206e0d7ec024294431bf5835ff970d,,,,,,,1986,"Dinamic Software",,,,,1,,,,,,,,
Ghostbusters,,45f8270fbe3a84b21a2b366895a695ad6c813562,,,,,,,1985,Activision,,,,,,,,,,,,,
"Ghouls 'N' Ghosts",,c0aaa0ee50bd143f878e27d4d651f431a6615893,,,,,,"(UK) (1989) [!]",,,,,,,,,,,,,,,
"Great Escape, The",,da6e3c1db508f4b74b3a4d7e4fb8f2cfe8a2b3ae,,,,,,"(UK) (1986) [a2]",,,,,,,,,,,,,,,
Gryzor,,7d4c71de0fa9bf8ecd98173c72d13ca3663b2b7c,,,,,,,1987,Ocean,,a,"a 1",,,,,,,,,,
"Hobbit, The",,d136b42c466e21161a524df21e028d61d336cfbc,,,,,,,1985,"Melbourne House",,,,,,,,,,,,,
"Jet Set Willy",,beee9df7017d6d494fac95454a34b7c6ca083801,,,,,,"(UK) (1985) [a1]",,,,,,,,,,,,,,,
"La Aventura Original",,506e7bc0018a7a904c8dfc3a2989b80faf9cb262,,,,,"Aventura Original, La",(es),1989,"Aventuras AD",,,"[CPM Version]",,,,,,,,,,
"Last Ninja 2, The",,5236a475f6c43d6941a116457258caabe3044b07,,,,,,"(UK) (1988) [a1]",,,,,,,,,,,,,,,
"Manic Miner",,4435e96492a63db64e88cd75057ed10f75604fb9,,,,,,,1985,"Software Projects - Amsoft",,a,"a 1",,,,,,,,,,
"Match Day II",,8121170951f2c130217e8ffdd56a9403dfd3b631,,,,,,,1987,Ocean,,a,"a 1",,,,,,,,,,
"Micro Club 11",,1d066a245457790c698dfe29d9dc63ddf28b987f,,,,,,"(UK) (1991) (Disk 2 of 2) (Bubble Bobble)",,,,,,,,,,,,,,,
"Mike Gunner",,4f6851e6b12ed46b7b8aed5dc9fb8d4a20ac7a82,,,,,,"(S) (1988) (LightGun) [!][d1]",,,,,,,,,,,,,,,
"Myth - History in the Making",,62bc26e301bb56226ae74b98eb77a73d96bf55d2,,,,,,,1989,"System 3 Software",,,,,XOR,,,XOR,,,,,
Nemesis,,ae11e87059314e02d23cb79e41e8684fc8b8e78a,,,,,,"(UK) (1987) (CPM) [!]",,,,,,,,,,,,,,,
"Psycho Pig UXB",,c959728b22a031ea1c7905b08bf6caafb3dd0472,,,"Psycho Pig U.X.B.",,,,1988,"US Gold",,a,"a 1",,,,,,,,,,
Pyjamarama,,53c55353929e700a40e3e8cf0ff18e22f07b242b,,,,,,,1984,"Mikro-Gen - Amsoft",,,,,,,,,,,,,
"Rick Dangerous",,faa8e2ef9a060ad4782c9ee6ae3af69f9e48d403,,,,,,"(UK) (1989) (CPM) [!]",,,,,,,,,,,,,,,
R-Type,,db1e4adb4e64f14e3f9ee8d3a61966f664897f7b,,,,,,"(UK) (1987) [a3]",,,,,,,,,,,,,,,
Shinobi,,766b1c1e5473883dcdfc264cae5f5b5df9712db8,,,,,,"(UK) (1988) [!]",,,,,,,,,,,,,,,
"Solid Gold",,d768596d5d953071d9bcde42509fbc77a4d6943c,,,Gauntlet,,,,1986,"US Gold",,a,"a 3; [CPM Version]",,,,,,,,,,
"Target Renegade",,6bd65dcce3720245936ac6911ac552980472cdb8,,,,,,"(UK) (1988) [a5]",,,,,,,,,,,,,,,
