"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Barbarian II",,8194bc2eb3af0c0d57d765dae10ea38fa5d9526b,,,,,,,1990,Ocean,,,,,,,,,,,,,
"Batman the Movie",,425881938d49a810da7ea90ee7b641aed31b0df3,,,"Batman - The Movie",,,,1990,Ocean,,a,"a 1",,,,,,,,,,
"Burnin' Rubber",,23ebe7747263e3a976267ca2465d29fa77c845a3,,,"Burnin' Rubber",,,,1990,Ocean,,,,,,,,,,,,,
"Crazy Cars 2",,b508acf81f604b2336758c16546c443c1214c2e9,,,"Crazy Cars 2",,,,1990,Titus,,a,"a 1",,,,,,,,,,
"Dick Tracy",,1c7ac7ab1d571dfa3ee1ad1f2bdd7f9bac9bc8ac,,,"Dick Tracy",,,,1990,Titus,,,,,,,,,,,,,
"Enforcer, The",,56fa6b5636f9135ddff25bae0cb26bf5acb00022,,,"The Enforcer",,"Enforcer, The",,1990,Trojan,,,,,,,,,,,,,
"Fire and Forget 2",,9712010b8a875fd124f30a6a06ee24d12a46654f,,,"Fire and Forget 2",,,,1990,Titus,,,,,,,,,,,,,
Klax,,1fe33ab83f61b729afa42bb56086a7db1c5dc7db,,,Klax,,,,1990,Domark,,a,"a 1",,,,,,,,,,
Mystical,,35dfc292310768a5ba46fe8b641551f6a77a8ffa,,,Mystical,,,,1990,Infogrames,,,,,,,,,,,,,
"Navy Seals",,754aea95c7fd4c7a61433fb2459bc2f00881940e,,,"Navy Seals",,,,1990,Ocean,,a,"a 1",,,,,,,,,,
"No Exit",,4891370b716c843e94dd784c2eb25b8d2dea4ccd,,,"No Exit",,,,1990,Tomahawk,,a,"a 1",,,,,,,,,,
"Operation Thunderbolt",,99a77cbafcf3744b2a1dff50a8968ab90a065625,,,"Operation Thunderbolt",,,,1990,Ocean,,a,"a 1",,,,,,,,,,
Pang,,ea98ec9bba1d1bd4c180453ef41e0ec5ccc35d69,,,Pang,,,,1990,Ocean,,a,"a 1",,,,,,,,,,
"Panza Kick Boxing",,4b7e88f1e939172ac5d3b48aadcb978cb1d93f9f,,,"Panza Kick Boxing",,,,1991,Loriciel,,,,,,,,,,,,,
Plotting,,5143eff7374e83f798d21fbdb7e952f95faa9e1f,,,Plotting,,,,1990,Ocean,,a,"a 1",,,,,,,,,,
"Pro Tennis Tour",,541e138f789d4951c2eea9a9810c320b7a9ff6a7,,,"Pro Tennis Tour",,,,1990,Ubisoft,,a,"a 1",,,,,,,,,,
"Robocop 2",,cde9a92af3c6b8e219188395d6fdcba43ff5a449,,,"Robocop 2",,,,1990,Ocean,,a,"a 1",,,,,,,,,,
"Skeet Shoot",,61269b204c3188e14da303e7c778271b92dfc4ae,,,"Skeet Shoot",,,,1990,Trojan,,,,,,,,,,,,,
"Super Pinball Magic",,f9f22a19bc35c4a032e0563e8e8753c66929bd03,,,"Super Pinball Magic",,,,1991,Loricel,,,,,,,,,,,,,
Switchblade,,d460637e306e3b8783cb298698de748df92557cd,,,Switchblade,,,,1990,Gremlin,,a,"a 1",,,,,,,,,,
"Tennis Cup 2",,8a6df955e93465ffe74ca8108cb85b5312470366,,,"Tennis Cup 2",,,,1990,Loriciel,,,,,,,,,,,,,
"Tin Tin on the Moon",,92c5f229b4d6366611c074a9ca73a1ff1669a679,,,"Tin Tin on the Moon",,,,1990,Infogrames,,,,,,,,,,,,,
"Wild Streets",,fe8d1ad76beb42261da2499f7fc16817f4636377,,,"Wild Streets",,,,1990,Titus,,a,"a 1",,,,,,,,,,
"World of Sports",,92c7f2bb892fe9af4856ffa14e1229012f341d97,,,"World of Sports",,,,1990,Epyx,,a,"a 1",,,,,,,,,,
