"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
100000Pyramid,,53b44dbabc9881b8eaa7bb722d17f31901a3dd71,,,100000Pyramid,,,,,,,,,,,,,,,,,,
"221B Baker Street",,de407484674bd15e124f2c502b361a415e14bd52,,,"221B Baker Street",,,"(1986)(Datasoft)(Side B)",,,,,,,,,,,,,,,
"221B Baker Street",,2819e924a5507e9a0509cbc4b711813043f8dfe8,,,"221B Baker Street",,,"(1986)(Datasoft)(Side A)[cr Digital Gang]",,,,,,,,,,,,,,,
"221B Baker Street",,56d5d0d3d91a768e8047d92d46f3ae7bf8567185,,,"221B Baker Street",,,"(1986)(Datasoft)(Side B)[cr Digital Gang]",,,,,,,,,,,,,,,
"2400 A.D.",,6f32418850fa522019233743e19ceac5bd961c95,,,"2400 A.D.",,,"(1987)(Chuckles - Origin)(Disk 1 of 2)",,,,,,,,,,,,,,,
"2400 A.D.",,d2bd45634da8461e6da24c0989da4e2e94f46ac7,,,"2400 A.D.",,,"(1987)(Chuckles - Origin)(Disk 2 of 2)(Player)",,,,,,,,,,,,,,,
"2400 A.D.",,a2c5c30543ac1d6fd4b40f229b0c90eaaaf90dd8,,,"2400 A.D.",,,"(1987)(Chuckles - Origin)[Blank Player Disk]",,,,,,,,,,,,,,,
"3 in 1 College & Pro Football",,28d701ec87a35e0a29b8319191dc3b353fa9632b,,,"3 in 1 College & Pro Football",,,"(1984)(Lance Haffner)",,,,,,,,,,,,,,,
"3-D Docking Mission",,9f19c22d9694a24a7393a557e6104b8cb73fb4f8,,,"3-D Docking Mission",,,"(1978)(Programma International)",,,,,,,,,,,,,,,
A.I.,,df7ccbcd3a6e8af229bc1e51d284d49d4f812c67,,,A.I.,,,(1987)(Scholastic),,,,,,,,,,,,,,,
A2.TRILOGY,,49a08aaa2eaa91bf3cfa3ba031e45c673653622a,,,A2.TRILOGY,,,,,,,,,,,,,,,,,,
"A2-FS1 Flight Simulator",,b544d873349b44c5b776521b07ca9879858a6cc2,,,"A2-FS1 Flight Simulator",,,(1981)(subLOGIC),,,,,,,,,,,,,,,
a2-fs2,,b76cd44acdace50083fc37bfb02e7147fdfd0e21,,,a2-fs2,,,(v2),,,,,,,,,,,,,,,
a2-fs2,,a55fc4b483cd1abc64b23b4703d65d073f08bbe7,,,a2-fs2,,,(stockscenery),,,,,,,,,,,,,,,
ABM,,c766c8b5d91ff1ed16a6b80ed59fef88d08165b4,,,ABM,,,(1980)(Muse),,,,,,,,,,,,,,,
ABM,,aa97ac5aac86d2fa614434af3377072926a10e1c,,,ABM,,,"(1980)(Muse) & Invasion Force (19xx)(Gordon Lurie) & Missile Defense (1981)(On-Line Systems) & Norad (19xx)(-) & Planet Protector (19xx)(-)[cr] & Rocket Command (1980)(Bozo NYC)",,,,,,,,,,,,,,,
Abuse,,006a38795987765f3d95750cee2b81049cee029a,,,Abuse,,,,,,,,,,,,,,,,,,
"Abyssal Zone, The",,e97fee4aac6d53f9bf5198718a1fc35614303df9,,,"Abyssal Zone, The",,,"(1984)(Salty Software)(Side B)[cr Black Bag - Incorrigibles]",,,,,,,,,,,,,,,
"Abyssal Zone, The",,5d06416c570d9409b2ad992c5c95ab131bbd7a0a,,,"Abyssal Zone, The",,,"(1984)(Salty Software)(Side A)[cr Black Bag - Incorrigibles]",,,,,,,,,,,,,,,
"Acid Trap",,48ea277c1fb432a2d2cbf40b32426027cb779514,,,"Acid Trap",,,"(1982)(Demetrius Cross)",,,,,,,,,,,,,,,
"Advanced Blackjack",,fcdcfcb367d0f6526289ddae5632b7182c762663,,,"Advanced Blackjack",,,"(1983)(Muse)[cr Whip]",,,,,,,,,,,,,,,
Adventure,,aa7277fbe1d61962bdd685b37d7e4903ee48362c,,,Adventure,,,"(1980)(A Bit Better Associates)",,,,,,,,,,,,,,,
"Adventure - 1",,e346b9b14f887ddfc2b1ce6e556c061b660c2edf,,,"Adventure - 1",,,(19xx)(-),,,,,,,,,,,,,,,
"Adventure - Only the Fittest Shall Survive, The v3.5",,dd55402ed09ff97e6c12c1d53a55aa83a9b858d6,,,"Adventure - Only the Fittest Shall Survive, The v3.5",,,"(1985)(Green Valley Publishing)",,,,,,,,,,,,,,,
"Adventure 4 - Voodoo Castle",,10885c566d30a06c53786c223474a7875286eaaa,,,"Adventure 4 - Voodoo Castle",,,"(1980)(Adventure International)",,,,,,,,,,,,,,,
"Adventure Constuction Set",,75d3eb3ea8e6a917ef119ecf0604675159ca5a64,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 5 of 6)",,,,,,,,,,,,,,,
"Adventure Constuction Set",,709c7b6c230cade49f233dbd6261cb6f046477d7,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 6 of 6)",,,,,,,,,,,,,,,
"Adventure Constuction Set",,72d0ed56b5e9eb23c7f34ff75e662ffc7d4c5877,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 4 of 6)",,,,,,,,,,,,,,,
"Adventure Constuction Set",,6fa372fa33f8eb90898aa572f6506baae73c7cb3,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 1 of 6)[cr Blade]",,,,,,,,,,,,,,,
"Adventure Constuction Set",,8ca42145c70ac0ddf5855319abb63e3189de4436,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 1 of 6)[cr Black Bag]",,,,,,,,,,,,,,,
"Adventure Constuction Set",,4e59d127661ad2b19ef5edab5efdb610b452199e,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 1 of 6)",,,,,,,,,,,,,,,
"Adventure Constuction Set",,d2616d0038a39cf7d97441b0d612bfa5ae541a9a,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 2 of 6)",,,,,,,,,,,,,,,
"Adventure Constuction Set",,b5c9e3d650cc7fe5c1620ce8f339d2efffc6e73d,,,"Adventure Constuction Set",,,"(1985)(Electronic Arts)(Disk 3 of 6)",,,,,,,,,,,,,,,
"Adventure Creater G10a",,4037514ff8f2c274869370f3b009da7224e3ecc4,,,"Adventure Creater G10a",,,,,,,,,,,,,,,,,,
"Adventure Master",,ae9b594b3e7ab510c0f7404a88c3b092eeeae7bc,,,"Adventure Master",,,"(1984)(CBS Software)(Side B)",,,,,,,,,,,,,,,
"Adventure Master",,47f4e7140af9f3282f40592be4b32db0c6f54979,,,"Adventure Master",,,"(1984)(CBS Software)(Side A)",,,,,,,,,,,,,,,
"Adventure to Atlantis",,53216b65ca64eb787e27ac00cdaf0c96f506ba16,,,"Adventure to Atlantis",,,"(1982)(Synergistic Software)[a]",,,,,,,,,,,,,,,
"Adventure to Atlantis",,e58230572df58529e749c176552022e91c18f34b,,,"Adventure to Atlantis",,,"(1982)(Synergistic Software)",,,,,,,,,,,,,,,
Adventure-1_Kidnapped_LostDutchman'sGold_MadScientist_MarsMission_StarWars,,445de1e2d1b179c4579c7fecb11622e5ebfb744e,,,Adventure-1_Kidnapped_LostDutchman'sGold_MadScientist_MarsMission_StarWars,,,,,,,,,,,,,,,,,,
AdventureCreator,,4037514ff8f2c274869370f3b009da7224e3ecc4,,,AdventureCreator,,,,,,,,,,,,,,,,,,
Adventurer-Plus,,cf15fe2a5c8ecc0aecea4cb9d9906559dbb142ca,,,Adventurer-Plus,,,,,,,,,,,,,,,,,,
"Adventures of Buckaroo Banzai, The",,9e625df4fdf3fcf6e1b854c47190617b111ff12f,,,"Adventures of Buckaroo Banzai, The",,,"(19xx)(-)(Side A)[cr]",,,,,,,,,,,,,,,
