"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"007 - The Living Daylights",,e8f5c448b571c2a45eb3b06f732e1adf70dc7b9b,,,,,,,1987,Domark,gb,,,,,,,,,,,,
"1 Million B.C",,ed244dfb9da056fc22ead872e93784eba5ff95f0,,,"Voyage Through Time - 1 Million B.C.",,,,19xx,"Peterborough T.A.P.S.",ca,,[k-file],,,,,,,,,,
180,,55ae4d41bff22e0ceeae74fc0976fb3136e4be44,,,,,,,1986,Mastertronic,gb,,[k-file],,,,,"Mr. Bacardi",,,,,
180,,851dcea931d0e0c44b99666c78b2bbf2faefa2a8,,,,,,,,,,,,,,,,,,,,,
180,,55ae4d41bff22e0ceeae74fc0976fb3136e4be44,,,,,,,1986,Mastertronic,gb,,[k-file],,,,,"Mr. Bacardi",,,,,
"221B Baker Street",,6dc9368c92e14e0bf826ddea8affd5426444ca5e,,,,,,"v 1.0; (Side A)",1987,Datasoft,us,,,,,,,"The Bounty",,,,,
"221B Baker Street",,24ed1b91527e332016eff2eaf6bab17cd2156422,,,,,,"v 1.0; (Side B)",1987,Datasoft,us,,,,,,,"The Bounty",,,,,
"221B Baker Street",,4c478e347e2fe77fc09f32fec863c5363ab76374,,,,,,"v 1.0; (Side B)",1987,Datasoft,us,,,,,,,,,,,,
"221B Baker Street",,1b9abdeef5d803f156784d6d48d378c7866b4607,,,,,,"v 1.0; (Side A)",1987,Datasoft,us,,,,,,,,,,,,
"221B Baker Street",,f6c4e5123f35ab1682308845764330723a4b2d7d,,,"221B Baker Street - Case Library #1",,,,1987,Datasoft,us,,,,,,,,,,,,
"221B Baker Street",,b4270792c718e761a2fce321738d85a73b28f22d,,,"221B Baker Street - Case Library #2",,,,1987,Datasoft,us,,,,,,,,,,,,
"235 U",,3a3bb07a9b8510eb0cb639b7a170b5fce0743d31,,,,,,,1992,"L.K. Avalon",pl,,[k-file],,,,,"Mr. Bacardi",,,,,
"235 U",,527f6657403df0fe080dc74951b0ae1b09634cf3,,,,,,,1992,"L.K. Avalon",pl,a,"a 1; [k-file]",,,,,"Mr. Bacardi",,,,,
"3-D Noughts & Crosses",,b1754de9bea36f5d200a667a54bbe8db9ba6adbd,,,,,,,1984,"Ad Astra",gb,,,,,,,,,,,,
"3-D Noughts & Crosses",,b1754de9bea36f5d200a667a54bbe8db9ba6adbd,,,,,,,1984,"Ad Astra",gb,,,,,,,,,,,,
"3-D Red Baron",,af67eb69fffa7e4fb8e5752aa7b39c409907b1b2,,,,,,,1980,"Sebree's Computing",us,,[k-file],,,,,,,,,,
"3-D Red Baron",,af67eb69fffa7e4fb8e5752aa7b39c409907b1b2,,,,,,,1980,"Sebree's Computing",us,,[k-file],,,,,,,,,,
"3-D Tic-Tac-Toe",,983f741f92c07bb8ca9d9beeb64158ba50cb6670,,,,,,,1979,Atari,us,,[k-file],,,,,,,,,,
"3-D Tic-Tac-Toe",,a23aafc72b4330be18f3391fdd0adb0cb2e46c38,,,,,,,1979,Atari,us,,,,,,,,,,,,
3d24,,8ee344c2a0001e8dc7c8e009814b4c49a3a8d8c2,,,,,,,1993,"L.K. Avalon",pl,b,"b 1",,,,,,,"Mr. Bacardi",,,
3d24,,8ee344c2a0001e8dc7c8e009814b4c49a3a8d8c2,,,,,,,1993,"L.K. Avalon",pl,b,"b 1",,,,,,,"Mr. Bacardi",,,
