"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
Aircars_,,533c497761cc802624708108bc9ef6e7c4f40296,,,,,,(1995),,,,,,,,,,,,,,,
ARENA_Football_'95_,,9f2f4c41386c9c32bddd561b4b93b339948959e7,,,,,,(1995),,,,,,,,,,,,,,,
"Atari Karts",,9c96e6c2195ce56aa930e677a041b35bd9b8bc7e,,,,,,,1995,Atari,,,,,,,,,,,,,
"Attack of the Mutant Penguins",,01dc37e7a9d03246a93bcb8c6a3116cb6391ed31,,,,,,,1996,"Sunrise Games",,,,,,,,,,,,,
Barkley_Shut_Up_And_Jam_,,988897fd517ebd86742971205f3b29f9d70b5686,,,,,,(Prototype)_(1995),,,,,,,,,,,,,,,
Breakout_2000_,,c8f29d04dacce1a83a1c93ab351737795d0f55db,,,,,,(1996),,,,,,,,,,,,,,,
Brett_Hull_Hockey_,,580d48099e08b86d7e24d3a2c37c70804cd3f52c,,,,,,(1995),,,,,,,,,,,,,,,
"Brutal Sports Football",,11570d1795158c83d2e9326c232167c5eef7e2f3,,,,,,,1994,Atari,,,,,,,,,,,,,
"Bubsy in Fractured Furry Tails",,752d6e1ed185f9db49230f42319a573a44e32397,,,,,,,1994,Atari,,,,,,,,,,,,,
"Cannon Fodder",,0c195676be099f4594ce1d5a38303f6cce899dc5,,,,,,,1995,Atari,,,,,,,,,,,,,
"Checkered Flag",,4d0cc8d248a8bd0fc4b8169c5d5772e59c073c59,,,,,,,1994,Atari,,,,,,,,,,,,,
"Club Drive",,6588f7d677463d0ef10cf905d44a2581fd9dd055,,,,,,,1994,Atari,,,,,,,,,,,,,
Cybermorph,,e00ab55f555fd1fe63b4fce66a9b8ffe3485963e,,,,,,,1993,Atari,,,,,,,,,,,,,
"Defender 2000",,13a4084bd5be1cca21d83d4c26b5b8e5cf1a3e30,,,,,,,1996,Atari,,,,,,,,,,,,,
Doom2_v98,,8b8e9dc97f868b185d7d7c590d33c0c6d5a0c0c2,,,,,,,,,,,,,,,,,,,,,
"Double Dragon V",,d66b4e5f9ac27d53f0d781c741e420698630b9fc,,,,,,,1995,Atari,,,,,,,,,,,,,
"Dragon - The Bruce Lee Story",,da7f5dac4317ab0258f54da436abb8d89e530f27,,,,,,,1994,Atari,,,,,,,,,,,,,
"Evolution - Dino Dudes",,179b511464abcda5a5de9f971bd5cb5775d8c313,,,,,,,1994,Atari,,,,,,,,,,,,,
"Fever Pitch Soccer",,5be3da69a64b779d064d139968fadbe1c475c715,,,,,,,1995,Atari,,,,,,,,,,,,,
"Fight For Your Life",,61214ae7df3e7e806ed86c359f3db37575a273cd,,,,,,,1996,Atari,,a,"a 2",,,,,,,,,,
Flashback,,824613451be0b99020fc02e5dba15c45e76fc8c2,,,,,,,1995,Atari,,,,,,,,,,,,,
"Flip Out",,886cbbaa434d6e1e7fc4401bb6d176c2788c4d19,,,,,,,1995,Atari,,,,,,,,,,,,,
Flip_Out!_,,61d4db841c090ae3104eb20b6087160ff80e7a12,,,,,,(1995),,,,,,,,,,,,,,,
"Hover Strike",,94e615e7a57f7c08645322870121bb32310298f5,,,,,,,1995,Atari,,,,,,,,,,,,,
Hyper_Force_,,037396347d65d1a8b56e7db361d737ab2070118f,,,,,,(1995),,,,,,,,,,,,,,,
"I War",,3db485aaa28a817f468739a85e3f25741c3855ad,,,,,,,1995,Atari,,,,,,,,,,,,,
"Iron Soldier",,8bdefc60dd1734315e1c145e29abf41800f908cb,,,,,,,1994,Atari,,,,,,,,,,,,,
"Kasumi Ninja",,2327112b9c6f9b0e49c55def0adb8119ee39ce29,,,,,,,1994,Atari,,,,,,,,,,,,,
"Missile Command 3D",,3ea9053a63a3b0165ccec91e85f0e699a998dc0a,,,,,,,1995,Atari,,,,,,,,,,,,,
Missile_Command_VR_,,0e95613020d1b3a0ac76d994423c6f15ddfe9703,,,,,,(1995),,,,,,,,,,,,,,,
"NBA Jam TE",,b9c8ff2d26fe1e91ecd6d59b9f3f76c5b5650f26,,,,,,,1996,"High Voltage Software",,,,,,,,,,,,,
"Phase Zero",,57882eef55ea903c5eb8a2fcccdd3313474d7a59,,,,,,"Copyright Public Domain",2000,,,,[BIN],,,,,,,,,,
"Pinball Fantasies",,4733cf2ede2713467f2a80b052ab94edf6dfe534,,,,,,,1995,Atari,,,,,,,,,,,,,
"Pitfall - The Mayan Adventure",,25611b1cff1384db72cc5422dbe70555e5bbd32c,,,,,,,1995,Atari,,,,,,,,,,,,,
"Power Drive Rally",,75ee0ab0daba31284a1dff27f3c247885f5a427a,,,,,,,1995,"Time Warner",,,,,,,,,,,,,
Raiden,,9d2f894da3f25944c2f33e3a109ae8d0d951d329,,,,,,,1994,Atari,,,,,,,,,,,,,
"Ruiner Pinball",,e0db2fdea7f95743c1ef452b7d289f5fe8158e33,,,,,,,1995,Atari,,,,,,,,,,,,,
"Sensible Soccer",,f0914be41331e3045bbc04225044dc3c73fd9de1,,,,,,,1995,Atari,,,,,,,,,,,,,
Space_War_2000_,,0e7aacd65ecd6210d914e1c00a98dce5d00569af,,,,,,(2001),,,,,,,,,,,,,,,
"Super Burnout",,9a58bc0c8843fd00a2871c01b91fec206408bf80,,,,,,,1995,Atari,,,,,,,,,,,,,
"Super Cross 3D",,c71e0bc9eeed8670c6e7ccc7a0fe3b815d7bac83,,,,,,,1995,Atari,,a,"a 1",,,,,,,,,,
"Super Cross 3D",,c888594306f15797b9ce3caa88c06c72104f8b74,,,,,,,1995,Atari,,,,,,,,,,,,,
Syndicate,,a226086571c857f3796fd664bbc2c8fe99c78224,,,,,,,1995,Ocean,,,,,,,,,,,,,
"Tempest 2000",,3828d2f953224d06b5fe7ab3644d6a75fdfe79e3,,,,,,,1994,Atari,,,,,,,,,,,,,
"Theme Park",,24da4fe776ae9daa86cf643c703ec0f399c77521,,,,,,,1995,Ocean,,,,,,,,,,,,,
"Tiny Toons Adventures - Plucky Duck DEMO",,032aa31cef116bfba8632c14bc2fce5bc44ff137,,,,,,(1994),,,,,,,,,,,,,,,
Total_Carnage_,,4566b33799a7c65b3e9643383d0282172ff619a5,,,,,,(1995),,,,,,,,,,,,,,,
Towers_II_,,f8c14fab50ab04a025d15c3410a6698f6e4c61d3,,,,,,(1996),,,,,,,,,,,,,,,
"Trevor McFur in the Crescent Galaxy",,88e86085932af10dfb8c94032f73a5992a30b55c,,,,,,,1993,Atari,,,,,,,,,,,,,
"Troy Aikman NFL Football",,4c6a6432ea0bc198f900f4ebdb8a3a7a34475d84,,,,,,,1995,Atari,,,,,,,,,,,,,
"Ultra Vortek",,311e41ebba1b78f514bf16789ddb7e7e8dfb47ff,,,,,,,1995,"Beyond Games",,,,,,,,,,,,,
"Val D'Isere Skiing & Snowboarding",,02253d93eef375c8334f1f77a2d8b72fff7a94c6,,,,,,,1994,Atari,,,,,,,,,,,,,
"White Men Can't Jump",,4d16596ac2d991435599e1fe03292adfb25c346d,,,,,,,1995,Atari,,,,,,,,,,,,,
Worms_,,641b07f93e8df03ab8b9bf1e8dc56e2889f247f8,,,,,,(1996),,,,,,,,,,,,,,,
Zero_5_,,b68de2cd49cb70e92f2415837edfa7ab46770a78,,,,,,(1997),,,,,,,,,,,,,,,
"Zool 2",,32ff3811f8f6df8a2bb56165c62227a3a480e55c,,,,,,,1994,Atari,,,,,,,,,,,,,
Zoop,,52ec786f7536ab043dc24725af94068cad2b0ec3,,,,,,,1996,Atari,,,,,,,,,,,,,
