"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"1 Across 2 Down",,d7f2ddbd23bdf40a35cadf1afa7ab4de33bd2e98,,,,,,"Copyright Licenceware; (Disk 1 of 2)",1990/12,"Amiganuts United",,,[AMOS],,,,,,,,,,
"1 Across 2 Down",,36e62f5e4c7d40cc7bbd3eb4223f6a39b5abbab8,,,,,,"Copyright Licenceware; (Disk 2 of 2)",1990/12,"Amiganuts United",,,[AMOS],,,,,,,,,,
"10 out of 10 - Dinosaurs",,d8719ac6537f868aac629496d526dc9c08d8852f,,,,,,"(Disk 1 of 2)",1993,"10 out of 10 Educational Systems",,,,,,,,,,JiSM,,,
"10 out of 10 - Dinosaurs",,d06a5fd4154aa9ed4570065e9e9cd85323c45efa,,,,,,"(Disk 2 of 2)",1993,"10 out of 10 Educational Systems",,b,"b ootable for Word Fit for Dinosaurs",,,,,,,JiSM,,,
"10 out of 10 - English",,62b3930ebb50fcb9c6ea428ed22e406a7b7b92e2,,,,,,,1993,"10 out of 10 Educational Systems",,,,,,,,,,,,,
"10 out of 10 - German",,a4c0218b35fa10f45d35d3550cb7ceea14deb598,,,,,,,1994,"10 out of 10 Educational Systems",,,,,,,,,,,,,
"10 out of 10 - Junior Essentials",,6bb9fdd5f0f6c5dbf531fc5473cc1533bee56e20,,,,,,"(Disk 1 of 2)",1993,"10 out of 10 Educational Systems",,,,,,,,,,,,,
"10 out of 10 - Junior Essentials",,e5e177f30a4c81155e0bbf6aa4ae44356a93a3b7,,,,,,"(Disk 2 of 2)",1993,"10 out of 10 Educational Systems",,,,,,,,,,,,,
"10 out of 10 - Maths Algebra",,b0db5e62a38aec61344d65c6b59e8c76b4a41159,,,,,,"(Disk 2 of 2)",1993,"10 out of 10 Educational Systems",,b,"b ootable for Word Fit for Maths Algebra",,,,,,,,,,
"10 out of 10 - Maths Algebra",,699909622b5456a875bd4677bcb0bd2b368ea9ec,,,,,,"(Disk 1 of 2)",1993,"10 out of 10 Educational Systems",,,,,,,,,,JiSM,,,
"1000 Miglia",,6ff1ca595fbe33712a7f057b61688599b4f2be80,,,,,,(en-it),1992,Simulmondo,,b,"b crack",,"+1 Goonies",,,Goonies,,,,,
"1000 Miglia",,579073673ec3ea59b4dacfcaf28923e39cf205c6,,,,,,(en-it),1992,Simulmondo,,b,"b crack - rootblock",,"+1 Goonies",,,Goonies,,,,,
"1000 Miglia",,eaddf843dc591889800ec1536e7930f06603a419,,,,,,(en-it),1992,Simulmondo,,b,"b crack",,,,,CSL,,,,,
"1000cc Turbo",,95aa1c5aea3d7c3eff46ed9615966af7be826e4d,,,,,,,1990,Energize,,a,"a 1",,,,,CSL,,,,,
"1000cc Turbo",,f18bb78577c5610f94f523fe850c27f8dd73c28f,,,,,,,1990,Energize,,,,,"+3 Supplex",,,CSL,,,,,
"1000cc Turbo",,fd740c2c42105f94708dbcacea957cd439e06d92,,,,,,,1990,Energize,,,,,,,,CSL,,,,,
"1497 - Five Years After v0.10",,3f9a741b83c1bba09d87100478fd7b7507cb9c22,,,"1497 - Five Years After",,,"v 0.10; Copyright Shareware",1996/08/24,"Hagqvist, Jan",,a,"a savegame; [KS2.0]",,,,,,,,,,
"17 + 4",,fcf616af0deb4c9bd8e433490593b8f6fbbe1acb,,,,,,,1991,"media Verlagsgesellschaft",de,,,,,,,,,,,,
1869,,f441ff751c216f5db6d698601f39a11ceb984d6c,,,,,,"(AGA); (Disk 1 of 4); (A)",1993,Flair,,,,,,,,FLT,,,,,
1869,,4897cf0c8d2a408b6119342eb2f8b6c446570da1,,,,,,"(AGA); (Disk 1 of 4); (A)",1993,Flair,,a,"a 1",,,,,FLT,,,,,
1869,,1e05785162431fad4257c726dfffe671922839bc,,,,,,"(AGA); (DE); (Disk 3 of 4); (C)",1993,"Max Design",,,,,,,,,,,,,
1869,,f5d4a0628721f3ed3f32e59552f7752c9fe675b3,,,,,,"(AGA); (DE); (Disk 4 of 4); (D)",1993,"Max Design",,,,,,,,,,,,,
1869,,2106d2bcfb4219db84a9696524550aa5661580e2,,,,,,"(AGA); (Disk 2 of 4); (B)",1993,Flair,,,,,,,,,bamcopy,,,,
1869,,5452321971ab911e292b2fc19f590a24e5c1cafa,,,,,,"(AGA); (DE); (Disk 1 of 4); (A)",1993,"Max Design",,,,,,,,1,,,,,
1869,,0cc85412bcb77374cfe6c2e480a3737150c0e35e,,,,,,"(AGA); (Disk 4 of 4); (D)",1993,Flair,,,,,,,,,bamcopy,,,,
1869,,c9771ae77aaf3e2afae835818835d5adbb0f15f6,,,,,,"(AGA); (DE); (Disk 2 of 4); (B)",1993,"Max Design",,,,,,,,,,,,,
1869,,ff0faa9c1dfe8f1d1a84ea4f0f32609459c12478,,,,,,"(AGA); (Disk 1 of 4); (A)",1993,Flair,,a,"a 2 cracktro removed",,,,,FLT,,,,,
"1869 - Erlebte Geschichte Teil I",,897aaedf3850ae3eb6109d5c6d3f837759e8f5a9,,,,,,"(Disk 3 of 3); (C)",1992,"Max Design",de,a,"a savegame",,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,19b7355d80090029035ab8a1886ef76544feb732,,,,,,"(Disk 1 of 3); (A)",1992,"Max Design",de,,,,,,,1,,,,,
"1869 - Erlebte Geschichte Teil I",,2a6e4273ff860ddcc892e60dce08c978addd17c8,,,,,,"(Disk 2 of 3); (B)",1992,"Max Design",de,,,,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,922d8f551c22aff68bbc0c33af2bb64442858b82,,,,,,"(Disk 2 of 3); (B)",1992,"Max Design",de,,,,,,,TRSI,,,,,
"1869 - Erlebte Geschichte Teil I",,194889a62a20fd2568bc62eaffe2928de51805aa,,,,,,"(Disk 2 of 3); (B)",1992,"Max Design",de,b,"b corrupt files",,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,e0f2d15d2e1774061204c0241a9dc5ec62736feb,,,,,,"(Disk 1 of 3); (A)",1992,"Max Design",de,,"[cp manual code]",,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,a31aa857d4384df67775269e445d8adc0216c463,,,,,,"(Disk 3 of 3); (C)",1992,"Max Design",de,a,"a 2",,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,763b52ab9cc5e896949d8456ed1c7eaf6a6dde58,,,,,,"(Disk 1 of 3); (A)",1992,"Max Design",de,,[docs],,,,,TRSI,,,,,
"1869 - Erlebte Geschichte Teil I",,8566c15de94e6fc96f86985d220f71b679e4ea94,,,,,,"(Disk 1 of 3); (A)",1992,"Max Design",de,b,"b corrupt file",,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,a77bc57ee623a1fa123ad1a67e0ff363a49fe5a2,,,,,,"(Disk 3 of 3); (C)",1992,"Max Design",de,,,,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,582655b32d0c1626dd274536a14ac46fe8e6c6c0,,,,,,"(Disk 3 of 3); (C)",1992,"Max Design",de,a,"a 3",,,,,,,,,,
"1869 - Erlebte Geschichte Teil I",,a39f35b323f0bfa15fe2fe377bb624682dfdc426,,,,,,"(Disk 1 of 3); (A)",1992,"Max Design",de,a,"a 1; [docs]",,,,,TRSI,,,,,
"1869 - Erlebte Geschichte Teil I",,7dde7ab281cc30b93cec246fb7e5a8b0b6cc57a2,,,,,,"(Disk 3 of 3); (C)",1992,"Max Design",de,a,"a 4 savegame",,,,,,,,,,
"1869 - History Experience Part I",,4b59721fd81222a672ec79f452270b3e472a2299,,,,,,"(Disk 1 of 3); (A)",1993,Flair,,,,,,,,FLT,,,,,
"1869 - History Experience Part I",,69965cac9b134b037a6a640ed2779a145f50b897,,,,,,"(Disk 1 of 3); (A)",1993,Flair,,a,"a cracktro removed",,,,,FLT,,,,,
"1869 - History Experience Part I",,2184e84ac6f9bb1a78d754977ee7b41151a78b63,,,,,,"(Disk 3 of 3); (C)",1993,Flair,,,,,,,,,bamcopy,,,,
"1869 - History Experience Part I",,285499b8482e2c84029e30ddfaf13e2f25abd774,,,,,,"(Disk 2 of 3); (B)",1993,Flair,,,,,,,,,,,,,
"1869 - History Experience Part I",,07ca92aeeb990d2e744f44dfd614aa1897504802,,,,,,"(Disk 3 of 3); (C)",1993,Flair,,a,"a baddump",,,,,,,,,,
"1869 - History Experience Part I",,fb1392b93dc91500cc3c13ad23c9214030b98de2,,,,,,"(Disk 3 of 3); (C)",1993,Flair,,,,,,,,,,,,,
"1943 - The Battle of Midway",,d29d1ebfe0df9b9d09886cacb772bf2431eaf923,,,,,,,1989,GO!,,a,"a 1",,"+3 Piranhas",,,PNA,,,,,
"1943 - The Battle of Midway",,2d43d3f2d2ac09e75d3d6e63f000111970b821fe,,,,,,,1989,GO!,,,,,,,,PNA,,,,,
"1943 - The Battle of Midway",,b5dcd7655ad2e0211d6fb5a7643f934a766a0640,,,,,,,1989,GO!,,,,,"+3 Piranhas",,,PNA,,,,,
"1943 - The Battle of Midway",,866ff2befa87a0ba2a99a9ac42d93c688328145e,,,,,,,1989,GO!,,a,"a 1",,,,,PNA,,,,,
"1943 - The Battle of Midway",,502810acec0c4d9d48c1663074e0d76295c13e62,,,,,,,1989,GO!,,,,,"+3 Piranhas",,,PNA,,"Robocop BBS",,,
"1943 - The Battle of Midway",,48453d582590a32ea71fb0578fa4ee89866ace04,,,,,,,1989,GO!,,a,"a 2",,"+3 Piranhas",,,PNA,,,,,
"1943 - The Battle of Midway",,bbafa043e7eb21f6d1e3c92ccf27ff0bc79973da,,,,,,,1989,GO!,,a,"a 2",,,,,PNA,,,,,
1990,,13aa8aa069cb642f014e7044d2971d8501ef6418,,,,,,,1990,Pielago,de,,,,,,,,,Pirates,,,
"1st Division Manager",,9a561a5989979fee008651f114004289f53dd38a,,,,,,,1992,Codemasters,,a,"a 9",,,,,NMS,,,,,
"1st Division Manager",,f81360dc0b1e15105d23e92e18dfe97bc18a92ed,,,,,,,1992,Codemasters,,a,"a 1",,,,,NMS,,,,,
"1st Division Manager",,d8dd1f356ea88fe66c460147c9eeb128ec898561,,,,,,,1992,Codemasters,,,,,,,,NMS,,,,,
"1st Division Manager",,84b313fca84c0831bcbb01877dcfa4f22d875a0f,,,,,,,1992,Codemasters,,a,"a 8",,,,,NMS,,,,,
"1st Division Manager",,e48f8f060617dfc085061a807efafecde90fb1ff,,,,,,,1992,Codemasters,,a,"a 7",,,,,NMS,,,,,
"1st Division Manager",,116e03ccadf7478d10dfbcb3b69480ffc36f7b94,,,,,,,1992,Codemasters,,a,"a 6",,,,,NMS,,,,,
"1st Division Manager",,5086b12e12904172356b23ef6113b50bb3a391cc,,,,,,,1992,Codemasters,,a,"a 4",,,,,NMS,,,,,
"1st Division Manager",,17845e92a014a289e1a53f8e8136869b369a7abf,,,,,,,1992,Codemasters,,a,"a 2",,,,,NMS,,,,,
"1st Division Manager",,536970764f1549372aa60c232a548436025dfaea,,,,,,,1992,Codemasters,,a,"a 12",,,,,NMS,,,,,
