"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
005,,005,,,005,,,,,,,,,,,,,,,,,,
10yard,,vs10yardj,,,"Vs 10-Yard Fight",,,(Japan),,,,,,,,,,,,,,,
10yard,,vs10yardu,,,"Vs 10-Yard Fight",,,"(US, Taito license)",,,,,,,,,,,,,,,
10yard,,vs10yard,,,"Vs 10-Yard Fight",,,"(World, 11/05/84)",,,,,,,,,,,,,,,
10yard,,10yard,,,"10-Yard Fight",,,"(World, set 1)",,,,,,,,,,,,,,,
10yard,,10yard85,,,"10-Yard Fight '85",,,"(US, Taito license)",,,,,,,,,,,,,,,
10yard,,10yardj,,,"10-Yard Fight",,,(Japan),,,,,,,,,,,,,,,
1941,,1941u,,,"1941: Counter Attack",,,"(USA 900227)",,,,,,,,,,,,,,,
1941,,1941,,,"1941: Counter Attack",,,"(World 900227)",,,,,,,,,,,,,,,
1941,,1941j,,,"1941: Counter Attack",,,(Japan),,,,,,,,,,,,,,,
1941,,1941r1,,,"1941: Counter Attack",,,(World),,,,,,,,,,,,,,,
1942,,1942w,,,1942,,,"(Williams Electronics license)",,,,,,,,,,,,,,,
1942,,1942p,,,1942,,,"(Tecfri PCB, bootleg?)",,,,,,,,,,,,,,,
1942,,1942a,,,1942,,,"(Revision A)",,,,,,,,,,,,,,,
1942,,1942abl,,,1942,,,"(Revision A, bootleg)",,,,,,,,,,,,,,,
1942,,1942b,,,1942,,,"(First Version)",,,,,,,,,,,,,,,
1942,,1942,,,1942,,,"(Revision B)",,,,,,,,,,,,,,,
1943,,1943u,,,"1943: The Battle of Midway",,,"(US, Rev C)",,,,,,,,,,,,,,,
1943,,1943,,,"1943: The Battle of Midway",,,(Euro),,,,,,,,,,,,,,,
1943,,1943b,,,"1943: Battle of Midway",,,"(bootleg, hack of Japan set)",,,,,,,,,,,,,,,
1943,,1943ja,,,"1943: Midway Kaisen",,,(Japan),,,,,,,,,,,,,,,
1943kai,,1943kai,,,"1943 Kai: Midway Kaisen",,,(Japan),,,,,,,,,,,,,,,
1944,,1944,,,"1944: The Loop Master",,,"(USA 000620)",,,,,,,,,,,,,,,
1944,,1944d,,,"1944: The Loop Master",,,"(USA 000620 Phoenix Edition) (bootleg)",,,,,,,,,,,,,,,
1944,,1944j,,,"1944: The Loop Master",,,"(Japan 000620)",,,,,,,,,,,,,,,
1945kiii,,1945kiii,,,"1945k III",,,"(newer, OPCX2 PCB)",,,,,,,,,,,,,,,
19xx,,19xxj,,,"19XX: The War Against Destiny",,,"(Japan 960104, yellow case)",,,,,,,,,,,,,,,
19xx,,19xxjr1,,,"19XX: The War Against Destiny",,,"(Japan 951225)",,,,,,,,,,,,,,,
19xx,,19xxjr2,,,"19XX: The War Against Destiny",,,"(Japan 951207)",,,,,,,,,,,,,,,
19xx,,19xxar1,,,"19XX: The War Against Destiny",,,"(Asia 951207)",,,,,,,,,,,,,,,
