"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"2020 Super Baseball",,fe448ae2c065dff8b0c2aacc35f9d9ee9432b04f,,,"2020 Super Baseball",,,(J),,,,,,,,,,,,,,,
"2020 Super Baseball",,260dee7c9494d0977d19843d33775243a4b45002,,,"2020 Super Baseball",,,"(U) [b1]",,,,,,,,,,,,,,,
"2020 Super Baseball",,f285d6b3717a571002a5e9e0b732f08f100d2514,,,"2020 Super Baseball",,,(U),,,,,,,,,,,,,,,
"2020 Super Baseball",,749f25ff2349e35c84933b307554d0fe29e1ff08,,,"2020 Super Baseball",,,"(J) [a1][hI]",,,,,,,,,,,,,,,
"2020 Super Baseball",,1e7607e65aebe59dcb205ea8b0f64e58d7e23623,,,"2020 Super Baseball",,,"(J) [h1C]",,,,,,,,,,,,,,,
"2020 Super Baseball",,a5d9fabcdd1df0cfca6e51aef4a5c42f66bcade2,,,"2020 Super Baseball",,,"(J) [hI]",,,,,,,,,,,,,,,
"3 Ninjas Kick Back",,b619576a51a3968e243028a830a455d40cf92e78,,,"3 Ninjas Kick Back",,,(U),,,,,,,,,,,,,,,
"3 Ninjas Kick Back",,8b7f2439f6672c0d04a833830f46cb6ae8cefa17,,,"3 Ninjas Kick Back",,,"(U) [T+Ger1.00_Star]",,,,,,,,,,,,,,,
"3 Ninjas Kick Back",,01afb5a46122b797c9afaccfe9131549fd4e54ab,,,"3 Ninjas Kick Back",,,"(U) [T+Fre1.00_GenerationIX]",,,,,,,,,,,,,,,
"3ji no Wide Shou",,f64768fa10c69a99531e9d17c74134e540244064,,,"BS 3ji no Wide Shou",,,(J),,,,,,,,,,,,,,,
"3ji no Wide Shou",,8016d1d9db9af87d59edba7a4be39f46f7561253,,,"BS 3ji no Wide Shou",,,"(J) [h1]",,,,,,,,,,,,,,,
"3x3 Eyes - Juuma Houkan",,f2d5f5e116840d899c2e94926c862f386668ffe9,,,"3x3 Eyes - Juuma Houkan",,,"(J) [h2C]",,,,,,,,,,,,,,,
"3x3 Eyes - Juuma Houkan",,b6214c20d83d70f6f83a79f4496486e30f424e17,,,"3x3 Eyes - Juuma Houkan",,,(J),,,,,,,,,,,,,,,
"3x3 Eyes - Juuma Houkan",,d8afbc5b52992356e522615e401ded29e3fdaee8,,,"3x3 Eyes - Juuma Houkan",,,"(J) [h1C]",,,,,,,,,,,,,,,
"3x3 Eyes - Juuma Houkan",,ebe0518fcbff721c8fff3b4f7b1d6a2f628559b8,,,"3x3 Eyes - Juuma Houkan",,,"(J) [b1]",,,,,,,,,,,,,,,
"3x3 Eyes - Juuma Houkan",,c74c3e9d56031cb07a8e5cb1f6ccf17ee40020ab,,,"3x3 Eyes - Juuma Houkan",,,"(J) [f1]",,,,,,,,,,,,,,,
"3x3 Eyes - Seima Kourinden",,29b2d1026b3625beb73c5862d477c2302d509f45,,,"3x3 Eyes - Seima Kourinden",,,"(J) [o1]",,,,,,,,,,,,,,,
"3x3 Eyes - Seima Kourinden",,3b04986bd3ba2a5e49155cd395f51d2389bffa51,,,"3x3 Eyes - Seima Kourinden",,,(J),,,,,,,,,,,,,,,
"3x3 Eyes - Seima Kourinden",,ae88e262bb231839c6c4dae5ea991b8940943076,,,"3x3 Eyes - Seima Kourinden",,,"(J) [b1]",,,,,,,,,,,,,,,
"3x3 Eyes - Seima Kourinden",,5a6caecc51cf872366713782754e67ea383bc77b,,,"3x3 Eyes - Seima Kourinden",,,"(J) [b2]",,,,,,,,,,,,,,,
