"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"005",@,"005",@,@,"005",@,@,"",@,@,@,@,@,@,@,@,@,@,@,@
"100lions",@,"100lions",@,@,"100 Lions",@,@,"(10219211, NSW/ACT)",@,@,@,@,@,@,@,@,@,@,@,@
"10yard",@,"10yard",@,@,"10-Yard Fight",@,@,"(World, set 1)",@,@,@,@,@,@,@,@,@,@,@,@
"10yard",@,"10yard85",@,@,"10-Yard Fight '85",@,@,"(US, Taito license)",@,@,@,@,@,@,@,@,@,@,@,@
"10yard",@,"10yardj",@,@,"10-Yard Fight",@,@,"(Japan)",@,@,@,@,@,@,@,@,@,@,@,@
"11beat",@,"11beat",@,@,"Eleven Beat",@,@,"",@,@,@,@,@,@,@,@,@,@,@,@
"18w",@,"18w",@,@,"18 Wheeler",@,@,"(set 1)",@,@,@,@,@,@,@,@,@,@,@,@
"18w",@,"18w2",@,@,"18 Wheeler",@,@,"(set 2)",@,@,@,@,@,@,@,@,@,@,@,@
"18wheelr",@,"18wheelr",@,@,"18 Wheeler",@,@,"(deluxe) (Rev A)",@,@,@,@,@,@,@,@,@,@,@,@
"18wheelr",@,"18wheels",@,@,"18 Wheeler",@,@,"(standard)",@,@,@,@,@,@,@,@,@,@,@,@
"18wheelr",@,"18wheelu",@,@,"18 Wheeler",@,@,"(upright)",@,@,@,@,@,@,@,@,@,@,@,@
"1941",@,"1941",@,@,"1941: Counter Attack",@,@,"(World 900227)",@,@,@,@,@,@,@,@,@,@,@,@
"1941",@,"1941j",@,@,"1941: Counter Attack",@,@,"(Japan)",@,@,@,@,@,@,@,@,@,@,@,@
"1941",@,"1941r1",@,@,"1941: Counter Attack",@,@,"(World)",@,@,@,@,@,@,@,@,@,@,@,@
"1941",@,"1941u",@,@,"1941: Counter Attack",@,@,"(USA 900227)",@,@,@,@,@,@,@,@,@,@,@,@
"1942",@,"1942",@,@,"1942",@,@,"(Revision B)",@,@,@,@,@,@,@,@,@,@,@,@
"1942",@,"1942a",@,@,"1942",@,@,"(Revision A)",@,@,@,@,@,@,@,@,@,@,@,@
"1942",@,"1942abl",@,@,"1942",@,@,"(Revision A, bootleg)",@,@,@,@,@,@,@,@,@,@,@,@
"1942",@,"1942b",@,@,"1942",@,@,"(First Version)",@,@,@,@,@,@,@,@,@,@,@,@
"1942",@,"1942h",@,@,"Supercharger 1942",@,@,"",@,@,@,@,@,@,@,@,@,@,@,@
"1942",@,"1942p",@,@,"1942",@,@,"(Tecfri PCB, bootleg?)",@,@,@,@,@,@,@,@,@,@,@,@
"1942",@,"1942w",@,@,"1942",@,@,"(Williams Electronics license)",@,@,@,@,@,@,@,@,@,@,@,@
"1943",@,"1943",@,@,"1943: The Battle of Midway",@,@,"(Euro)",@,@,@,@,@,@,@,@,@,@,@,@
"1943",@,"1943b",@,@,"1943: Battle of Midway",@,@,"(bootleg, hack of Japan set)",@,@,@,@,@,@,@,@,@,@,@,@
"1943",@,"1943bj",@,@,"1943: Midway Kaisen",@,@,"(bootleg)",@,@,@,@,@,@,@,@,@,@,@,@
"1943",@,"1943j",@,@,"1943: Midway Kaisen",@,@,"(Japan, Rev B)",@,@,@,@,@,@,@,@,@,@,@,@
"1943",@,"1943ja",@,@,"1943: Midway Kaisen",@,@,"(Japan)",@,@,@,@,@,@,@,@,@,@,@,@
"1943kai",@,"1943kai",@,@,"1943 Kai: Midway Kaisen",@,@,"(Japan)",@,@,@,@,@,@,@,@,@,@,@,@
"1943mii",@,"1943mii",@,@,"1943: The Battle of Midway Mark II",@,@,"(US)",@,@,@,@,@,@,@,@,@,@,@,@
"1943",@,"1943u",@,@,"1943: The Battle of Midway",@,@,"(US, Rev C)",@,@,@,@,@,@,@,@,@,@,@,@
"1943",@,"1943ua",@,@,"1943: The Battle of Midway",@,@,"(US)",@,@,@,@,@,@,@,@,@,@,@,@
"1944",@,"1944",@,@,"1944: The Loop Master",@,@,"(USA 000620)",@,@,@,@,@,@,@,@,@,@,@,@
"1944",@,"1944d",@,@,"1944: The Loop Master",@,@,"(USA 000620 Phoenix Edition) (bootleg)",@,@,@,@,@,@,@,@,@,@,@,@
"1944",@,"1944j",@,@,"1944: The Loop Master",@,@,"(Japan 000620)",@,@,@,@,@,@,@,@,@,@,@,@
"1945kiii",@,"1945kiii",@,@,"1945k III",@,@,"(newer, OPCX2 PCB)",@,@,@,@,@,@,@,@,@,@,@,@
"1945kiii",@,"1945kiiin",@,@,"1945k III",@,@,"(newer, OPCX1 PCB)",@,@,@,@,@,@,@,@,@,@,@,@
"1945kiii",@,"1945kiiio",@,@,"1945k III",@,@,"(older, OPCX1 PCB)",@,@,@,@,@,@,@,@,@,@,@,@
"39in1",@,"19in1",@,@,"19 in 1 MAME bootleg",@,@,"",@,@,@,@,@,@,@,@,@,@,@,@
