"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Baseball Stars",,8ece00f21ae49ed4777a9c990b2782465ef95380,,,,,,"v 1.10; (en-ja)",1998,"Saurus - SNK",,,,,,,,,,,,,
"Baseball Stars Color",,5a9792d7674ead92c08fb6f2d108b26e47a696bf,,,,,,(en-ja),1999,"Saurus - SNK",,,,,,,,,,,,,
"Baseball Stars Color",,2838e8857305111c1ca7574712ad23b9cfd9a10f,,,,,,(en-ja),1999,"Saurus - SNK",,a,"a 1",,,,,,,,,,
"Baseball Stars Color",,22666d9d5a1e39e4809c9708bda3e53316bae07b,,,,,,(en-ja),1999,"Saurus - SNK",,,,,,,,,,1,,,
"Big Bang Pro Wrestling",,51b9f5a0b233b0c9782cf522324a3a437c06c26f,,,,,,(en),2000,SNK,jp,,,,,,,,,,,,
"Bikkuriman 2000",,94e99063f6be3414510da473977432f75c7c8a97,,,"Bikkuriman 2000 Viva!",,,,2000,Sega,jp,,,,,,,,,,,,
"Biomotor Unitron",,74ef25a02284ea81dfba00a02098ab46656ed4a9,,,,,,(en-ja),1999,Yumekobo,jp,,,,,,,,,,,,
"Biomotor Unitron",,66d8222317b473813c2a26cf2e65a063c62cdff7,,,,,,,1999,Yumekobo,,a,"a 1",,,,,,,,,,
"Biomotor Unitron",,ff74d5877bf58164419710888923e46b9cfb415e,,,,,,,1999,Yumekobo,,,,,,,,,,,,,
"Bust-A-Move Pocket",,5e8c84b9a4b10aa1c3abbfdea60aef90a8b7db7d,,,,,,,1999,"SNK - Taito",us,,,,,,,,,,,,
"Cool Boarders Pocket",,843b8c0560ee4ce9d966ea354857dddc80283b3b,,,,,,(en-ja),2000,"UEP Systems",,a,"a 1",,,,,,,,,,
"Cool Boarders Pocket",,2930551088bc97a407824178f23dfa8d0b6a551f,,,,,,(en-ja),2000,"UEP Systems",,,,,,,,,,,,,
"Cool Cool Jam",,f0f9fb71be6fde25f9db8dcb8c6d6aa859b21697,,,,,,,2000,SNK,jp,,,,,,,,,,,,
"Cool Cool Jam",,77d7bb74844d43520dcd6e9cd912560c995c6247,,,,,,"Demo 1",2000,SNK,,,,,,,,,,,,,
"Cool Cool Jam",,35fc85ec36dd2668e3d969b1b3d848eaa43629ac,,,,,,,2000,SNK,jp,b,"b 1",,,,,,,,,,
"Cool Cool Jam",,0e2dca27ca1f7b0574baabae73ffad34884fabee,,,,,,,2000,SNK,jp,b,"b 2",,,,,,,,,,
"Cotton - Fantastic Night Dreams",,13f28258c97740526e73b4d890b79ccf11b700b5,,,,,,,2000,Success,jp,,,,1,,,,,,,,
"Cotton - Fantastic Night Dreams",,935b9d671df660192d9fc215aa03d90a486e743a,,,,,,,2000,Success,jp,,,,,,,,,,,,
"Cotton - Fantastic Night Dreams",,c949783986c7eccfad555a2be4f0862e2da319ec,,,,,,,2000,Success,,,,,1,,,,,,,,
"Cotton - Fantastic Night Dreams",,a9d8be97ab7bab1aaa1bedd2ce6914ec7fb8cb85,,,,,,,2000,Success,,,,,,,,,,,,,
"Crush Roller",,de14d05c85c223e5554e58eb8d4e2e6f0ae50d82,,,,,,(en-ja),1999,ADK,,,,,,,,,,,,,
"Crush Roller",,da34a11d3602e249dbc322d6cce823423330c53b,,,,,,(en-ja),1999,ADK,,a,"a 1",,,,,,,,,,
"Crush Roller",,12cbcffccb20181392a444d25663c4acf017e044,,,,,,(en-ja),1999,ADK,,,,,,,,,,1,,,
"Dark Arms - Beast Buster 1999",,df62c67041b1953a1f09abb55fb1b0f1438a98f2,,,,,,(en-ja),1999,SNK,,,,,,zh,,,,,,,
"Dark Arms - Beast Buster 1999",,9b257f895a52ea36742d4628df210a7042fb446c,,,,,,(en-ja),1999,SNK,,,,,,,,,,1,,,
"Dark Arms - Beast Buster 1999",,89b2d8dc7527bc0cb7c400d309b210c826fb2b38,,,,,,(en-ja),1999,SNK,,a,"a 1",,,,,,,,,,
"Dark Arms - Beast Buster 1999",,727d8100fa7c4a39a6be9133bd903b868b4cc834,,,,,,(en-ja),1999,SNK,,,,,,,,,,,,,
"Delta Warp",,4ab8f0b074a1299a0adee3d7ca46d070a9ccae6d,,,,,,(en-ja),2000,Iosys,jp,,,,,,,,,,,,
"Delta Warp",,8c69ecbc1ffa1e649fb4e87fbbd4397aff18e6c7,,,,,,(en-ja),2000,Iosys,jp,b,"b 1",,,,,,,,,,
"Densetsu no Ogre Battle",,5ac794c0f125bfb97efe9cd06c2aca3afdf549ea,,,"Densetsu no Ogre Battle Gaiden - Zenobia no Ouji",,,,2000,"Quest - SNK",jp,,,,,,,,,,,,
"Densha De GO! 2",,cee5fa9dc0acfba95ee6bd802a0ff80d4ecacc79,,,,,,,1999,"Taito - SNK",jp,,,,,,,,,,,,
"Densha De GO! 2",,7919a6d3bd4193fe85b20acee6e5c1d9dfc8aca1,,,,,,,1999,"Taito - SNK",jp,a,"a 1",,,,,,,,,,
"Dive Alert",,ac81de4f9c1473c5ecd761dc449ae5af0e98915f,,,"Dive Alert - Rebecca Hen",,,,1999,Sacnoth,jp,,,,,,,,,,,,
"Dive Alert",,0abdf64dd402a8192b0af8127a6ee214173dfe3c,,,"Dive Alert - Matt's Version",,,,1999,Sacnoth,,,,,,,,,,,,,
"Dive Alert",,64467acf90be6931f9aa532ed8e1fd4dc60946c6,,,"Dive Alert - Becky's Version",,,,1999,Sacnoth,,,,,,,,,,,,,
"Dive Alert",,66624028ec986084a95237c74173849a8a729398,,,"Dive Alert - Burn Hen",,,,1999,Sacnoth,jp,,,,,,,,,,,,
"Dokodemo Mahjong",,d7edf6bb3773a5319dfd2a20e204c70e8cc6971e,,,,,,,1999,ADK,jp,,,,,,,,,,,,
"Dynamite Slugger",,90104d5917db4cacfd1d0ef8b2b01fea09679a93,,,,,,(en-ja),2000,ADK,,,,,,,,,,,,,
"Evolution - Eternal Dungeons",,9122964a6b1b936e12d602518271c436ff658366,,,,,,,2000,"ESP - Sega",,,,,,fr,,,,,,,
"Evolution - Eternal Dungeons",,61827b7a13b3efe6a6b60f314fb0589a29c1bfd2,,,"Shinki Sekai Evolution - Hateshinai Dungeon",,,,2000,"ESP - Sega",jp,,,,,,,,,,,,
"Evolution - Eternal Dungeons",,9f607095b038ccdbf98e6a8fce2dd67740ae5571,,,,,,,2000,"ESP - Sega",,,,,,,,,,,,,
Faselei!,,04a65a7529098bfb2295ab4bc3782ea45ec116ee,,,,,,,1999,Sacnoth,jp,,,,,,,,,,,,
Faselei!,,d4274f31d06379a8529b5b059fdf6329ff5481e0,,,,,,,1999,Sacnoth,,,,,,fr,,,,,,,
Faselei!,,48c04c8a261b25a942a9fe68abace8aad9deae23,,,,,,,1999,Sacnoth,,,,,,,,,,,,,
"Fatal Fury F-Contact",,ecfccd7e971d8e9d46b97aa05dc7eb61d69e16cd,,,"Fatal Fury - F-Contact",,,,1999,SNK,,,,,,,,,,,,,
"Gals Fighters",,09a74b42ef9b63aca675aead5854512ad0b585a1,,,"SNK Gals Fighters",,,,2000,SNK,,,,,,,,,,,,,
"Gals Fighters",,e95fb8eaf4e1f16e2a1a3d22f4f14790bcc2ecb3,,,"SNK Gals Fighters",,,,2000,SNK,,a,"a 2",,,,,,,,,,
"Gals Fighters",,170e7b36a9825f9ad94c09933619aa73b084af7d,,,"SNK Gals Fighters",,,,2000,SNK,,a,"a 1",,,,,,,,,,
"Gals Fighters",,2f806c926a19b261c42e5a60d1ddd5d132ada942,,,"SNK Gals Fighters",,,,2000,SNK,jp,,,,,,,,,,,,
"Ganbare NeoPoke Kun",,bc8be263618601d5967538d125be1d58103ca7b7,,,"Ganbare Neo Poke Kun",,,,2000,SNK,jp,,,,,,,,,,,,
"Infinity Cure",,b0f3f57c5ad084a009631e7e0fa497451415e73b,,,,,,,2000,KID,jp,,,,,,,,,,,,
"Kikouseki Unitron",,b732c22631b05895ed7eebabfc3a59e28b04b364,,,"Kikou Seiki Unitron - Sono Tsuide. Hikari Umareru Chi Yori.",,,,1999,Yumekobo,jp,,,,,,,,,,,,
"King of Fighters R-1",,4a7adbcccb05b6047a38bb861523cbae7d956bfa,,,"King of Fighters - R-1",,,(en-ja),1998,SNK,,,,,,,,,,,,,
"King of Fighters R-1",,81a6131976a190482dd446dfc4d8c7d41031e1be,,,"King of Fighters - R-1",,,(en-ja),1998,SNK,,a,"a 1",,,,,,,,,,
"King of Fighters R-1",,d375612129c79a5c3a00d97e44a48a90f9cd8979,,,"King of Fighters - R-1",,,(en-ja),1998,SNK,,a,"a 2",,,,,,,,,,
