"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,0008ddf2d6e8a5b0be941fae660bc0fcb49cf28d,@,@,"Compilation Disk 055",@,"","","19xx","@","@","","","","","","","","",""
@,,000c43b9c10dc7867a6742747a9d67fa4aaf8872,@,@,"DSK-CPC",@,"","v 1.0","1997","Divine Coding","@","","","","","","","","",""
@,,000c89a1289e8eee1131dbee3fa162c4b94870c0,@,@,"Project Future",@,"","","1985","Micromania","@","","","","","","","","",""
@,,0018728f3a98487b8bf0790f3108f0916ccbace0,@,@,"Prodigy",@,"","","1986","Electric Dreams Software","@","","","","","","","","",""
@,,0026bf744500226b4653ee165ae2bd295ab93e30,@,@,"Anduril",@,"","(de)","19xx","Schingnitz","@","","","","","","","","",""
@,,002a6607547fa874cdde8bc5af06e97280ea9a4e,@,@,"Tenebres",@,"","(fr); (Disk 2 of 2)","1987","Rainbow Productions","@","","","","","","","","",""
@,,0034e33a0e5ea1d8127799cba7c3a6f10e4196c0,@,@,"The Soundtrakker Player",@,"Soundtrakker Player, The","v 1.4","19xx","GPA","@","","","","","","","","",""
@,,004094202623bc5608a750b9baaaec058049b4f8,@,@,"Die Alien Slime",@,"","","1989","Mastertronic Plus","@","","","","","","","GPA","",""
@,,004dc29ff2b3acf3e8d7b5c7fba4820d5cfdfb2c,@,@,"RFX",@,"","(fr)","19xx","@","@","","","","","","","","",""
@,,0051eaef18e37cad6ce1278b515142684629438d,@,@,"Leaderboard Tournament",@,"","","1987","US Gold","@","a","a 1","","","","","","",""
@,,0058aefa66a8703e07e886a28be40de54f2933f0,@,@,"Titus the Fox",@,"","","1992","Titus","@","","","","","","","","",""
@,,00703fad3760ff4689103f81095333a40cd6dc2e,@,@,"Defender of the Crown",@,"","(fr); (Disk 2 of 3)","1987","Cinemaware","@","","","","","","","XOR","",""
@,,008329e31fa0e945b8bfd518c802fe32987b113a,@,@,"Salamander",@,"","","1988","Konami","@","","","","Two Mag","","","Two Mag","",""
@,,0088b4f0d28cecfb3c888c4503c9347dccf93154,@,@,"Sport",@,"","","1989","Black System","@","","","","","","","","",""
@,,009a3a78c771f52ee702b61fec28c242354cede0,@,@,"Back to the Future III",@,"","(Disk 2 of 2)","1991","Image Works","@","","","","","","","","",""
@,,00af954d4b84edb578f8231d231ef8e0b4d9e540,@,@,"Sliders",@,"","","1991","Microids","@","a","a 1","","","","","","",""
@,,00b876938a465214aa0c3df32895d05f6eefbb9a,@,@,"Computer Maniac's Diary",@,"","","1988","Domark","@","","","","","","","","",""
@,,00baf2a1f6b0edce197f229d8245f6630adedec6,@,@,"Shadow Warriors",@,"","","1990","Ocean","@","a","a 1","","","","","","",""
@,,00dac307c44eff8438be911eb2c21eb072cd8f91,@,@,"Skyx",@,"","(fr)","1988","Legend Software","@","","[CPM Version]","","","","","CACH","",""
@,,00e0a6dd2efb95d74a5f57ad562f12deafbc0f1e,@,@,"Robot PD 19202",@,"","(Disk 2 of 2); (PD)","19xx","Fairhurst, Richard","@","","","","","","","","",""
@,,00e681b73a0753188ed897206f2e6401d9466a25,@,@,"Deep Strike",@,"","","1986","Durell Software","@","","","","","","","","",""
@,,00e6af3213c4a604117638f62c23862ecd2d628e,@,@,"Meeting in 1991",@,"","","1991","CPC-Mike & Gorden","@","","","","","","","","",""
@,,00fcd843694d17a24b87746de910b7455c59795c,@,@,"Lancelot",@,"","(Disk 1 of 2)","1988","Mandarin Software","@","","","","","","","","",""
@,,00ffa6f3c10040aa9249d17683c72381b3221f10,@,@,"Deactivators",@,"","","1986","Reaktor","@","","","","","","","","",""
@,,010fd79b649e711de967c2329c285e2672618739,@,@,"Fucking Flohmarkt",@,"","","19xx","Zweisten","@","","","","","","","","",""
@,,011fa8edec0f64066a41e84c34e49b5409245ea2,@,@,"Disc Crack Intro",@,"","","19xx","GPA","@","","","","","","","","",""
@,,012b6927839632110f1d169d3d8282c9416a42e6,@,@,"The Magic Sword",@,"Magic Sword, The","","1984","Database Publications","@","","","","","","","","",""
@,,012cb094c4ad4c22aa7f7d10d49364417cc339a1,@,@,"3D Construction Kit",@,"","(Disk 1 of 2)","1991","Domark","@","","","","","","","","",""
@,,01434845ac9948bed942c45ace470b5c000d8246,@,@,"Rick Dangerous II",@,"","","1990","Micro Style","@","","","","+3","","","","",""
@,,016037e324ca87d6e799909f54fb471ed9230678,@,@,"Steel Eagle",@,"","","1990","Players Premier Software","@","","","","Tom & Jerry","","","Tom & Jerry","",""
@,,01818b0721a8caaacc516bae663687090731d9b2,@,@,"Revenge on the C5",@,"","","1986","Atlantis Software","@","","","","","","","","",""
@,,01873ab47043e1ca10c787abf632ab858acee917,@,@,"Robot PD 17107",@,"","(Disk 1 of 2); (PD)","19xx","Fairhurst, Richard","@","","","","","","","","",""
@,,018d5b6c5b4312b7cd361bdb2f178044b3238f0d,@,@,"Alf Demo",@,"","","1989","42 Crew","@","","","","","","","","",""
@,,019500598df3592ce8980d271db8344c15fd497d,@,@,"The Real Ghostbusters",@,"Real Ghostbusters, The","(Disk 2 of 2)","1989","Activision","@","","","","","","","Kev","",""
@,,0196bcd3cf7d5b1fb0a69540a1a21efab55c097b,@,@,"Antares",@,"","(es)","1987","Dro Soft","@","","","","","","","","",""
@,,019e5176794f9bfeb86608927c22e3b1404a054b,@,@,"Westphaser",@,"","(fr); (Disk 2 of 2)","1989","Loriciels","@","","","","","","","","",""
@,,01a13d08e0525710ed88f337bcd1512e6312a837,@,@,"M'enfin - Gaston",@,"","(Disk 1 of 2)","1986","Ubisoft","@","a","a 1","","","","","","",""
