"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,00062be2d1d4acf9d95c0cba8fd6eb07af587647,@,@,"The World's Greatest Baseball Game",@,"World's Greatest Baseball Game, The","","1984","Epyx","@","","","","","","","New Regime - Shaolin Disciples","",""
@,,00078d08eb5b78056171ab838a4b9a95beab98ef,@,@,"Graphic Writer III",@,"","v 1.1; (Disk 2 of 2)","1989","Seven Hills Software","@","","","","","","","","",""
@,,0009602f0967f9cc2776b365181e7b641df88977,@,@,"RADE",@,"","Copyright Freeware","1992","Morgan Davis Group","@","","","","","","","","",""
@,,000ffa7d1a40ce5d892a94690a5a398c15bceafc,@,@,"Treasure Island",@,"","(Disk 2 of 3)","1985","Windham Classics","@","","","","","","","","",""
@,,001064d8ba7b2137bb3fb2683825d72aa85029ff,@,@,"Rainbow Painter",@,"","","19xx","@","@","b","b 1","","","","","Pirate Trek","",""
@,,00171eb7266cea500d2d110be6e8b8c29df1c631,@,@,"King's Quest III",@,"","(Disk 2 of 2)","1988","Sierra","@","","","","","","","","",""
@,,0037b09b03a744e00c4b94c18195c0105ab2d096,@,@,"Eamon 020 - The Black Death",@,"","","1990","Nelson, J.","@","","","","","","","","",""
@,,003817c0181b55632e59ffc74e63df3eec6b9bbb,@,@,"Tass Times In Tonetown",@,"","","1986","Activision","@","","","","","","","","",""
@,,00432b1a3fc0bfe533ca804f8392cc48c5f09220,@,@,"Eamon 126 - The Pyramid of Anharos",@,"","","1992","@","@","","[no boot]","","","","","","",""
@,,00434324af78e4c88f878093715c87ebaccabcb5,@,@,"The Immortal",@,"Immortal, The","(Disk 1 of 2)","1990","Electronic Arts","@","","","","","","","","",""
@,,00455ad419ef4a2e91d9635bd1ad35f47ff3aa46,@,@,"The Secrets of Bahras",@,"Secrets of Bahras, The","(Disk 2 of 3)","1991","Victory Software","@","","","","","","","","",""
@,,004d1d25a4c20a5edbbc201ae4f9b173b7157990,@,@,"Rebel Charge at Chickamauga",@,"","(Side A)","1987","SSI","@","","[RDOS]","","","","","","",""
@,,005613a3e44fe972fe1254db92063795b878f27d,@,@,"Programmer's Aid Volume 1",@,"","v 4.5","1980","MECC","us","","","","","","","","",""
