"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,002bb30e6704813bef4b41496e38ee8b4a84fc57,@,@,"Hack 'Em",@,"","Video NTSC; (pre-release)","2004/05/19","Nukey Shay","@","","[Pesco - Daily Release]","","","","","","","1"
@,,00332b2e9c98e403eb0af200363ab7ba903db9fb,@,@,"AtariAge Indy 500 XE Track Design Contest - YvesLarouche_16",@,"","Video NTSC","2004","Yves Larouche","@","","","","","","","","",""
@,,0093be602df04fb110312add97c29449ba537237,@,@,"Ant Attack",@,"","Video NTSC","2003","neotokeo2001","@","","[Pepsi Invaders]","","","","","","","1"
@,,00a9c11e7150a03e8d23e8871036994921810507,@,@,"AtariAge Indy 500 XE Track Design Contest - WalterLauer_3",@,"","Video NTSC","2004","Walter Lauer","@","","","","","","","","",""
@,,00bae585f61cd3684cb8caf4f48c8ff92fae3c0a,@,@,"AtariAge Combat Redux Design Contest - AdrianM_1",@,"","Video NTSC","2004","AdrianM","@","","","","","","","","",""
@,,00cd8fe0c6a9b0a41491e011d361651643d6a8ce,@,@,"Golf",@,"","Video NTSC","1978","Atari","@","o","o 1","","","","","","",""
@,,01204555db8d97399ce4898809ff24c94215c299,@,@,"ZZZ-UNK-Defender Vector",@,"","","19xx","@","@","b","b 1","","","","","","",""
@,,012ba0eb1c435aec255cd7e87010e65861e0eee0,@,@,"Demo Image Series #10 - It's Art",@,"","Video NTSC; Copyright Public Domain","2003/02/28","Davie, Andrew","@","","","","","","","","",""
@,,013142aa1338d132724876c1d55a322a1d049380,@,@,"Artillery Duel",@,"","Video PAL","1983","Xonox","@","","","","","","","","",""
@,,0146c6b7e56de38a1867ed72799a60b75b586387,@,@,"AtariAge Combat Redux Design Contest - PhilipRFrey_8",@,"","Video NTSC","2004","Philip R Frey","@","","","","","","","","",""
@,,01475d037cb7a2a892be09d67083102fa9159216,@,@,"Vanguard",@,"","Video NTSC","1982","Atari","@","","","","","","","","",""
@,,01533e863bbb1e39618f87ba167ba10359fc89b7,@,@,"AtariAge Indy 500 XE Track Design Contest - WalterLauer_22",@,"","Video NTSC","2004","Walter Lauer","@","","","","","","","","",""
@,,0161f59087902466a2c6f64c2f7cab9241c46dbf,@,@,"AtariAge Indy 500 XE Track Design Contest - JeffThompson_1",@,"","Video NTSC","2004","Jeff Thompson","@","","","","","","","","",""
@,,01d99bf307262825db58631e8002dd008a42cb1e,@,@,"Alien",@,"","Video NTSC","1982","20th Century Fox","@","","","","","","","","",""
@,,01ed1abd96393a24a1c20c889022406de86996ef,@,@,"AtariAge Indy 500 XE Track Design Contest - JohnKless_1",@,"","Video NTSC","2004","John Kless","@","","","","","","","","",""
@,,01f23c1dd1751624675481efb7e0bbc2b87646c6,@,@,"Medieval Mayhem",@,"","Video NTSC","2006/04/22","Spice, Darrell Jr.","@","","","","","","","","",""
@,,022ba1539ab38226259fcd7095a1857364e2a55e,@,@,"Hack 'Em and Hangly Man",@,"","Video NTSC; (pre-release)","2004/08/10","Nukey Shay","@","","[Pesco - Daily Release 4 - timecheck]","","","","","","","1"
@,,023e3024007a7589ed7d18ad2ce4cff3bc86365e,@,@,"Demo Image Series #15 - Three Marios - Non-Interleave",@,"","Video PAL","2003/03/06","Davie, Andrew","@","","","","","","","","",""
@,,02484c1349c1926bf9733a2ee49cd98e5901e579,@,@,"Breakout - Breakaway IV",@,"","Video NTSC","1978","Atari","@","","","","1","","","","",""
@,,0252bb61f8ca0462cc57a273d575c4bcdb5a95f2,@,@,"Codebreaker",@,"","Video PAL","1978","Atari","@","","[Atari Keypad]","","","","","","",""
