"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"0012d0497445bd3dc1b6e577b0fc4dfc9354153f","@","@","Viking Child","@","","","1991","Atari Corp","@","b","b 1","","","","","","",""
"@",,"0023bbb8ce6fd1fa1808c69ae0590d137219a8ab","@","@","Awesome Golf","@","","","1991","Atari Corp","@","b","b 1","","","","","","",""
"@",,"004fb8c07cbe79b6901d472077bbfce743ff885a","@","@","Sprite Demo 5","@","","Copyright Public Domain","2000","Domin, Matthias","@","","","","","","","","",""
"@",,"006147cb3b3c4e4551fd18266899ef308814f2ce","@","@","Marble Madness","@","","Copyright Public Domain","1999","Matthias Domin","@","","","","","","","","",""
"@",,"0084572f66093217fae4fc5a29bdf1fab8a36c60","@","@","ZZZ-UNK-Demo 1 by Schick, Bastian","@","","","1996","PD","@","","","","","","","","",""
"@",,"00db17da5a4c29619681d788c928ca160095f46c","@","@","Blue Lightning","@","","","1989","Epyx Inc","@","","","","","","","","",""
"@",,"01fb0609e292d84de23adee31be44605e9d0503c","@","@","Switchblade II","@","","","1992","Atari Corp","@","","","","","","","","",""
"@",,"0214284156269f7666e47b29250e51e6814f60a3","@","@","Pit Fighter","@","","","1992","Tengen Inc","@","b","b 1","","","","","","",""
"@",,"02bebf280dc30bb1b66918f8734e32e76007a976","@","@","Sprite Demo 3","@","","Copyright Public Domain","2000","Domin, Matthias","@","","","","","","","","",""
"@",,"034367a5615d8c1d619a83c5a0f65f277c670ec6","@","@","Atari Lynx II Production Test","@","","v 0.02","1989","Atari","@","a","a 1","","","","","","",""
"@",,"03bd31e278a0517f8ae81c7a8d8b26b64058c58d","@","@","Loopz","@","","v 0.06; Language proto","1992","Hand Made Software","@","","","","","","","","",""
"@",,"03e83e5cf6d73916ce776e20783245ef846fd822","@","@","Switchblade II","@","","","1992","Atari Corp","@","b","b 1","","","","","","",""
"@",,"0465752c632e396218ce4d8a111c005e7dda55a2","@","@","Hockey","@","","","1992","Atari Corp","@","b","b 1","","","","","","",""
"@",,"04d0eec3d595b3da9fec55a20ef7fbc0d2a19c26","@","@","Shadow of the Beast","@","","","1992","Atari Corp","@","","","","","","","","",""
"@",,"051f95a0c5b60e8c517b8df08f449110ed2bca68","@","@","Fidelity Ultimate Chess Challenge","@","","","1991","Telegames","@","a","a 1","","","","","","",""
"@",,"06a384102a1092b9345a3f8474bdd30943e16294","@","@","Mandelbrot Demo","@","","Copyright Public Domain","1993","Schick, Bastian","@","","","","","","","","",""
"@",,"0804caa4e15bcde2a51b475103787539c2578d0a","@","@","Puzzler 2000: Playable","@","","v 0.43; Copyright Public Domain","1998","Wuhl, Markus","@","","","","","","","","",""
"@",,"0a2f8a150aebb98cad3f64f6d35f22617b7436d2","@","@","Mini Demo 6","@","","Copyright Public Domain","1998","@","@","","","","","","","","",""
"@",,"0f9d1b5b5e98f832bdddd68ab3cf09efc5262149","@","@","Super Sprint Title Screen Demo","@","","Copyright Public Domain","2000","@","@","","","","","","","","",""
"@",,"107f626ef5f7fbd459aec38a879de0d438ff651c","@","@","Fat Bobby","@","","","1993","Atari Corp","@","","","","","","","","",""
"@",,"112e6433deca07dd49e2adf1a436cacfe94af7d6","@","@","Scrapyard Dog","@","","","1991","Atari Corp","@","","","","","","","","",""
"@",,"121ff9e1fae2690fcfc1e21543361ac0d37edfc3","@","@","Sprite Demo 4","@","","Copyright Public Domain","2000","Domin, Matthias","@","","","","","","","","",""
"@",,"1227eb28e6bad3c30b38d3dbfa9f929d836300c5","@","@","Double Dragon","@","","","1993","Telegames","@","","","","","","","","",""
"@",,"12c82b878a1b27e79bddd1a55ceba8b5adeb9dc7","@","@","ZZZ-UNK-Demo 6 by Schick, Bastian","@","","","1996","PD","@","a","a 1","","","","","","",""
"@",,"131779458f9f53f5ad37d2fc4e9ac1a2139eeb72","@","@","Puzzler 2000: Air Music","@","","Copyright Public Domain","1998","Wuhl, Markus","@","","","","","","","","",""
"@",,"1333d7f43134d01cc6c62cfe66778b6fc7471dac","@","@","Dragnet Music","@","","","1994","Schick, Bastian","@","a","a 1","","","","1","","",""
"@",,"140a308a72ed20885def95f15a14ea9eac560e75","@","@","ZZZ-UNK-Clicks! by Domin, Matthias","@","","","2001","PD","@","","","","","","","","",""
"@",,"149a0045ccf2fb1ba0f994a35c65bba08397b5a3","@","@","Chip-8 Emulator","@","","v 0.4; Copyright Public Domain","2004","@","@","","","","","","","","",""
"@",,"149c0affe92bb067f30fab86e09c29de58604322","@","@","Boing Demo","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"1625b0c76cdd2c88cbd0f8d284dfc8668413c9a5","@","@","Remnant Planar Wars 3D","@","","Copyright Public Domain","2000","Songbird","@","","","","","","","","",""
