"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,0001a8330201486a8f866c22239950908ef389a0,@,@,"Star Battle",@,"","(proto)","1979","Johnson, J.A.","@","a","a 1; [300 baud]","","","","","","",""
@,,0007810794c23b289e3dea3f5d11ef1ed5b73bd2,@,@,"3-D Forward Simulation Above a Flat Plane",@,"","","1979","Sebree's Computing","@","","[300 baud]","","","","","","",""
@,,000f0a62158952c1173a932cb46b67064ca629c5,@,@,"Chase III",@,"","v 1.0","1981","Keller, Mark","@","","[300 baud]","","","","","","",""
@,,001da47bed94ddc16a240b49b81a17773da415fc,@,@,"Concentration",@,"","","1981","Gordon, Al","@","","[300 baud]","","","","","","",""
@,,002f9a41a3156a951ca9cf5a712b18a970a4e1ac,@,@,"Monster Chase",@,"","","1981/08","Morales, Alex","@","","[300 baud - Balley BASIC]","","","","","","",""
@,,005dd27a58c1b1003482f44d61cf15d94661abbd,@,@,"Check Listing",@,"","","1982","Gordon, Al","@","","[300 baud - Bally BASIC]","","","","","","",""
@,,0079e95e32a7146b1a24b01bd84bc63030039578,@,@,"Convert Hex to Decimal",@,"","Copyright Public Domain","1979/03/23","Sams, Ernie","@","","[300 baud]","","","","","","",""
@,,007ebaeec95475bb153f66d5bbca851e742282a4,@,@,"Decimal to Poke",@,"","Copyright Public Domain","1980","Anderson Research and Design","@","","[300 baud]","","","","","","",""
@,,00a1e4cc142e6c849188aa7fe79b86f09d64150b,@,@,"Space Mission - 4 Pilot, Part 2",@,"","","1984","White, Mike","@","","[2000 baud]","","","","","","",""
@,,00baf05486fcaa8894ead5b706058ecd6769e4a1,@,@,"Graphic Utility Subprograms - Part 3",@,"","","1980","Marselle, Jim","@","","[300 baud]","","","","","","",""
@,,00f1c298b53a1bc64a2823c48541a3ccf1c97d75,@,@,"Halloween Ghost aka Horrible Harry",@,"","Copyright Public Domain","1981","Picardi, Ron - Wilkinson, James","@","","[2000 baud]","","","","","","",""
@,,016c41a4718f7b349a4b5a3b6a5a8ef55c762ffd,@,@,"Backgammon",@,"","Copyright Public Domain","1981","WaveMakers","@","","[300 baud]","","","","","","",""
@,,019c8d5735b6d9cd3478145bac94c8edb14d661e,@,@,"The Black Lagoon II",@,"Black Lagoon II, The","","1980","L&M Software","@","","[300 baud]","","","","","","",""
@,,01fb1b31f833976e1932147586fa3c849750003a,@,@,"Checkers",@,"","Copyright Public Domain","1979/05/04","Collins, John","@","","[300 baud]","","","","","","",""
@,,01fb99e01c8b9185602732fcd34e0fa2309a832a,@,@,"64K Data & Op Code Converter",@,"","","198x","Dunson, Jim","@","","[2000 baud]","","","","","","",""
@,,022cc1d2d2c76de1a4626f6c68e8d8ef4c56b4d6,@,@,"Decimal to Poke",@,"","","19xx","Anderson Research and Design","@","","[2000 baud]","2000 baud conversion","","","","","",""
@,,0236f331e5b796e3b5077a381c0dfc694da0841a,@,@,"Game of Life",@,"","","1979","W&W Software Sales","@","","[300 baud]","","","","","","",""
@,,0265f49b46ab60d67155517673b07e43efc812f1,@,@,"Clue",@,"","Copyright Public Domain","1980","WaveMakers","@","","[300 baud]","","","","","","",""
@,,0279bf9c53b4820e1b8e6fc7cc7e7f72ff7fd048,@,@,"Critter",@,"","","1980/10","Bilbrey, Brett","@","","[300 baud - Cursor version]","","","","","","",""
@,,0284520be3c5e019957b3cbdf2a9638c8902ab0e,@,@,"Halloween Ghost aka Horrible Harry",@,"","Copyright Public Domain","1980","Wilkinson, James","@","","[300 baud - fewer comments]","","","","","","",""
@,,028f40f7c32fee22747008f8d46b3a53f7f46f34,@,@,"Arabic Language Quiz",@,"","","19xx","@","@","","[300 baud]","","","","","","",""
@,,029cb47fd5857f042c5793eb9195c8dabe453a22,@,@,"Frustration Fortress",@,"","(proto)","198x","Lill, Ken","@","a","a 13; [2000 baud]","","","","","","",""
@,,02c53945c689eb7ee8b24ebff53e0450135562f2,@,@,"Math Quiz",@,"","","1981","Ainsworth, Dick","@","","[2000 baud]","","","","","","",""
@,,02cc36f67cf5b1f87129bb7ed38710d6ac3a78f9,@,@,"Pool",@,"","","198x","Doerge, Klaus - Hensel, Bob","@","","[300 baud]","","","","","","",""
@,,02e7cb5f764a8d511622fd870a73d0b974d8005e,@,@,"Another Division Routine - 4 Decimal Places",@,"","Copyright Public Domain","1979/05/23","Bowman, Pete","@","","[300 baud]","","","","","","",""
@,,02e843aa61fb0435196db2e37dca7e0e429e88a5,@,@,"Attack",@,"","Copyright Public Domain","1980/06/23","Anon - Morimoto, Carl","@","","[300 baud]","","","","","","",""
@,,02e94b0e303f199d38105e2aeb7e1f53e8e904a9,@,@,"Mastermind",@,"","","1980","Anon - Burkemper, Carol - Houser, Richard","@","","[300 baud]","","","","","","",""
@,,02f0bd031e3de78cbd390d5fac963d7279314d99,@,@,"Square Root",@,"","","1979","Houser, Richard - Stocker, David","@","","[300 baud]","","","","","","",""
@,,02f37ded48b1fb9ba0a2d7e45f5b0a85eaecb1c8,@,@,"Muncher",@,"","","19xx","Esoterica","@","","","","","","","","",""
@,,030b97a5d9561804097f5ddb273621fab07a0240,@,@,"Citadel",@,"","","1982/09/06","Martin, Dave","@","","[2000 baud]","","","","","","",""
@,,0349bd8a2c93703741b87534be9ed8dc5d5e18b7,@,@,"Bangman",@,"","Copyright Public Domain","1979/06/15","Sams, Ernie","@","","[300 baud - instructions removed, working]","","","","","","",""
@,,0356753bed021721eddafa4e211742a39b63c79f,@,@,"Astro-Zap!!!",@,"","Copyright Public Domain","1982/07","Moses, George","@","","[300 baud]","","","","","","",""
@,,03bb69c5406de5ffd24e9fc3149689d6d533570f,@,@,"Guitar Course",@,"","Copyright Public Domain; (Side 1); (Guitar Tuning & Guitar Course)","1980","WaveMakers","@","a","a 1; [300 baud]","","","","","","",""
@,,03c6bad2dcc4f5aac62c0838b4e59271011ffd79,@,@,"Phantom Start Demonstrator",@,"","","1986/08/15","White, Mike","@","","[2000 baud]","","","","","","",""
@,,03d4ea4ed8da94e0abb33a511be8b8a3ed38c97d,@,@,"Arcadian Shorty",@,"","Copyright Public Domain","1980/06/23","Johnson, Tom","@","","[300 baud]","","","","","","",""
@,,03ed2130c826cfcd8eab85b19ae663cfac6a824c,@,@,"Arcadian At 2x Size",@,"","Copyright Public Domain","1979/05/04","Pogue, Glenn","@","","[300 baud]","","","","","","",""
@,,03ef8acdd37aaee4a60dfcb7bd42b877305c6f26,@,@,"Invasion Force",@,"","Copyright Public Domain","1981","WaveMakers","@","","[300 baud - freebee on Pack-Rat II tape]","","","","","","",""
@,,03f7a1348ad26a711bbd3f5ebe743170299d072e,@,@,"Riddle",@,"","","1979","W&W Software Sales","@","","[300 baud]","","","","","","",""
@,,04029b88a27fce7b5c8ce81ea6383817b7bf5703,@,@,"Jesu, Joy of Man's Desiring",@,"","Demo 1; Copyright Public Domain","19xx","Moses, George","@","","[300 baud]","","","","","","",""
@,,0407f6c0d24c456799054b2122f174b87fb95f12,@,@,"Surf and Cricket Sounds",@,"","Copyright Public Domain","1981/01/09","Ellerson, Barry","@","","[300 baud]","","","","","","",""
@,,040e8c4fe0ee5255e76b8e9d59f315ae24b7ff0b,@,@,"Repack Fast",@,"","","19xx","White, Mike","@","","[2000 baud - 8K RAM required]","","","","","","",""
@,,0414c868ee0389312dd252c3664df19601b8a8e4,@,@,"Symmetrical Art",@,"","","1981/11/09","Rosenhouse, Bob","@","","[2000 baud]","","","","","","",""
@,,043057ffcbb8a47a4a2cdeb797e40b5c9f5dd562,@,@,"Toyland",@,"","Copyright Public Domain","1982","George Moses Co.","@","","[2000 baud - 27 Christmas Carols, Side 2 #07]","","","","","","",""
@,,0438382404bdad2895a424282b09e255a87c7cc9,@,@,"We Wish You a Merry Christmas",@,"","","19xx","Ellerson, Barry","@","","[300 baud]","","","","","","",""
@,,0459889986cfa120f3f2543003b5c3fa3e82979a,@,@,"Dungeons and Dragons Program Package - Thieves & Assassins",@,"","","1980","Tietjens, Rich","@","","[300 baud]","","","","","","",""
@,,0473dd0322e64fee34676c3b0b51420645d89b53,@,@,"Cosmic Zap",@,"","","1981","Super Software","@","","[300 baud]","","","","","","",""
@,,04869ca417984749eebf197b8335db2583be2d2e,@,@,"3D Tic-Tac-Toe",@,"","","1981","L&M Software","@","","[300 baud]","","","","","","",""
@,,049bf16c32461448bc1f6ea3e4934e9c5888abe6,@,@,"Games & Fun - Load 1 - Games & Fun I",@,"","","1979","Stocker, David","@","","[300 baud]","","","","","","",""
@,,04b5f7f853eb466bb60683678f77aec8f7626ba2,@,@,"Hangman",@,"","Copyright Public Domain","1979/12/22","Morimoto, Carl","@","","[300 baud]","","","","","","",""
@,,04bbd984aaa834b562f985ba220681121762ec27,@,@,"Sound Graph",@,"","","19xx","Doerge, Klaus - Thomka, Chuck","@","","[300 baud]","","","","","","",""
@,,04c752e6ddbd2b0f6c755aec1922bcb728738bed,@,@,"aMAZEd in SPACE",@,"","Copyright Public Domain","1979/07/20","Aquila - Houser, Richard","@","","[300 baud]","","","","","","1",""
@,,04ca9d393ae3f1449d5ca72978d8dfe743b8ac56,@,@,"Obstacle Course Tournament",@,"","Copyright Public Domain","1981","WaveMakers","@","a","a 2; [300 baud]","","","","","","",""
@,,0536973036de4f5a3062ac2d44adca26ee25453d,@,@,"Line Graph - Lesson Version",@,"","","1981","Ainsworth, Dick","@","","[2000 baud]","","","","","","",""
@,,05399aef892e309e7a280f8a133aba7790905b69,@,@,"Jukebox",@,"","","1979","W&W Software Sales","@","","[300 baud]","","","","","","",""
@,,054ae975c21a619af911c7e279a2078ce9ed95a9,@,@,"Blackjack",@,"","(proto)","19xx","@","@","a","a 3; [300 baud]","","","","","","",""
@,,0578f998d1378270c2f7781d49b29d44a2d68959,@,@,"Astrocade BASIC Demo Program",@,"","Copyright Public Domain","1982","Moses, George - Skala, Mike","@","","[2000 baud]","","","","","","",""
@,,058ad7df59de058479caa3ad246a569c96158db5,@,@,"Yahtzee",@,"","Copyright Public Domain","1980/09/17","Tietjens, Rich - Wiseman, Bob","@","","[300 baud]","","","","","","",""
@,,05a56406d2c688b706c0d61fe0843df72135cc1c,@,@,"Take Five",@,"","Copyright Public Domain","19xx","Moses, George","@","","[300 baud]","","","","","","",""
