"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"0029fe15165165e95db2a5702cb162c770170637","@","@","Le Chateau du Dragon","@","Chateau du Dragon, Le","Language fr; Copyright Public Domain","2001","Bienvenu, Daniel","@","","","","","","","","",""
"@",,"003f07fa755f632348694e7c6e6ac0de10e1b3e7","@","@","St. Valentine's Day","@","","Copyright Public Domain","2002","Bienvenu, Daniel","@","a","a 1","","","","","","",""
"@",,"00a5b9dc41e3a684a874b65cf29121984f10f327","@","@","River Raid","@","","","1984","Activision","@","","","","","","","","",""
"@",,"00c157e87a8f85ede84b26bfab018c50678f88e4","@","@","Escape from the Mind Master","@","","Language proto","1983","Epyx","@","","","","","","","","",""
"@",,"00c9f22fdf0be33a295514431fab36da92a78ff4","@","@","Super Cross Force","@","","","1983","Spectravideo","@","b","b 2","","","","","","",""
"@",,"00db7cf9bd66aecac3d9368dd205680781b2e542","@","@","Antarctic Adventure","@","","","1984","Coleco - Konami","@","","","","","","","","",""
"@",,"01062d5049231a2bfd6ece924d3f1f17329d7725","@","@","Tank Wars","@","","","1983","Bit Corporation","eu","b","b 2","","","","","","",""
"@",,"01092a3afacb7e013c220c1aa6ce3c72ca400b5f","@","@","The Heist","@","Heist, The","","1983","Micro Fun","@","b","b 2","","","","","","",""
"@",,"0124ba683340188c7a9a89122af7a54db07e1edb","@","@","Sudoku","@","","v 01; Copyright Public Domain","2008","Miron, Luc","@","","","","","","","","",""
"@",,"013485176cbdb8b2e53efddd29d14e3102f46c4a","@","@","ColecoVision BIOS","@","","","1982","Coleco","us","","","","","","","","","Fire Button Skips Intro & 50Hz"
"@",,"0276f344d63f4f9675c29730d97112b3123e6c18","@","@","Terra Attack","@","","Copyright Public Domain","2007/08/09","Huggins, Scott","@","","","","","","","","",""
"@",,"0278de7c17064ded63e373443fa10cd468b6ea6f","@","@","Space Caverns","@","","Copyright Public Domain","2004","Huggins, Scott","@","","","","","","","","",""
