"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"003b3f8b842b787572f3a96bba163c8726be0c90","@","@","2!Megatoolz for Plus4 Users","@","","(Side A)","1992","Prisoners Software Network","@","","","","","","","","",""
"@",,"004c591eaa2a62cde74847ded5b654cc810855fb","@","@","Lone News #05","@","","","1997/10","Luca-Fire","@","","","","","","","","",""
"@",,"00999bdcaf8d1e6e9094b028a18b0995801c569e","@","@","Recall Collection 136","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"009f484cd9c01fdfda60fed34fb14b8e84def569","@","@","Recall Collection 511","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"00be3bf33a216e9948fffc583f1eac9bd2de8ace","@","@","Avventura nei Feudi","@","","","1985","Mantra Software","it","","","","","","","","",""
"@",,"00f49f6c5012ffb4eb13d57cffa42c07c910ecf1","@","@","Recall Collection 389","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"013441807c8fbde1997ae7c4a764f0d01898e9ed","@","@","Beamphobia","@","","Copyright Public Domain","1994/02/05","GOTU","@","","","","","","","","",""
"@",,"0136adae8efb0de5aaf1478989310a903cd00a07","@","@","Auto Mania","@","","Language en","1984","D., Wolfgang","de","","","","","","","","",""
"@",,"014436355169982503c982e974f84baef92a0526","@","@","Recall Collection 086","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"015024d7d2e608c15a830c7647bb782edc431e5c","@","@","Recall Collection 686","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"0171d33d6900c40d2bf93ce7d50c82a89cf079d5","@","@","Recall Collection 029","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"017741120d87166d673999089c0509fd0879e30a","@","@","Twin Pigs #3","@","","Language hu","1992","@","@","","","","","","","","",""
"@",,"01a96f42e754c6922a97e1623802836f5a0f9a87","@","@","Recall Collection 566","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"01e1c84d62ad720aea4f41adc7854211f7a42084","@","@","Melyur","@","","Language hu","1992","GOTU","@","b","b 1","","","","","","",""
"@",,"01f3f08a873778152738a2b41e1cd30096117a8e","@","@","Auf Wiedersehen Monty","@","","","1987","Gremlin Graphics","gb","","","","+2 The Pink Panther Cracker","","","","",""
"@",,"0210af0bfca17592ec18a4364cb90d739cf3228e","@","@","Recall Collection 458","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"02a0bc746d268039a04cc80711e1ff4872ba6787","@","@","Hunter","@","","Copyright Public Domain","1993","GOTU","@","b","b 1","","","","","","",""
"@",,"02b242bad9074818bae7933cf99fec5e0d315230","@","@","Recall Collection 321","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"02beea6654c8a517175e38fd13b8abddd115ac42","@","@","Acid Flipper","@","","Language en; Copyright Freeware","1991","Electronic Disaster Crew","hu","","","","","","","","",""
"@",,"02dea8722de9cd87c9bf17611ab0376fbb1f9120","@","@","Army Force","@","","Video NTSC; Copyright Freeware","19xx","@","@","","","","","","","","",""
"@",,"02f8ece921e3387bbce16568f054c795a2f63204","@","@","Recall Collection 217","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"03192da3e380efec5f4c80daef1faa2365015146","@","@","Intro Maker","@","","Copyright Freeware","1987/12/20","TSC","hu","","","","","","","","",""
"@",,"03442daaddb781eccd1e73173a07062c37c6024b","@","@","Recall Collection 633","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"03446c235ecb82192acea33fab1b43c4a360460e","@","@","Recall Collection 130","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"034c2e5b4f1df7b2f306c24cffd0eb41bdd15ccd","@","@","Recall Collection 089","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"034c47495393879f825a48edb338d10dbddbcb30","@","@","Braintech","@","","","1995","Mayday Software","@","b","b 1","","","","","Absence","",""
"@",,"03869f385b91d038368de80fa39d5d8f3526e066","@","@","Recall Collection 362","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"039c5827591b5f0070e7528ac39abccae7397c98","@","@","Tic Tac Toe","@","","","19xx","Mr X","@","","","","","","","","",""
"@",,"03b01ab03eed93245608b5fb4ab4cab59ae13972","@","@","Recall Collection 451","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"03cc824dc2e5f2eec1bf5dcd396558d410578738","@","@","Ewox","@","","Language hu; Copyright Public Domain","1993","GOTU","@","","","","","","","","",""
"@",,"03eea9e28049759180568be49e2a491ef48dad7b","@","@","Recall Collection 278","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"0400653c33cd3badf843078275e75ab721758452","@","@","Recall Collection 233","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"04123ded3ef58803bef1fac9a05dd0583b66f98f","@","@","Lone News #04","@","","","1997/07","Luca-Fire","@","","","","","","","","",""
"@",,"042b0151a2ff62b21d65acd596e482a112b179d9","@","@","Molecule Man","@","","","1987","Mastertronic","@","","","","","","","","",""
"@",,"0442572f71c8aed3be5ad1321160d4a88094f0fd","@","@","Recall Collection 004","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"044a8e0545b205c3b2811c1763ec54b820e38c74","@","@","Recall Collection 283","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"045ab9f820f17d45300e2fd5c9c50036995b94aa","@","@","Recall Collection 257","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"045b406bb3560a0e8cf873356a0c5a1ec1c078dc","@","@","Recall Collection 210","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"046dec20ec4a2330543f54dcfa7f528993b77240","@","@","Recall Collection 486","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"04a75e58f383b5188d83d76a8fcfb7d51f0cb06d","@","@","Cad System C+4","@","","","19xx","@","hu","","","","","","","","",""
"@",,"04b277e48e7c0731b96c119a24a15a67c31ff5ea","@","@","Timeslip","@","","","19xx","English Software","@","","","","","","","","",""
"@",,"04b3916e210f9d74f2830d63657c10b78b502ab4","@","@","Extended Screen","@","","","19xx","@","hu","","[SYS4109]","","","","","","",""
"@",,"04b75714b563d46ae1286bd8be76463e932ad778","@","@","Puzzle 3","@","","Copyright Public Domain","1995","Scorpions","@","","","","","","","","",""
"@",,"04ba8bed95edd8bbbd2124bc1005bb56e453f25c","@","@","Spiky Harold 2","@","","","19xx","@","@","","","","","","","","",""
"@",,"04dc60f1e94c70e091794fcc2f5a09e90bf5d8b2","@","@","Recall Collection 249","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"04e4f6ca9a06b0296b7d5e67a61330330c569b6e","@","@","Citadel of Chaos","@","","Language hu; Copyright Public Domain","1992","FYC","@","","","","","","","","",""
"@",,"04e55cbd79d2c5224a7d97e13e9def608710230f","@","@","MOB Editor +","@","","","19xx","@","@","","","","","","","","",""
"@",,"05358a827eeaa48c9fb033cf31a55ebd7fb15467","@","@","Bic Mac","@","","","1985","Mastertronic","@","a","a 1","","","","","","",""
"@",,"055c51e76e849e8e5f5202aadd2c1e49003df8a3","@","@","Fury","@","","","1986","Firebird","@","","","","","","","","",""
"@",,"055f890e9202bee0421a94ace183d6f63193bc5b","@","@","Recall Collection 534","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"05628fb839e29fbda9c72e3f693c626dea34c6ca","@","@","Recall Collection 204","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"05701c893be033e6777e083962fc7cfec4adc36c","@","@","Recall Collection 105","@","","(Side D)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"0575ff3fcd5599b4a59012881cf59f905bb44af6","@","@","Pac Man","@","","Copyright Public Domain","1993","Charon","@","","","","","","","","",""
"@",,"0576ed360f78a929bf9065758a81b85fb64b0e52","@","@","Knockout","@","","","19xx","Solar Soft","@","","","","","","","","",""
"@",,"05864b33060fbbe3993663fa993fddcac0f4b86e","@","@","Decton","@","","Copyright Public Domain","1991","TGH","@","","","","","","","","",""
"@",,"05d33c11d859cb2f02eb55a946788b07e98dcee6","@","@","Karate King","@","","","1986","Kingsoft","@","","","","","","","","",""
"@",,"0606b02de1832264d5833f08d2910519c9e80b5d","@","@","Assedio","@","","","1985/05/17","Papersoft","it","","","","","","1","","",""
"@",,"060b1823cf725c4bf61ca3aee1373426257d5ea7","@","@","Tycon Tex Classic","@","","","1985","Gremlin","@","","","","","","","","",""
"@",,"061741d07c7b5a358a69e5b4a47b498bc6f1378b","@","@","Recall Collection 445","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"0623d476a79f0c9755864b3b806229d03312fb78","@","@","The King of Kings","@","King of Kings, The","","1989","Ott, Hartmut","@","","","","","","","","",""
"@",,"062dd0b747157f9b95b19000b53f3fddf1c5633d","@","@","Recall Collection 649","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"06366c1cdf35635af50947ccf5e1809a01d6d0db","@","@","Jetbrix","@","","","1986","Gremlin Graphics","@","","","","","","","","",""
"@",,"066e795750330a3316f966b125a33f581455ce90","@","@","Soft 80","@","","","1987","Kingsoft","de","","","","","","","Ghostware","",""
"@",,"068ecdb76f0bf20baac9ea0dbc28991c9adbf699","@","@","Recall Collection 051","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"06bc2f5d397a815329ff1cc85c76a35a18004b1a","@","@","Solo Spriter 2","@","","Copyright Freeware","19xx","@","@","","","","","","","","",""
"@",,"06e55a22bc196c3777ebda466898cf0aa6238158","@","@","Range Ball","@","","","19xx","@","@","","","","","","","","",""
"@",,"06e891b1e55bdb847a7c2635bc07f33a063f77fa","@","@","Recall Collection 039","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"06f3dce498c9937803848f18b6709d6bbd65bdb0","@","@","SCN News #12","@","","Language hu","19xx","@","@","","","","","","","","",""
"@",,"0704b4299660e140ad85ed6f4787f82db98c1b52","@","@","Lotus 123","@","","v 1.3; Copyright Freeware","1992","TLC","de","","","","","","","","",""
"@",,"07296ac5316f0467697d5225b32fb51a04acf971","@","@","Recall Collection 099","@","","(Side B)","1997","Dailly, Mike","@","","","","","","","","",""
"@",,"0729f140134ce9ab6f55b15724b06a58d6835871","@","@","Recall Collection 108","@","","(Side A)","1997","Dailly, Mike","@","","","","","","","","",""
