"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,00f654965aa14a6d291ca4929c694cc0ca728f63,@,@,"Mega Man IV",@,"","","1993","Capcom","us","","","","","fr","","","",""
@,,04b4ef496e498c781fbb76e259f3f760550af34f,@,@,"Bionic Commando",@,"","","1992","Capcom","us","b","b 7","","","","","","",""
@,,04b8ee7d8e08b9bf3a1b2951117578e00080341e,@,@,"Gradius - The Interstellar Assault",@,"","","1991","Konami","us","b","b 4","","","","","","",""
@,,06385470bb0b4ef6c743ab6a5e7f8d7a97f6100b,@,@,"Zidane - Football Generation",@,"","(M5)","2001","Aqua Pacific - Cryo Interactive","eu","","","","","","","","",""
@,,0841f55e18fe6e4a50df826703db22681169f2e7,@,@,"Evel Knievel",@,"","(M7)","1999","Rockstar - Tarantula Studios","eu","","[Nintendo Game Boy Compatible]","","","","","","",""
@,,08a112f0c3fdc4cd4c14cfb98683d25d5d8475de,@,@,"Turok 2 - Seeds of Evil",@,"","","1999","Acclaim - Bit Managers - Iguana Entertainment","jp","","[Nintendo Game Boy Compatible]","","","","","","",""
@,,09dbc2f94befe5c381c20796227a22e12bfd72d3,@,@,"Chuck Rock",@,"","","1993","Core Design - Sony","us","b","b 1","","","","","","",""
@,,0bff9f46f2c455e98a5f0d9c0d560eda88d939de,@,@,"Worms Armageddon",@,"","(M6)","1999","Infogrames - Team17","eu","","","","","","","","",""
@,,0cbcb55d4f0d0b76edbe61aa24c789b84a9f9a18,@,@,"Waterworld",@,"","(en)","1995","Ocean","eu","","","","1","","","","",""
@,,0d2cd84e95202705a1f66e76096e04a0c079bd3e,@,@,"Incredible Crash Dummies, The",@,"","","1992","LJN - Software Creations","us","b","b 2","","","","","","",""
@,,0eec40609d9e29e369925808447d0861772c8931,@,@,"Gradius - The Interstellar Assault",@,"","","1991","Konami","us","b","b 3","","","","","","",""
@,,1293d68bf9643bc4f36954c1e80e38f39864528d,@,@,"Nintendo Game Boy Color BIOS",@,"","","1998","Nintendo","@","","","","","","","","",""
@,,12dc5b05751214be3ce55da0fecaf23a41eb1881,@,@,"Bionic Commando",@,"","","1992","Capcom","jp","","","","","","","","",""
@,,149586120c3ae9c9614fa6e6a5e298cceae16c4d,@,@,"Batman - Return of the Joker",@,"","(en)","1992","Sunsoft","jp","","","","","","","","",""
