"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"0059479f8086bcdf40977ae48857ba60770f777a","@","@","MSX System v3.0 + MSX BASIC Panasonic WSX MSX2+","@","","","1988","Microsoft","us","","[MSX2P.ROM]","","","","","","","1"
"@",,"02be96449d573fb6cedb5edf9103070252e91485","@","@","Lasp Demo","@","","","1988","Lasp","@","","","","","","","","",""
"@",,"055066483bcad253b0c79af6fa65ec68ea2c45e7","@","@","Yoshida Kensetsu. Super Zelixer","@","","","1990","MSX Magazine","jp","a","a 3","","","","","","",""
"@",,"155702d3d41b8f8b3d4659d42aa474ce12f4d3c9","@","@","F-1 Spirit 3D Special","@","","(Disk 1 of 3); (Opening Disk)","1988","Konami","@","","","","","","","","",""
"@",,"196f0e8d263d69215cfc634e0518e7206136468d","@","@","Megadoom","@","","Demo 1","1992","First Class Software","nl","","","","","","","","",""
"@",,"1a27dbdfc863f91f504e5a478b6ea4bd324f93e2","@","@","Sony HB-F1XV Story Disk","@","","","1990","Sony","jp","","","","","","","","",""
"@",,"26f53fc39126975de5a607fd73c32b970a6124fc","@","@","Turtle Mania","@","","Demo 1","1997","WR","de","","","","","","","","",""
"@",,"29acb7529bcaca5b2f82a208e501ca6352ae87f8","@","@","Sonyc","@","","Demo 1","1995","Analogy","es","","","","","","","","",""
"@",,"2a0d228afde36ac7c5d3c2aac9c7c664dd071a8c","@","@","MSX-DOS","@","","v 2.2; (Disk 7 of 8)","1984","Microsoft","us","","[6]","","","","","","",""
"@",,"3330d9b6b76e3c4ccb7cf252496ed15d08b95d3f","@","@","Panasonic FS-A1WSX A1 Cockpit: Word Processor: MSX-JE","@","","","1989","Matsushita Electric Industrial","jp","","[FIRMWARE.ROM]","","","","","","",""
"@",,"3829be847ab17fc142b769a7d3ec6f7543ee5ddd","@","@","Quinpl","@","","","1988","Bit2","jp","a","a 1","","","","","","",""
"@",,"3eb33749d0308b5431d04709e1eebd9c6d990718","@","@","Kimagure. Orange Road","@","","Demo 1","1988","Micro Cabin","jp","","","","","","","","",""
"@",,"3fd1c3dacd8fc3b4fc4902ac35296ce30991ac9b","@","@","F-1 Spirit 3D Special","@","","(Disk 2 of 3); (Game Disk A)","1988","Konami","@","a","a 1","","","","","","",""
"@",,"3fdf86ccb98de95bd7b3775783257e377526e6ca","@","@","Yoshida Kensetsu. Super Zelixer","@","","","1990","MSX Magazine","jp","a","a 2","","","","","","",""
"@",,"42594512434e00081b773ef3b888d7130863d826","@","@","Playboy Late Night","@","","","19xx","MSX Club Challenger","@","","","","","","","","",""
"@",,"479320ea3013e7c0772a0817e604cd5d772b1fb3","@","@","MSX2Plus System Extension Panasonic WSX MSX2+ ROM Image","@","","","19xx","@","@","","","","","","","","",""
"@",,"5a4e7dbbfb759109c7d2a3b38bda9c60bf6ffef5","@","@","Disk BASIC v1.0 for HB-F1XV","@","","","1989","Sony","jp","","","","","","","","",""
"@",,"5aff2d9b6efc723bc395b0f96f0adfa83cc54a49","@","@","Kanji Driver 256k","@","","","19xx","@","@","","[KNJDRV.ROM]","","","","","","",""
"@",,"6240760c3c9a332d8cdd8b4c373949cbfe2a919c","@","@","Gulf Stream. Galf Streem","@","","(Disk 3 of 4)","1989","Xain","jp","b","b 1","","","","","","",""
"@",,"6354ccc5c100b1c558c9395fa8c00784d2e9b0a3","@","@","FM BIOS ROM Extension v1.3 1988-04-26 Unknown","@","","","1988","@","@","","[FMBIOS.ROM]","","","","","","",""
"@",,"63daaadce6ef18938788f3d1e4b08deff15fe5da","@","@","Laydock 2: Last Attack","@","","(Disk 2 of 2)","1988","T&E Soft","jp","","","","","","","","",""
"@",,"6bd1b8a6758a09501f7d68c652a93590f8b9b8a2","@","@","Quinpl","@","","","1988","Bit2","jp","b","b 1","","","","","","",""
"@",,"6c48f8dedd8494c3aabeea3af997363ed861ac0f","@","@","Megadoom","@","","(Disk 2 of 2); (Game Disk)","1992","First Class Software","nl","","","","","","","","",""
"@",,"6db2182db5f98c60db70cb79bfe8fb0ccb297c58","@","@","Quinpl","@","","","1988","Bit2","jp","a","a 2","","","","","","",""
"@",,"70d62bfb6505ae91b1afde000d7b5fb771a8b38d","@","@","Megadoom","@","","Demo 1","1992","First Class Software","nl","","[2 disks]","","","","","","",""
"@",,"7ed7c55e0359737ac5e68d38cb6903f9e5d7c2b6","@","@","Panasonic FS-A1WSX MSX Disk BASIC","@","","v 1.0","1989","Matsushita Electric Industrial","jp","","[DISK.ROM]","","","","","","",""
"@",,"84a645becec0a25d3ab7a909cde1b242699a8662","@","@","Kanji Driver 128k","@","","","19xx","@","@","","[KNJDRV.ROM]","","","","","","",""
"@",,"88411e1c1547d032c47bf41522bbadef634cc9f3","@","@","The Wig","@","Wig, The","","1989","MSX Magazine","jp","","","","","","","","",""
"@",,"898a8cad406389b27a54f1cbbe77a922c225b2ba","@","@","Playboy Strippoker","@","","","1992","First Class Software","nl","","","","","","","","",""
"@",,"8b41aac1d940fe06b2ae806eba1e5d3cebaf5134","@","@","Lubeck","@","","","1990","MSX Magazine","jp","a","a 1","","","","","","",""
"@",,"91f5bb326ebd889a199c0ff2406b45962793920e","@","@","MSX BIOS Panasonic WSX MSX2+ ROM Image","@","","","19xx","@","@","","","","","","","","",""
"@",,"9877150e691d41b615683684cf0b78fc84649d37","@","@","F-1 Spirit 3D Special","@","","(Disk 2 of 3); (Game Disk A)","1988","Konami","@","","","","","","","","",""
"@",,"987c59d42eb13ffff8a021d28f4cce1a31178667","@","@","Twinkle Star II","@","","","1990","MSX Magazine","jp","a","a 1","","","","","","",""
"@",,"9ab94b449cb3b2c7ea7f87c2f03eebfacddc4019","@","@","F-1 Spirit 3D Special","@","","(Disk 3 of 3); (Game Disk B)","1988","Konami","@","","","","","","","","",""
