"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Blowpipe,,0088bc7f35b3399b8373c81ff5d6b86398d0b6f7,,,,,,"(Disk 2 of 2)",19xx,Eclipse,,,,,,,,,,,,,,
Populous,,00b5723f7838fd4562b6d9c1c39f2ca9b17cecae,,,,,,,1989,Bullfrog,,,,,,,,,,,,,,
"Colour Umoria v5.4.0",,02a562035c181025f71e4093a87b4db3a38a9941,,,"Colour Umoria",,,"v 5.4.0",1992,"Poor, Edouard",,,,,,,,,,,,,,
"Punters Predictor, The",,03bf4c37413af1381cfc1e9c4ec9b421200cf24f,,,"The Punters Predictor",,"Punters Predictor, The",,19xx,,,,,,,,,,,,,,,
Corewars,,044183cae7e4bdec0949953d90697af12f8231c5,,,,,,,19xx,,,,,,,,,,,,,,,
@,,0643ff628d74cbf375e52ff7162e6f18cd4c15a7,,,"SpeedBall 2",@,,,2001,"R-Comp Interactive",gb,,"[F1054601 - RPC-SA-Kinetic-RO4 Compatible Version]",,,,,,,,,,,
Guile,,07d171bb3e89ee52f2c88de114a28e239b08ba2a,,,,,,,19xx,"Dream Software",,,,,,,,,,,,,,
@,,0838b3ea28fde1d2ec44971b4a64d8c65589b5ff,,,"Fire & Ice",@,,"(Disc 2 of 2)",1995,"Warner Interactive Entertainment",@,,[F1015402],,,,,,,,,,,
Twinworld,,088b9ad03376520821e446a1be89525b502bb025,,,,,,,1991,Ubisoft,,,,,,,,,,,,,,
@,,090278741a1fd4f28f41c9ed769f6af259d3e347,,,Caverns,@,,,1991,Minerva,gb,,[F1007201],,,,,,,,,,,
"Acorn Archimedes RISC OS Application Suite v1.00",,0a926620d68688766e81593b8150dbcebdb51b11,,,"Acorn Archimedes RISC OS Application Suite",,,"v 1.00; (Disk 2 of 2)",19xx,Acorn,,a,"a 1; [Req RISC OS]",,,,,,,,,,,
"Iron Lord",,0ab4fe5316b43ddfd5b9eb48eef685cfab747d63,,,,,,,1990,"Ubi Soft",,a,"a 1",,,,,,,,,,,
@,,0b0d5332bf4abb5bd2ca5c37e802f5aa942a3aa6,,,Lemmings,@,,,1991,"Krisalis Software",gb,,[F1022701],,,,,,,,,,,
"Interdictor 2",,0be4c7d47da5634b68fda1408daa2c9cfd227e2b,,,,,,,1989,Microsupplies,,,,,,,,,,,,,,
"Mad Professor Mariarti",,0c78593f587476f68e2d7b5742b88a340412ca8b,,,,,,,1990,Krisalis,,,,,,,,,,,,,,
