"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Draughts v2.1",,0000bae54eaaa8d5507cc0d7a444aaeac03df97d,,,Draughts,,,"v 2.1",19xx,Acornsoft,,,,,,,,,,,,,,
Music,,000227a6d602fb79d072fe8fa0862e25f50569bb,,,Music,,,,1983,"Bug Byte",,,[MUSIC],,,,,,,,,,,
"Stairway to Hell: Games Disc CH13-r1",,00078ee68a22e2419df935d6fe938c3b6f9adc61,,,"Stairway to Hell: Games Disc CH13-r1",,,,19xx,,,,,,,,,,,,,,,
"Video Card Arcade",,0010977af229b58af8553df6fcee85194a6a1d28,,,"Video Card Arcade",,,,1987,"Blue Ribbon",,,[ARCADE],,,,,,,,,,,
"BBC PD Disk 140: Mixture",,00124ee31ea504f9b3fdeeb3414d04a5dac5a7dd,,,"BBC PD Disk 140: Mixture",,,"Copyright Public Domain",19xx,,,,,,,,,,,,,,,
"BBC PD Disk 142: Ultraword Plus",,001582aea554380ce095cc3dcd8790de231083ae,,,"BBC PD Disk 142: Ultraword Plus",,,"Copyright Public Domain",19xx,,,,[ADFS],,,,,,,,,,,
"Repton 3: Repton Thru Time",,002e8ab4c968d406231182e0e156291e85716b7b,,,"Repton 3: Repton Thru Time",,,,1988,Superior,,,"[RUN !BOOT]",,,,,,,4,,,,
Galilee,,002f47fc2090143cb9cfa7093b9a871a207089ba,,,Galilee,,,,19xx,Shards,,a,"a 1; [GALILEE]",,,,,,,,,,,
Flip!,,00342ca668e5e6955b1733b609ce203cab5990d1,,,Flip!,,,,1986,Audiogenic,,b,"b 1",,,,,,,,,,,
Positron,,00393437e0e1a3f23e4948ffd4e50bc066512076,,,Positron,,,,1983,Partis-Soft,,,,,,,,,,,,,,
"Mouse Trap",,003f0a961df0bf7e0eaafb10db4653ca2266a0eb,,,"Mouse Trap",,,,19xx,Tynesoft,,a,"a 1; [MOUSE]",,,,,,,,,,,
"Stairway to Hell: Games Disc 4D4-r1",,004a06ab1d0f3846e8a6dc21c704ca74778a4d42,,,"Stairway to Hell: Games Disc 4D4-r1",,,,19xx,,,,,,,,,,,,,,,
Citadel,,004d363b9a58e015150e65f47d50b76e98a16987,,,Citadel,,,,1985,Superior,,,,,,,,,,3,,,,
"BBC PD Disk 014: Pictures",,0050c2a4e9fcddc2e0c4e2449da2baa30c580c56,,,"BBC PD Disk 014: Pictures",,,"Copyright Public Domain",19xx,,,,,,,,,,,,,,,
Boffin,,005d2bc9d7d73cf5d434e5cab6849eaaf25ff8b8,,,Boffin,,,,1985,"Addictive Games",,,,,,,,,,1,,,,
Ultron,,005f07785f49fe9b892d6685b575d288974916e2,,,Ultron,,,,19xx,Viper,,,,,,,,,,TSTH,,,,
@,,005f1a27f371cf00cf666627aa5e10277628922c,,,"Printer Controller",@,,"v 1.0",19xx,"Micone Computer",@,,,,,,,,,,,,,
"System 15000",,0062afa318585cca8a2dd66a8207783eb8022ede,,,"System 15000",,,,19xx,AVS,,,[SYS1500],,,,,,,,,,,
"Games G-H",,007222fc4af06e98352618ac96edcd08cace27f7,,,"Games G-H",,,"(Side 0)",19xx,,,,,,,,,,,,,,,
"Stairway to Hell: Games Disc M1-r1",,007c5658a6ba76a2158b28587d40f62740af3e2b,,,"Stairway to Hell: Games Disc M1-r1",,,,19xx,,,,,,,,,,,,,,,
"Stairway to Hell: Games Disc TY4-r1",,008552b34c6f47f54107dc5ff31211735f40d2d0,,,"Stairway to Hell: Games Disc TY4-r1",,,,19xx,,,,,,,,,,,,,,,
"BBC PD Disk 005: Red Shift Music",,0091d92fc9504835ee46544decdfcf32a5863aca,,,"BBC PD Disk 005: Red Shift Music",,,"Copyright Public Domain",19xx,,,,,,,,,,,,,,,
"JJF PD Disk 06: Graphics Disk 4",,0096d4a34258317da561f5e4f0a8e4338f921e2d,,,"JJF PD Disk 06: Graphics Disk 4",,,"Copyright Public Domain",19xx,"Farmer, J.",,,,,,,,,,,,,,
@,,00a570f50431c264a5f07c7a732947155fa049c8,,,MedMon,@,,,19xx,@,@,,,,,,,,,,,,,
"Stairway to Hell: Games Disc SU04-r1",,00b91bdb44ca2944330ea8c86dc4a9246c144b64,,,"Stairway to Hell: Games Disc SU04-r1",,,,19xx,,,,,,,,,,,,,,,
Cricket,,00bc1f28152ff21cc33ba26049d3db5d6b254b5b,,,Cricket,,,,19xx,A&F,,,[HOWZSAT],,,,,,,,,,,
Sim,,00d2d9a02d0ea798bf486594af37a3e5f729d15c,,,Sim,,,,19xx,"Software Factory",,,[SIM],,,,,,,3,,,,
"Space Lords",,00dd8bfb41e48ba1c36aea122f4aa7207595d7c0,,,"Space Lords",,,,19xx,,,a,"a 1; [SPACE]",,,,,,,,,,,
"7 Card Patience",,00e6e06985e7ea0e755e63471f270ad59353b58b,,,"7 Card Patience",,,,1986,"Bloodworth, Dick",,,[7CARD],,,,,,,,,,,
"World Travel Game",,00e776a827b939f62267e46766505b25acb2e5d0,,,"World Travel Game",,,,1983,"Hessel, S.",,a,"a 1; [TRAVEL]",,,,,,,,,,,
"Gnome Adventure",,00f63fc933c478bd1d830e936ee088bf6ca32af5,,,"Gnome Adventure",,,,19xx,"Model B Computing",,,[GNOME],,,,,,,,,,,
"Stairway to Hell: Games Disc T2-r1",,0105ead6d579a0d1fa4926eacd5af03f32961d84,,,"Stairway to Hell: Games Disc T2-r1",,,,19xx,,,,,,,,,,,,,,,
"Colossal Adventure",,0111cf03c35ed18588135f8b954aeab67717af49,,,"Colossal Adventure",,,,19xx,"Level 9",,,[COLOSSA],,,,,,,TSTH,,,,
"JJF PD Disk 43: Family History",,01129a05cd96f2246b3463d07d33cf8ecf8090e7,,,"JJF PD Disk 43: Family History",,,"Copyright Public Domain",19xx,"Farmer, J.",,,[ADFS],,,,,,,,,,,
@,,011abd24809938840d4ad41a9ae904d38cd8c385,,,"Helping Hand",@,,"v 1.29",1987,"JCD - LBL",@,,,,,,,,,,,,,
"Shrinking Professor's Quest, The",,011b661068bf4cc1a19f4656a32ce160ef143d5e,,,"The Shrinking Professor's Quest",,"Shrinking Professor's Quest, The",,1983,A&F,,,,,,,,,,,,,,
"Star Trek",,01248e2954283939fc177b8a6851f6c97f04c757,,,"Star Trek",,,,1983,"Schubert, C.",,,[TREKINS],,,,,,,,,,,
@,,013e13141a44553c0690ab86ed478151bb462c93,,,Monitor,@,,"v 0.01",1983,ISMEC,@,a,"a 1",,,,,,,,,,,
@,,01455e8762fe21a5fbb0c383793bcc6e9c34904c,,,"Watford Electronics DFS",@,,"v 1.30",1983,"Bray, A.C.",@,,,,,,,,,,,,,
"Tombs of Tutankhamen, The",,014a48a1d59abebd592b32e3f6c392de024c9d44,,,"The Tombs of Tutankhamen",,"Tombs of Tutankhamen, The",,19xx,"Micro User",,a,"a 1; [TUTAN]",,,,,,,,,,,
Speech!,,014dd531dd738362bf7182fb53d088a9a58d71e4,,,Speech!,,,,1985,Superior,,,,,,,,,,TSTH,,,,
Nevryon,,01515f1eca0eb97154040fa2f7b35d09c64ad28c,,,Nevryon,,,,1990,"Fourth Dimension",,,,,,,,,,,,,,
"Worm Book, The",,0152d667cc77e1d98dd396eab74aa9137150e278,,,"The Worm Book",,"Worm Book, The",,19xx,"Ahlberg, A. - Ahlberg, J.",,,,,,,,,,8-Bit,,,,
Snowball,,015c6071463cf2c8237bf319ae43db8e1643b56e,,,Snowball,,,,1983,"Level 9",,,,,,,,,,,,,,
Commando,,017150b74c58d7445628aa8a15622a2cd0d16fbb,,,Commando,,,,19xx,Elite,,a,"a 1",,,,,,,,,,,
Scrabble,,018af6c3353470e0fd667bb5a6b4850e8e860bfe,,,Scrabble,,,,1984,"Leisure Genius",,,,,,,,,,2,,,,
"Quest Probe 2: Spiderman v1.0",,018c9744c9acc411b83a5e25126a8ed775151508,,,"Quest Probe 2: Spiderman",,,"v 1.0",1984,"Adventure International",,,,,,,,,,TSTH,,,,
DogFight,,018cdeb18d23d6b942fd69aefeb1c559879529e7,,,DogFight,,,,19xx,"Program Power",,,[DOG],,,,,,,,,,,
"BBC PD Disk 104: Game Cheats & Solutions",,0199d933be46b039ddb4b2b65e7900c07584fa5a,,,"BBC PD Disk 104: Game Cheats & Solutions",,,"Copyright Public Domain",19xx,,,,,,,,,,,,,,,
Breakout,,01a4fb7b7dcf41a4b6c5eda5d361733086027726,,,Breakout,,,,1983,"Melville, C.",,,[BREAKTR],,,,,,,,,,,
"Crown of Mardan",,01c10f184a9d8c6457e4b03778c0adabe69770cd,,,"Crown of Mardan",,,,1984,MP,,a,"a 1; [MLOAD]",,,,,,,,,,,
