"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"!Multi-Game Disks",,0008ddf2d6e8a5b0be941fae660bc0fcb49cf28d,,,"Mega Phoenix | Strider 2",,,,19xx,,,?,,,,,,,,,""" "",cat",,,
"Rescate Atlantida",,000c19d8af341c6a4193fcaf8a032a5db9bf8dd4,,,,,,,1988,,es,,,,,,,,,,""" "",cat",,,
DSK-CPC,,000c43b9c10dc7867a6742747a9d67fa4aaf8872,,,,,,v1.0,1997,"Divine Coding",gb,?,d1,,,,,,,,""" "",cat",,,
"Project Future",,000c89a1289e8eee1131dbee3fa162c4b94870c0,,,,,,,1985,Micromania,gb,?,,,,,,,,,""" "",cat",,,
"007: Living Daylights: Computer Game",,00113d107185be5c740ea2ed5884a76d6036cb39,,,,,,,1987,,gb,,,,1,,,,,,""" "",cat",,,
@,,0015db662500074ec8a1dfa860069b5c1c6853fb,,,"Half Rest",,,@,2022,Panetonent,@,@,@,@,@,@,@,@,@,@,@,,,
Prodigy,,0018728f3a98487b8bf0790f3108f0916ccbace0,,,,,,,1986,"Electric Dreams Software",gb,?,,,,,,,,,""" "",cat",,,
@,,0020144bd09eab6cd57aa120199d40ad31b44334,,,"Dire Dare",,,@,2022,CNGSoft,@,@,@,@,@,@,@,@,@,@,@,,,
"!Public Domain",,0023fd49b1f6ed597f226e46d3d853ecf504bea4,,,"Voyage 93 Megademo",,,"Disk 1 of 2",1993,,gb,?,,,,,,,,,""" "",cat",,,
DISC285A,,00260acb55f91e79d4eb9cee73e3b8d315ea5b5b,,,,,,,19xx,,,?,,,,,,,,,""" "",cat",,,
"!Public Domain",,0026bf744500226b4653ee165ae2bd295ab93e30,,,Anduril,,,,19xx,Schingnitz,de,,,,,,,,,,""" "",cat",,,
Tenebres,,002a6607547fa874cdde8bc5af06e97280ea9a4e,,,,,,"Disk 2 of 2",1987,"Rainbow Productions",fr,!,,,,,,,,,""" "",cat",,,
"!Public Domain",,002d5728f8cf4ea1d709d9394e7ce1c99c1afaf4,,,"La Planete Mysterieuse",,"Planete Mysterieuse","128K | Disk 2 of 2",2005,,gb,?,,,,,,,,,""" "",cat",,,
"!Public Domain",,002f2fbbe281edfd7705cd48ea3e751f1bf6104c,,,"The Hitchhiker's Guide to London",,"Hitchhiker's Guide to London","Disk 1 of 3",1994,,gb,,,,,,,,,,""" "",cat",,,
