"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Mr. Do!'s Castle",,002e6f8c7533b03f8041e7f1896589c0ab0e17a6,,,,,,,1984,"Parker Brothers",us,?,9420,,,,,,,,@,,,
Zenji,,00d47c2d839f7026cece1e1ea17796278f6fdc55,,,,,,,1984,Activision,us,b,FZ-010,,,,,,,,@,,,
"Track and Field",,0149a57b81a12267512bf3df973ed9be8420ba6d,,,,,,Prototype,1984,Atari,us,o,CX5258,,,,,,,,@,,,
"Moon Patrol",,02dd5b9278c06ae8cbb6dacc094e238fbacf08d2,,,,,,,1983,Atari,us,?,CX5241,,,,,,,,@,,,
"Blue Print",,034ca9771250ad96ea9f917bd557661f2c049f82,,,,,,,1983,"CBS Electronics | Bally Midway",us,o,80033,,,,,,,,@,,,
"Combat II",,038d0ca61d0e1c17fb322957a2afa91fcca17546,,,,,,"Demo playable",2002/12,"Mean Hamster Software",,?,,,,,,,,,@,,,
@,,03eb3596203cf97a931c4974ba70f52b599a5571,,,"Cross Chase",,,@,2017/10/11,"Caruso, Fabrizio",@,@,light,@,@,@,@,@,@,@,@,,,
"James Bond 007",,0497d1c054bf1a92912746855b5a7f0404cab966,,,,,,,1983,"Parker Brothers",us,b,9100,,,,,,,,@,,,
"Space Invaders",,051a6c394128e7c36ac7332f9be87143bada980a,,,,,,,1982,Atari,us,b,CX5204,,,,,,,,@,,,
"Miner 2049er starring Bounty Bob",,0564b1867a0b570d66dfcbc11adc3e51a2c6f28c,,,,,,,1983,"Big Five Software",us,?,BF1912,,,,,,,,@,,,
"Star Raiders",,05d7a6ec49a57ad41b5e1e50645f24a4263ad2f9,,,,,,,1982,Atari,us,b,CX5202,,,,,,,,@,,,
"Super Breakout",,068cc18668e3211928a9b5b32477253ff3a71788,,,,,,,1982,Atari,us,o,CX5203,,,,,,,,@,,,
"Castle Blast",,087ee6ab4a949195f1c7649dc048b54a84b845b5,,,,,,"v0.03 | Demo",2002,"Habot, Ronen",us,?,CX5280,,,,,,,,@,,,
Stargate,,09d192a3598cdadfb61eceb430b3d5892e40962f,,,,,,Prototype,1984,Atari,us,?,CX5252,,,,,,,,@,,,
"Ms. Pac-Man",,09e77064ebc06b8af70577a086cd175adeefd9a4,,,,,,,1983,Atari,us,b,CX5243,,,,,,,,@,,,
"Space Shuttle: Journey Into Space",,0a3d7a47025cf7f42d6cbb7b09a6505ee4a884fe,,,,,,,1983,Activision,us,o,FZ-012,,,,,,,,@,,,
"Super Cobra",,0a691a56577c70b118a0ea412e7d67f9dde9d4a6,,,,,,,1983,"Parker Brothers",us,o,9550,,,,,,,,@,,,
Roadrunner,,0a7aaef5b0ede927cea13e724906207e1db48068,,,,,,Prototype,1982,Atari,us,?,CX5242,,,,,,,,@,,,
Galaxian,,0a996b2c6c21171fc39c409bf86077bb48631b2f,,,,,,,1982,Atari,us,b,CX5206,,,,,,,,@,,,
"Captain Beeble 5200 Conversion",,0de403ae063e873b2f80169eaf29ece687c9f09b,,,,,,,2004,"InHome Software",,?,,,,,,,,,,,,
Galaxian,,0df0d7f11d89e2c5b59cc9f98d67d98e203831aa,,,,,,,1982,Atari,us,?,CX5206,,,,,,,,@,,,
@,,0ea3771443e67dcbeb191a4520160f75e496dda4,,,"Cross Snake",,,v1.0,2020/12/12,"Caruso, Fabrizio",@,@,@,@,@,@,@,@,@,@,@,,,
"Frogger II: Threeedeep!",,0ef069dc39aaa0e440acaf0f04a7123b2b77f2ac,,,,,,,1984,"Parker Brothers",us,,9090,,,,,,,,@,,,
"Sport Goofy",,0f00f8c1602127e9d16ae2d578481b025e88a807,,,,,,Prototype,1983,Atari,us,b,CX5237,,,,,,,,@,,,
Pitfall!,,0f355115ee9217bbdfbbb4b2bd4e1366c21654b9,,,,,,,1984,Activision,us,o,FZ-004,,,,,,,,@,,,
Joust,,0f74125edac90ffd1274a128df2970c239348fb5,,,,,,,1983,Atari,us,?,CX5240,,,,,,,,@,,,
"Jr. Pac-Man",,122c0897e56976f00b06e5da5240d20867715171,,,,,,Prototype,1984,Atari,us,b,CX5251,,,,,,,,@,,,
Millipede,,1243a8ecfc02a74ae4e1f4fcda38502776f45cb0,,,,,,Prototype,1984,Atari,us,?,CX5248,,,,,,,,@,,,
"Space Dungeon",,127ed1c31c3e85d10212eee7b9e6d71aef7dd891,,,,,,,1983,Atari,us,?,CX5232,,,,,,,,@,,,
@,,129a19bf1e632f63ea9ecd942bad44bdd3980964,,,"Cross Demo",,,@,2020/07/28,"Caruso, Fabrizio",@,@,@,@,@,@,@,@,@,@,@,,,
Galaxian,,170d77a766b44dac0dfcb0446b071e15aa0973f7,,,,,,,1982,Atari,us,o,CX5206,,,,,,,,@,,,
"Quest for Quintana Roo",,17a41c5f9a32f8a71939cfaa0e96807b951aedad,,,,,,,1984,Sunrise,us,?,1603,,,,,,,,@,,,
"!Public Domain",,17d3be7af2f2aaa057635889d2daaed83d848676,,,"5200Basic: Echo: V.BrainFck",,,,2001,"Johnston, Jeffry | Johnston, Jeffry",,?,,,,,,,,,,,,
"Zone Ranger",,18315bec1e62102290feeb77fb290e1266cf5bfc,,,,,,,1984,Activision,us,?,FZ-101,,,,,,,,@,,,
Asteroids,,18697dd8e640fa1578b3b4ae09af484c14fb8410,,,,,,Prototype,1983,Atari,us,!,CX5201,,,,,,,,@,,,
"Mountain King",,18f2d237a6a5bcb46a4b2466efc507723fa64e6b,,,,,,,1984,"Sunrise Software",,?,,,,,,,,"Two Port",,,,
"!Public Domain",,18fba486e3e82d722df4b40e65110d208581adc7,,,"5200 POK Music: Dust in the Wind",,,,2002,"Johnston, Jeffry | Johnston, Jeffry",,?,,,,,,,,,,,,
"Star Trek: Strategic Operations Simulator",,19801454ab86f2a5cf691fcd577a71ad2b8dc7d5,,,,,,,1983,Sega,us,?,004-02,,,,,,,,@,,,
Pengo,,19ff7622dbbc2915e3e98d8d966340e7e893ff34,,,,,,,1983,Atari,us,?,CX5236,,,,,,,,@,,,
Frogger,,1d92077b4a821cd68eccdbb6201f76f3d0b81634,,,,,,,1983,"Parker Brothers",us,o,9530,,,,,,,,@,,,
"Space Invaders",,1daae2688fefb079b1f95efb3efb10385017426c,,,,,,,1982,Atari,us,o,CX5204,,,,,,,,@,,,
Ballblazer,,1dfd9cb5eb608590c84e14376291f8c02fb1ab93,,,,,,,1986,"Atari | Lucasfilm",us,?,CX5255,,,,,,,,@,,,
"Blue Print",,1e1a20c104bf4d55eca0ca1e72dc5dc64fa6b1b5,,,,,,,1983,"CBS Electronics | Bally Midway",us,?,80033,,,,,,,,@,,,
