"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Viking Child",,0012d0497445bd3dc1b6e577b0fc4dfc9354153f,,,,,,,1991,"Atari Corp",,b,,,,,,,,,,,,
"Awesome Golf",,0023bbb8ce6fd1fa1808c69ae0590d137219a8ab,,,,,,,1991,"Atari Corp",,b,,,,,,,,,,,,
"Sprite Demo 5",,004fb8c07cbe79b6901d472077bbfce743ff885a,,,,,,,2000,"Domin, Matthias",,,,,,,,,,,,,,
"Marble Madness",,006147cb3b3c4e4551fd18266899ef308814f2ce,,,,,,,1999,"Matthias Domin",,,,,,,,,,,,,,
"Demo 1",,0084572f66093217fae4fc5a29bdf1fab8a36c60,,,,,,,1996,PD,,,,,,,,,,,,,,
"Blue Lightning",,00db17da5a4c29619681d788c928ca160095f46c,,,,,,,1989,"Epyx Inc",,,,,,,,,,,,,,
"Switchblade II",,01fb0609e292d84de23adee31be44605e9d0503c,,,,,,,1992,"Atari Corp",,,,,,,,,,,,,,
"Pit Fighter",,0214284156269f7666e47b29250e51e6814f60a3,,,,,,,1992,"Tengen Inc",,b,,,,,,,,,,,,
@,,02b710dd5243f3e1059c1e63a155b2af1b41898d,,,"Fishing for Atari",,,,2019/12/12,LudoScience,,,,,,,,,,,,,,
"Sprite Demo 3",,02bebf280dc30bb1b66918f8734e32e76007a976,,,,,,,2000,"Domin, Matthias",,,,,,,,,,,,,,
@,,02e4cdbdced621c009709418d791a42ec5e07ffc,,,"Fishing for Atari",,,,2019/12/12,LudoScience,,,,,,,,,,,,,,
@,,034367a5615d8c1d619a83c5a0f65f277c670ec6,,,"Atari Lynx II Production Test",,,v0.02,1989,Atari,,,,,,,,,,,,,,
@,,03bd31e278a0517f8ae81c7a8d8b26b64058c58d,,,Loopz,,,"v0.06 / proto",1992,"Hand Made Software",,,,,,,,,,,,,,
"Switchblade II",,03e83e5cf6d73916ce776e20783245ef846fd822,,,,,,,1992,"Atari Corp",,b,,,,,,,,,,,,
Hockey,,0465752c632e396218ce4d8a111c005e7dda55a2,,,,,,,1992,"Atari Corp",,b,,,,,,,,,,,,
@,,048a922b01182a330811bc7ff6ec807a8eef86cd,,,"Cross Chase",,,,2018/08/04,"Caruso, Fabrizio",,,light,,,,,,,,,,,
@,,04cc0e3b65d9f37664f02d9ecc18b698ed33bdfb,,,"Saving Santa Tree: LynxMas 2020 r1",,,,2020/12/21,Fadest,,,,,,,,,,,,,,
@,,04d0eec3d595b3da9fec55a20ef7fbc0d2a19c26,,,"Shadow of the Beast",,,,1992,"Atari Corp",,,,,,,,,,,,,,
@,,051f95a0c5b60e8c517b8df08f449110ed2bca68,,,"Fidelity Ultimate Chess Challenge",,,,1991,Telegames,,,,,,,,,,,,,,
"Mandelbrot Demo",,06a384102a1092b9345a3f8474bdd30943e16294,,,,,,,1993,"Schick, Bastian",,,,,,,,,,,,,,
"Puzzler 2000: Playable",,0804caa4e15bcde2a51b475103787539c2578d0a,,,,,,v0.43,1998,"Wuhl, Markus",,,,,,,,,,,,,,
"Mini Demo 6",,0a2f8a150aebb98cad3f64f6d35f22617b7436d2,,,,,,,1998,,,,,,,,,,,,,,,
@,,0f29a97c583707b777238b630213682c8da10c19,,,"Banana Ghost",,,v0.1,2021/12/11,Bjorn,,,,,,,,,,,,,,
"Super Sprint Title Screen Demo",,0f9d1b5b5e98f832bdddd68ab3cf09efc5262149,,,,,,,2000,,,,,,,,,,,,,,,
"Fat Bobby",,107f626ef5f7fbd459aec38a879de0d438ff651c,,,,,,,1993,"Atari Corp",,,,,,,,,,,,,,
"Scrapyard Dog",,112e6433deca07dd49e2adf1a436cacfe94af7d6,,,,,,,1991,"Atari Corp",,,,,,,,,,,,,,
"Sprite Demo 4",,121ff9e1fae2690fcfc1e21543361ac0d37edfc3,,,,,,,2000,"Domin, Matthias",,,,,,,,,,,,,,
"Double Dragon",,1227eb28e6bad3c30b38d3dbfa9f929d836300c5,,,,,,,1993,Telegames,,,,,,,,,,,,,,
"Demo 6",,12c82b878a1b27e79bddd1a55ceba8b5adeb9dc7,,,,,,,1996,PD,,,"a 1",,,,,,,,,,,
"Puzzler 2000: Air Music",,131779458f9f53f5ad37d2fc4e9ac1a2139eeb72,,,,,,,1998,"Wuhl, Markus",,,,,,,,,,,,,,
@,,1333d7f43134d01cc6c62cfe66778b6fc7471dac,,,"Dragnet Music",,,,1994,"Schick, Bastian",,,,,,,1,,,,,,,
Clicks!,,140a308a72ed20885def95f15a14ea9eac560e75,,,,,,,2001,PD,,,,,,,,,,,,,,
"Chip-8 Emulator",,149a0045ccf2fb1ba0f994a35c65bba08397b5a3,,,,,,v0.4,2004,,,,,,,,,,,,,,,
"Boing Demo",,149c0affe92bb067f30fab86e09c29de58604322,,,,,,,19xx,,,,,,,,,,,,,,,
"Remnant Planar Wars 3D",,1625b0c76cdd2c88cbd0f8d284dfc8668413c9a5,,,,,,,2000,Songbird,,,,,,,,,,,,,,
"Super Skweek",,16d87f8d6862dda9f74ddeeb2d19b2f2df2c5c7e,,,,,,,1991,"Atari Corp",,b,,,,,,,,,,,,
"Show King Tut",,1a621da9049ac53e085b60c927459631229d80c7,,,,,,,1996,PD,,,,,,,,,,,,,,
"Ninja Gaiden III: Ancient Ship of Doom",,1d239d809c4009122c04dc31c122714bd96b2dd6,,,,,,,1993,"Atari Corp",,b,,,,,,,,,,,,
"Fire (Fever)",,1d32b58b450eb646c46eaf96665a4ae2ab9455dc,,,,,,vDemo,1997,PD,,,,,,,,,,,,,,
Paperboy,,1d6a284203fdcfbda76ded39cd6be61ec2364ce1,,,,,,,1990,"Tengen Inc",,,,,,,,,,,,,,
"Desert Strike: Return to the Gulf",,1e529493866d6485074233458b40c4e7b0f032ef,,,,,,,1993,Telegames,,,,,,,,,,,,,,
Warbirds,,1ef0c1f7400debef08854bf521585bd3f10e7f67,,,,,,,1990,"Atari Corp",,,,,,,,,,,,,,
"Pinball Jam",,1f1695acbecf39cf6fd7afa71ce5f5e0ec80934d,,,,,,,1992,"Atari Corp",,,,,,,,,,,,,,
"Stardreamer 2000",,1f494c58b914b57e8c7565376e22d3e7f1509868,,,,,,,2000,,,,,,,,,,,,,,,
Xenophobe,,1f8a8e144d8ea19cfb2ec2f198060ba933b94849,,,,,,,1990,"Atari Corp",,,,,,,,,,,,,,
"Dungeon Routine 2",,205d1f8e156db88d1ea215878df826b381a008fb,,,,,,,1998,"Domin, Matthias",,,,,,,,,,,,,,
"Digidemo 2",,20854f17f7081020804b8c1628dab117b9e54d05,,,,,,,1994,"Schick, Bastian",,,,,,,,,,,,,,
"Lite (Fever)",,20f4c1664dadcbf6af6013c2a42407c556fd0efe,,,,,,vDemo,1997,PD,,,,,,,,,,,,,,
"Micro Font Data",,213321f2b78ed7c38748beea231f7ef240622234,,,,,,,1999,PD,,,,,,,,,,,,,,
"Demo 4",,2219166b8436c00c3fa57c6a8de70b7c7e2f8757,,,,,,,1996,PD,,,,,,,,,,,,,,
"NFL Football",,22735fcd59eb028a4041027a369602b0bd968eb5,,,,,,,1990,"Atari Corp",,,,,,,,,,,,,,
"Zarlor Mercenary",,24397a46e45ae34d7b06b222c56f950976ab44b6,,,,,,,1990,"Epyx Inc",,,,,,,,,,,,,,
"Baseball Heroes",,24ac0f785cbcd6ad7048a4658bd29814917ecae6,,,,,,,199x,,,b,,,,,,,,,,,,
"Rygar: Legendary Warrior",,24e14920178e3481f161783b73efca0a1594c8cf,,,,,,,1990,"Atari Corp",,,,,,,,,,,,,,
@,,260a30abfa0e8fa9a725632b64078f8a0ef80250,,,Joust,,,,1993,"Shadowsoft Inc",,,,,,,,,,,,,,
"Mines 2",,2776b2df46da82cc586fc9c739e7d386832631bf,,,,,,,1996,PD,,,,,,,,,,,,,,
"Chip-8 Emulator",,27e4cf003e98bc8a66c3627976b18e33fa820b12,,,,,,v0.6,2004,,,,,,,,,,,,,,,
"C65: GFXTest",,27e72571d89b4368f2101686ce4d1bcb3258ff95,,,,,,,1998,,,,,,,,,,,,,,,
"Viking Child",,2a0a1e303da1d8fc2ea1c59a16398946787614a6,,,,,,,1991,"Atari Corp",,,,,,,,,,,,,,
MandelBrot,,2a5ce00756acec65e1369b3b21f43cfddfdb1c47,,,,,,vDemo,1996,PD,,,,,,,,,,,,,,
@,,2a60550107b9bfb1b26cb8ebde5f5b8130489b33,,,"Cross Horde",,,,2022/04/22,"Caruso, Fabrizio",,,gfx,,,,,,,,,,,
"Block Out",,2adf79d64dd1bb38e1d9a189f30689df9cf2028c,,,,,,,1990,"Atari Corp",,,,,,,,,,,,,,
"Turbo Sub",,2bb868192ab67fad08dfb6b5c04c75866391497a,,,,,,,1991,"Atari Corp",,,,,,,,,,,,,,
"StarDreamer: Docked",,2be5c978dc927d51bc4797be891e8c336c0a3cc4,,,,,,,2002,PD,,,,,,,,,,,,,,
@,,2ca99c46739077cea12c5ca5fe9dab9a7b88a006,,,"Silly Venture 2K14 Invitro",,,,2014/11/25,"Inter Development / Lamers / Sage / Resistance",,,,,,,,,,,,,,
"Steel Talons",,2d3536b3c5f3b8aa9dd5d952dbd43beac3043f6f,,,,,,,1991,"Tengen Inc",,,,,,,,,,,,,,
@,,2eab6bfb7e5b479fac3deeb7bdf383fd59d64bcb,,,"Fat Bobby",,,,1993,"Atari Corp",,,,,,,,,,,,,,
