"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"SD Gundam G Generation: Gather Beat 2",,016ff46509cbfe57a7440a1755d3a41ef49c048f,,,,,,,2001/06/14,Bandai,jp,,[SWJ-BANC12],,,,,,,,,,,
"From TV Animation One Piece: Grand Battle Swan Colosseum",,01e765bf356cdcb413bfd27c6321f7449465766a,,,"From TV Animation One Piece: Grand Battle Swan Colosseum",,,,2002/07/12,Bandai,,,[SWJ-BANC29],,,,,,,,,,,
"Blue Wing Blitz",,02103fc5fc97c3a38834ced32a3cfe6523832535,,,"Blue Wing Blitz",,,,2001/07/05,Squaresoft,,,[SWJ-SQRC05],,,,,,,,,,,
"Uzumaki: Denshi Kaiki Hen",,0398c08599a2fd2e3b71a2f25ea494907cb0e214,,,"Uzumaki: Denshi Kaiki Hen",,,,2000/02/03,"Omega Micott",,,[SWJ-OMM001],"SRAM Sekret",,,,,,,,,,
"Anchor Field",,06447c248afce04c4f4a1c3b5f7a4ab6f383c94b,,,,,,,1999/06/24,Sammy,jp,,[SWJ-SUM004],,,,,,,,,,,
"Romancing Sa-Ga",,06fcc9aad3ae478db6eed27621af4f56a6488a67,,,"Romancing Sa-Ga",,,,2001/12/20,Squaresoft,,,[SWJ-SQRC08],,,,,,,,,,,
"Final Fantasy",,08e70b98918df5e5cf2fe057908ce5e8a69e05fe,,,"Final Fantasy",,,,2000/12/09,Squaresoft,,,[v0.91-20020411],,,"en Kalas",,,,,,,,
"Digimon Adventure: Cathode Tamer",,0b54cc1d350ab92c42ce8214784389b994562bf6,,,"Digimon Adventure: Cathode Tamer",,,,2000/01/20,Bandai,,,[SWJ-BAN01D],,,,,,,,,,,
GunPey,,0b5c143b7f467b616f10ffcc41447c221a005db6,,,GunPey,,,,1999/03/04,Bandai,,,[SWJ-BAN001],EEPROM,,,,,,,,,,
"Rockman EXE WS",,0b6729a6bd89f6cf6f5e115def698962a38dc712,,,"Rockman EXE WS",,,,2003/02/08,Bandai,,b,"b 1; [SWJ-BANC35]",,,,,,,,,,,
"Makaimura for WonderSwan",,0b867d04e24eb6948707d474f5d2fbc38d3f0da9,,,"Makaimura for WonderSwan",,,,1999/07/22,Bandai,jp,,[SWJ-BAN011],,"+6 Sekret",,,,,,,,,
"Shougi Touryuumon",,0bc88b0affa97225e22c531306e9930ddb8f8905,,,"Shougi Touryuumon",,,,1999/10/28,Sammy,jp,o,"o 1; [SWJ-SUM005]",,,,,,,,,,,
"Public Domain",,0c3e5b937e4e2cba0d4ed77e2097b787b7b463a2,,,"Chaos Demo",,,"v 2.0; Copyright Public Domain",2001,"Doty, Charles",,,,,,,,,,,,,,
@,,0eee73cc6518284dd44d2ba604fa5c2602384065,,,"WonderSwan Color HBlank Demo",,,"Copyright Public Domain",200x,@,@,,,,,,,,,,,,,
"Ou-chan no Oekaki Logic",,0f73d3112b1184f74e728cf1252ffbee6a146fa6,,,"Ou-chan no Oekaki Logic",,,,2000/01/06,"Sun Soft",jp,,[SWJ-SUN004],,,,,,,,,,,
@,,106dca0fd84ba59dd98f13ee5ab6e4832105b8b3,,,"Dicing Knight.",,,,2004/05/31,Qute,@,,[v1.00-20070120],,,"en Aeon Genesis",,,,,,,,
"Keiba Yosou Shien Soft: Yosou Shinkaron",,12d26522665cb8ecb3178bc242d984deae438e5c,,,"Keiba Yosou Shien Soft: Yosou Shinkaron",,,,1999/09/14,"Media Entertainment",jp,o,"o 1; [SWJ-MDE001]",,,,,,,,,,,
"Naruto: Konoha Ninpouchou",,13fa767230b5a9e87bf3e73371d581530f95cb5d,,,"Naruto: Konoha Ninpouchou",,,,2003/03/27,Bandai,jp,b,"b 1; [SWJ-BANC38]",,,,,,,,,,,
"Public Domain",,145f1a74d3bb4a10e7fa4e4a9e3ddb8bebea221d,,,"Chaos Demo",,,"v 1.1; Copyright Public Domain",2001,"Doty, Charles",,,,,,,,,,,,,,
"Public Domain",,14db0ccad4d823a1043f694b2df383a92be49fc2,,,"Color Test Demo",,,"Copyright Public Domain",2001,"Sir Dragoon",,,,,,,,,,,,,,
"SD Gundam: Operation U.C.",,152c4d63b1b17f2c717a43efc75d718b614f9ddc,,,"SD Gundam: Operation U.C.",,,,2002/02/16,Bandai,,,[SWJ-BANC21],,,,,,,,,,,
"Armored Unit",,1578669c1fcf59ab5f5e603c6a65121d7ae209b1,,,"Armored Unit",,,,1999/11/18,Sammy,,o,"o 1; [SWJ-SUM003]",,,,,,,,,,,
"Digimon Adventure 02: D1 Tamers",,18d3dfe25d82964ab7bb61af363d368fd12f4d4b,,,"Digimon Adventure 02: D1 Tamers",,,,2000/12/09,Bandai,,,[SWJ-BANC03],,,,,,,,,,,
"Final Fantasy II",,18f8fd447ff10e2c43b0a649dcd039b7d0f53f0d,,,"Final Fantasy II",,,,2001/05/03,Squaresoft,,,[v0.97-20020531],,"e en RPGOne",,,,,,,,,
