"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"!Public Domain",,0029fe15165165e95db2a5702cb162c770170637,,,"Le Chateau du Dragon",,"Chateau du Dragon",,2001,"Bienvenu, Daniel",,?,,,,,,,,,@,,,
"!Public Domain",,003f07fa755f632348694e7c6e6ac0de10e1b3e7,,,"St. Valentine's Day",,,"No Alien Head",2002,"Bienvenu, Daniel",,?,,,,,,,,,@,,,
"River Raid",,00a5b9dc41e3a684a874b65cf29121984f10f327,,,,,,,1984,Activision,,!,,,,,,,,,@,,,
"Escape from the Mind Master",,00c157e87a8f85ede84b26bfab018c50678f88e4,,,,,,Prototype,1983,Epyx,,?,,,,,,,,,@,,,
"Super Cross Force",,00c9f22fdf0be33a295514431fab36da92a78ff4,,,,,,,1983,Spectravideo,,b,,,,,,,,,@,,,
"Antarctic Adventure",,00db7cf9bd66aecac3d9368dd205680781b2e542,,,,,,,1984,"Coleco | Konami",,!,,,,,,,,,@,,,
@,,00f696ea3ce20845fff651c50b07e4b3d48e13cb,,,"Cross Chase",,,@,2022/08/28,"Caruso, Fabrizio",@,@,@,@,@,@,@,@,@,@,@,,,
"Tank Wars",,01062d5049231a2bfd6ece924d3f1f17329d7725,,,,,,,1983,"Bit Corporation",eu,b,,,,,,,,,@,,,
Heist,,01092a3afacb7e013c220c1aa6ce3c72ca400b5f,,,,,,,1983,"Micro Fun",,b,,,,,,,,,@,,,
Sudoku,,0124ba683340188c7a9a89122af7a54db07e1edb,,,,,,v01,2008,"Miron, Luc",,?,,,,,,,,,@,,,
@,,013485176cbdb8b2e53efddd29d14e3102f46c4a,,,"ColecoVision BIOS",,,@,1982,Coleco,us,@,@,@,@,@,@,@,@,"Fire Button Skips Intro & 50Hz",@,,,
"Terra Attack",,0276f344d63f4f9675c29730d97112b3123e6c18,,,,,,,2007/08/09,"Huggins, Scott",,?,,,,,,,,,@,,,
"Space Caverns",,0278de7c17064ded63e373443fa10cd468b6ea6f,,,,,,Prototype,2004,"Huggins, Scott",,?,,,,,,,,,@,,,
"!Public Domain",,031dc3902f6880e3b6ca043c74de6ba1f306237c,,,Bejeweled!,,,v2001,2001,"Bienvenu, Daniel",,?,,,,,,,,,@,,,
"War Room",,031eaec9188105150460ff354fe50e22ce738c53,,,,,,,1983,"Probe 2000",,!,,,,,,,,,@,,,
"Spaz Attak",,0406205cce714dc259891bde8f45dedc45312cc8,,,,,,v20090205,20090205,"Uman, Howard",,?,,,,,,,,,@,,,
@,,0406ad601be68014820c77eda4491bfb4ea5c402,,,Castelo,,,@,1985,"Splice Vision",br,@,@,@,@,@,@,@,@,@,@,,,
"Shunting Puzzle",,042b00c4c7ac1355c7af1a4e5b5601e3003805a6,,,,,,,2009/06/08,"Krause, Philipp Klaus",,?,,,,,,,,,@,,,
@,,0475f1eef685579aad2e2e807f8f44f0d49a68a4,,,"Cosmic Crisis",,,@,1983,"Bit Corporation | Coleco",eu,b,@,@,@,@,@,@,@,@,@,,,
"Dig Dug",,04bce7d5ebd54f094d5f9f9b1880ae6507a5450d,,,,,,Prototype,1984,Atari,,?,,,,,,,,,@,,,
"Schlange CV",,05e371464c743602829a6422fae2910b2edd7345,,,,,,Demo,2006/05/08,"Krause, Philipp Klaus",,?,,,,,,,,,@,,,
"BC's Quest for Tires",,05ffcf0c84381fa26f504cb163b25a8670c6c4ac,,,,,,,1983,"Sierra On-Line | Sydney",ca,?,,,,,,,,,@,,,
M.A.S.H.,,06513b0f49a86784b54dbd8abf8ef8eae934e3c4,,,,,,Prototype,1983,"Fox Video Games",,?,,,,,,,,,@,,,
Pitstop,,06640a1b83c326d2d5dc94a1e936d5d740ad3174,,,,,,,1983,Epyx,us,b,,,,,,,,,@,,,
"!Public Domain",,0692904ffcb39bb81564819e6925aecd2d4ca9df,,,Smash,,,,2004,"Bienvenu, Daniel",,?,,,,,,,,,@,,,
"Super Action Baseball",,06bc7c00a253ab27ae2117b65c7508e165c826f1,,,,,,,1983,Coleco,,b,,,,,,,,,@,,,
"Memory Manor",,06f3fd038fa903597bec67cdc5c9ab9572c9c799,,,,,,,1984,Fisher-Price,,?,,,,,,,,,@,,,
Tutankham,,06f54a91ad57e5487ff733c9f33372d5314a1d74,,,,,,,1983,"Parker Brothers",,b,,,,,,,,,@,,,
"Donkey Kong Arcade",,073525003507a51dcdfe9f42dcde24b7e069a75d,,,,,,v20051017,20051017,"Mello, Eduardo",,?,,,,,,,,,@,,,
@,,077182c21b67182b334d4a6b69aab44eb3eecda9,,,Fireman,,,proto,1984,Coleco,eu,@,@,@,@,@,@,@,@,@,@,,,
"Video Hustler",,08172d85140c004241ab585fc41cdc7841f8290b,,,,,,Prototype,1984,"Coleco | Konami",,?,,,,,,,,,@,,,
"Cosmic Crisis",,081a40414021a51b3219e8957e948163680a9ada,,,,,,,1983,"Bit Corporation | Coleco",eu,!,,,,,,,,,@,,,
"War Room",,0834d75cc9cc2758689d333b6958ac3fcd5d7538,,,,,,,1983,"Probe 2000",,b,,,,,,,,,@,,,
Heist,,08352200cfae252a69e83b55f1590e5f75739d18,,,,,,,1983,"Micro Fun",,b,,,"8 Lives",,,,,"8 Lives",@,,,
"Spaz Attak",,08787352a004d1838a865131d4a1df160a438297,,,,,,v20090222,20090222,"Uman, Howard",,?,,,,,,,,,@,,,
@,,08d755e2871e1f2be96067d563746350ee484783,,,"Cross Chase",,,@,2020/04/02,"Caruso, Fabrizio",@,@,@,@,@,@,@,@,@,@,@,,,
"Pepper II",,0983d0a562ccb3d4ac88d8ae26cf29a465075067,,,,,,,1983,Coleco,,!,,,,,,,,,@,,,
"Monkey Academy",,099280f3e4fbc37afe5987116ea8cc46bd916fcf,,,,,,,1984,"Coleco | Konami",,!,,,,,,,,,@,,,
"Schlange CV",,09c3a505db39754bd0054c6cf3f585329e799fee,,,,,,Demo,2006/06/02,"Krause, Philipp Klaus",,?,,,,,,,,,@,,,
"Search for the Stolen Crown Jewels",,09e9347706a9077de4dec06466103ff07884b97c,,,,,,,2006/05/08,"Krause, Philipp Klaus",,?,,,,,,,,,@,,,
"Blockade Runner",,09fc6bd4cfba5664b45cb89e2daa7e3bc3f50c4b,,,,,,,1984,Interphase,,b,,,,,,,,,@,,,
"Tank Wars",,0a32a17a3e5e6c220de91e4dcf036d7d02ad8e30,,,,,,,1983,"Bit Corporation",eu,?,,,,,,,,,@,,,
Frogger,,0afb9b192e87f6d8db504121b163d909c35a7b42,,,,,,,1983,"Parker Brothers",,b,,,,,,,,,@,,,
"Super Action Controller Test Cartridge",,0c6840b7bc24a36529f0a80ccef85ee9f409a972,,,,,,,1983,Coleco,us,?,,,,,,,,,@,,,
Squares!,,0c95083f6c3e33b7598c2890448ef4bb6c4da439,,,,,,Demo,2006,"deKleine, Harvey",,?,,,,,,,,,@,,,
"Spaz Attak",,0ccbe626bb22dfe8e245b43bc6d2e3b3d60e6899,,,,,,,2006,"Uman, Howard",,?,,,,,,,,,@,,,
"Learning With Leeper",,0ce165b3c2a9e60964d33f37e8aec7cbf9e9d00f,,,,,,,1983,"Sierra On-Line",,!,,,,,,,,,@,,,
"Boulder Dash",,0d10fd3589a87a941d174aa8ce885335aa87a2d6,,,,,,Beta,1984,"Micro Lab",,?,,,"50 Lives",,,,,"50 Lives",@,,,
"Search for the stolen Crown Jewels II",,0d144f191629570213694fd63b54e651338c89e3,,,,,,Demo,2007,"Krause, Philipp Klaus",,?,,,,,,,,,@,,,
@,,0e18ab4b429077f9656b14a51c995520d0d79ab0,,,"Cross Snake",,,@,2022/08/28,"Caruso, Fabrizio",@,@,@,@,@,@,@,@,@,@,@,,,
"Fall Guy",,0e5c84d8fb8a9428aed399f4a9f9309b26bce990,,,,,,Prototype,1983,"Fox Video Games",,?,,,,,,,,,@,,,
"Tournament Tennis",,0f113cda3b12253d1d42e994896db3f88a5b884d,,,,,,,1984,Imagic,,!,,,,,,,,,@,,,
"Juke Box",,0f19a4477eef6e6cfd68738fe7244932ca9c77fa,,,,,,,1984,Spinnaker,,b,,,,,,,,,@,,,
"Tunnels & Trolls",,0f5b61f650e26e681d7b8a28fcb9d2db7c3bcddb,,,,,,Beta,1983,Coleco,,?,,,,,,,,,@,,,
