"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,003b3f8b842b787572f3a96bba163c8726be0c90,,,"2!Megatoolz for Plus4 Users",@,,"(Side A)",1992,"Prisoners Software Network",@,,,,,,,,,,,,,
@,,004c591eaa2a62cde74847ded5b654cc810855fb,,,"Lone News #05",@,,,1997/10,Luca-Fire,@,,,,,,,,,,,,,
@,,00999bdcaf8d1e6e9094b028a18b0995801c569e,,,"Recall Collection 136",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,009f484cd9c01fdfda60fed34fb14b8e84def569,,,"Recall Collection 511",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Circus_C16_G1000,,00b38013adb3185b23907d492d4324485fc1594d,,,,,,,,,,,,,,,,,,,,,,
"Avventura nei Feudi",,00be3bf33a216e9948fffc583f1eac9bd2de8ace,,,,,,,1985,"Mantra Software",it,,,,,,,,,,,,,
Snobli,,00f27cbacf1bff2a08ead2c0e1a8265967d0efc1,,,,,,,,,,,,,,,,,,,,,,
@,,00f49f6c5012ffb4eb13d57cffa42c07c910ecf1,,,"Recall Collection 389",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Number_Guess,,010d5372f9026ac45c628ae3200520b1269267c9,,,,,,,,,,,,,,,,,,,,,,
Beamphobia,,013441807c8fbde1997ae7c4a764f0d01898e9ed,,,,,,"Copyright Public Domain",1994/02/05,GOTU,,,,,,,,,,,,,,
@,,0136adae8efb0de5aaf1478989310a903cd00a07,,,"Auto Mania",@,,"Language en",1984,"D., Wolfgang",de,,,,,,,,,,,,,
Small_Jones,,0140c704ecb4fcb36f78ed15c1bd782bdfe93bfd,,,,,,,,,,,,,,,,,,,,,,
@,,014436355169982503c982e974f84baef92a0526,,,"Recall Collection 086",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,015024d7d2e608c15a830c7647bb782edc431e5c,,,"Recall Collection 686",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Ganymede,,016592cc3b818b801f26a35d00e09ec7c11276f5,,,,,,,,,,,,,,,,,,,,,,
@,,0171d33d6900c40d2bf93ce7d50c82a89cf079d5,,,"Recall Collection 029",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,017741120d87166d673999089c0509fd0879e30a,,,"Twin Pigs #3",@,,"Language hu",1992,@,@,,,,,,,,,,,,,
Space_1999_G1C8B,,01881dbd147e40b9c2ea093b2fa8c1dd9f81019c,,,,,,,,,,,,,,,,,,,,,,
Labyrinth_,,019ff6b883b789e5e3b8a53cf2b021b0c372c3e3,,,,,,,,,,,,,,,,,,,,,,
@,,01a96f42e754c6922a97e1623802836f5a0f9a87,,,"Recall Collection 566",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Detektiv,,01dec811824f7cce4dbcd940014cce630e098eb5,,,,,,,,,,,,,,,,,,,,,,
Melyur,,01e1c84d62ad720aea4f41adc7854211f7a42084,,,,,,"Language hu",1992,GOTU,,b,"b 1",,,,,,,,,,,
@,,01f3f08a873778152738a2b41e1cd30096117a8e,,,"Auf Wiedersehen Monty",@,,,1987,"Gremlin Graphics",gb,,,,"+2 The Pink Panther Cracker",,,,,,,,,
@,,0210af0bfca17592ec18a4364cb90d739cf3228e,,,"Recall Collection 458",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Pipemania_2,,0225dc8e64894ffc9f829cafd54e722f70e22983,,,,,,,,,,,,,,,,,,,,,,
Hunter,,02a0bc746d268039a04cc80711e1ff4872ba6787,,,,,,"Copyright Public Domain",1993,GOTU,,b,"b 1",,,,,,,,,,,
@,,02b242bad9074818bae7933cf99fec5e0d315230,,,"Recall Collection 321",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
"Acid Flipper",,02beea6654c8a517175e38fd13b8abddd115ac42,,,,,,"Language en; Copyright Freeware",1991,"Electronic Disaster Crew",hu,,,,,,,,,,,,,
@,,02dea8722de9cd87c9bf17611ab0376fbb1f9120,,,"Army Force",@,,"Video NTSC; Copyright Freeware",19xx,@,@,,,,,,,,,,,,,
@,,02f8ece921e3387bbce16568f054c795a2f63204,,,"Recall Collection 217",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,03192da3e380efec5f4c80daef1faa2365015146,,,"Intro Maker",@,,"Copyright Freeware",1987/12/20,TSC,hu,,,,,,,,,,,,,
Shogun,,0323796837829274320b8bc42f5f29daca68cfe5,,,,,,,,,,,,,,,,,,,,,,
@,,03442daaddb781eccd1e73173a07062c37c6024b,,,"Recall Collection 633",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,03446c235ecb82192acea33fab1b43c4a360460e,,,"Recall Collection 130",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,034c2e5b4f1df7b2f306c24cffd0eb41bdd15ccd,,,"Recall Collection 089",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Braintech,,034c47495393879f825a48edb338d10dbddbcb30,,,,,,,1995,"Mayday Software",,b,"b 1",,,,,Absence,,,,,,
Cross_Motor,,035131db99156737e06768732d085a22238df16e,,,,,,,,,,,,,,,,,,,,,,
@,,03869f385b91d038368de80fa39d5d8f3526e066,,,"Recall Collection 362",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Tuzolto,,0390811235af2ad936aca4595f6743585c06c937,,,,,,,,,,,,,,,,,,,,,,
Rambo-c16,,03916cf7c7c2b861db4db4a65226fb27acdda055,,,,,,,,,,,,,,,,,,,,,,
Scooby_Doo,,0392a5ac5983fc709e085d771716032438cbf6d0,,,,,,,,,,,,,,,,,,,,,,
@,,039c5827591b5f0070e7528ac39abccae7397c98,,,"Tic Tac Toe",@,,,19xx,"Mr X",@,,,,,,,,,,,,,
@,,03b01ab03eed93245608b5fb4ab4cab59ae13972,,,"Recall Collection 451",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Ewox,,03cc824dc2e5f2eec1bf5dcd396558d410578738,,,,,,"Language hu; Copyright Public Domain",1993,GOTU,,,,,,,,,,,,,,
@,,03eea9e28049759180568be49e2a491ef48dad7b,,,"Recall Collection 278",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Dangerous_Robot_2,,03f539f98321dd2be644b7332314a2de7cf6788c,,,,,,,,,,,,,,,,,,,,,,
Platform_Diving,,03fbac43a63153fac69cf6f9e5afc151dd937cd0,,,,,,,,,,,,,,,,,,,,,,
@,,0400653c33cd3badf843078275e75ab721758452,,,"Recall Collection 233",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Speed_Out_,,0407bdabbd2172af3d10529fc30c4251df1446bc,,,,,,(Reflex_trained_hack),,,,,,,,,,,,,,,,
Japanese_War,,04104d7bd0db8cab2474ae330c388a5696516975,,,,,,,,,,,,,,,,,,,,,,
@,,04123ded3ef58803bef1fac9a05dd0583b66f98f,,,"Lone News #04",@,,,1997/07,Luca-Fire,@,,,,,,,,,,,,,
It_Rained_Through_The_Roof,,04156b19f96da8ec0d44b660bff21df312f5cb98,,,,,,,,,,,,,,,,,,,,,,
Kocka_+4,,0428e534686dc891be645e636bd31a95bd51e42f,,,,,,,,,,,,,,,,,,,,,,
@,,042b0151a2ff62b21d65acd596e482a112b179d9,,,"Molecule Man",@,,,1987,Mastertronic,@,,,,,,,,,,,,,
@,,0442572f71c8aed3be5ad1321160d4a88094f0fd,,,"Recall Collection 004",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,044a8e0545b205c3b2811c1763ec54b820e38c74,,,"Recall Collection 283",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,045ab9f820f17d45300e2fd5c9c50036995b94aa,,,"Recall Collection 257",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,045b406bb3560a0e8cf873356a0c5a1ec1c078dc,,,"Recall Collection 210",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,046dec20ec4a2330543f54dcfa7f528993b77240,,,"Recall Collection 486",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Urtojasok_G2070,,047f9e5ff602866988e3819d516c79440e4ad664,,,,,,,,,,,,,,,,,,,,,,
Gusztav_Motorozik_Sys5376,,0490aad65b00dc50b6335b858143a2d769c54a14,,,,,,,,,,,,,,,,,,,,,,
@,,04a75e58f383b5188d83d76a8fcfb7d51f0cb06d,,,"Cad System C+4",@,,,19xx,@,hu,,,,,,,,,,,,,
@,,04b277e48e7c0731b96c119a24a15a67c31ff5ea,,,Timeslip,@,,,19xx,"English Software",@,,,,,,,,,,,,,
@,,04b3916e210f9d74f2830d63657c10b78b502ab4,,,"Extended Screen",@,,,19xx,@,hu,,[SYS4109],,,,,,,,,,,
"Puzzle 3",,04b75714b563d46ae1286bd8be76463e932ad778,,,,,,"Copyright Public Domain",1995,Scorpions,,,,,,,,,,,,,,
"Spiky Harold 2",,04ba8bed95edd8bbbd2124bc1005bb56e453f25c,,,,,,,19xx,,,,,,,,,,,,,,,
@,,04dc60f1e94c70e091794fcc2f5a09e90bf5d8b2,,,"Recall Collection 249",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
"Citadel of Chaos",,04e4f6ca9a06b0296b7d5e67a61330330c569b6e,,,,,,"Language hu; Copyright Public Domain",1992,FYC,,,,,,,,,,,,,,
@,,04e55cbd79d2c5224a7d97e13e9def608710230f,,,"MOB Editor +",@,,,19xx,@,@,,,,,,,,,,,,,
Beke_1988,,0507f660fde9b5d7821c62b23e1d1c3365d5a2e8,,,,,,,,,,,,,,,,,,,,,,
Quadrat_Puzzle,,0514b7d2f3d381f754f33b4e3283d2c993da26d3,,,,,,,,,,,,,,,,,,,,,,
@,,05358a827eeaa48c9fb033cf31a55ebd7fb15467,,,"Bic Mac",@,,,1985,Mastertronic,@,a,"a 1",,,,,,,,,,,
Gempa,,0554b2c29e843c877bdc524c4e8260b9b98c019d,,,,,,,,,,,,,,,,,,,,,,
@,,055c51e76e849e8e5f5202aadd2c1e49003df8a3,,,Fury,@,,,1986,Firebird,@,,,,,,,,,,,,,
@,,055f890e9202bee0421a94ace183d6f63193bc5b,,,"Recall Collection 534",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
