"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"!Fairchild Channel F BIOS",,00129994149fc812d1bb09096001cdcb2c424c45,,,"Hockey | Tennis",,,,1976,Fairchild,,?,"Bios rip",,,,,,,"BIOS Game Hack",@,,,
"Lights Out",,01d3cd0ea849865265d9f441cd6702b83cb7e89d,,,,,,,2004,"Riddle, Sean",,,,,,,,,,,@,,,
@,,124c9477e330c71c1b94c7559dfa97ec1cc7c2c3,,,"International Karate Demo Test 5",,,@,200x,@,@,@,@,@,@,@,@,@,@,@,@,,,
"Democart 2",,13a5ca0471e6f4a7a5a2fc4d2b8f881516a28ec4,,,,,,Demo,197x,Fairchild,,?,,,,,,,,,@,,,
"Kreatives Malspiel | Muehle | Tontauben-Schiessen | Videoscope",,15d5e6d152d93a2099b97a2bd5dcf7134dd1a770,,,,,,,1978,SABA,de,?,SABA-02,,,,,,,,@,,,
"Alien Invasion",,1837e95e6631687fc6d008207e56a31705d55cdf,,,,,,,1978,Zircon,,?,Zircon-26,,,,,,,,@,,,
"!Public Domain",,1840255ae91bd02b246c31c268c3a7bfd7bd4dcd,,,"Channel F Multi-Cart: Menu",,,Older,2004,"Riddle, Sean",,?,,,,,,,,,@,,,
Hangman,,19166d49dec273cae1f2dbac983b130d282ed231,,,,,,,1978,Fairchild,,?,Fairchild-18,,,,,,,,@,,,
@,,1a952a190b1449c06f2a05ea043afface0105688,,,"Robot War",,,proto,1977,Fairchild,@,b,@,@,@,@,@,@,@,@,@,,,
@,,1ccc13a2f4aeb4538379d77d08ac7bf425bc4780,,,"Color Organ",,,@,19xx,@,@,@,@,@,@,@,@,@,@,@,@,,,
@,,1f20a5500b51dfa275049f9b0e3ae14d864cbcfa,,,"Color Organ",,,@,19xx,@,@,b,@,@,@,@,@,@,@,@,@,,,
Checkers,,2683b330dc2350341a51f1e3bdf75922bb425a9e,,,,,,,1978,Zircon,,?,Zircon-19,,,,,,,,@,,,
@,,31f9580230fc1b9316032577f78b02c23ae92549,,,Pac-Man,,,@,2004,"Blackbird | e5frog",@,@,@,@,@,@,*,@,@,@,@,,,
"Desert Fox | Shooting Gallery",,3440928903f39354e1358018cebf12a00c8dff77,,,,,,,1976,Fairchild,,?,Fairchild-02,,,,,,,,@,,,
"Rat' Mal",,35f3fb741b643c4b8e8fdbff4ed0ea24402c4528,,,,,,,197x,SABA,de,?,SABA-16,,,,,,,,@,,,
@,,3b63cc8e4569bb40e16b43ddcc7ff15bcadd6e6d,,,Pac-Man,,,@,2004,"Blackbird | e5frog",@,@,@,@,@,@,*,@,@,@,@,,,
@,,3b9f943ac25d6ebb213f8c508df3cef1c39bc35d,,,"NWNPNPNW Demo Song",,,@,2008,B00daW,@,@,@,@,@,@,@,@,@,@,@,,,
@,,3bcc037b71f7754e0d91a9101b3b19c14316c838,,,"F8 of Nations",,,@,200x,nycurt,@,@,@,@,@,@,@,@,@,@,@,,,
"!Public Domain",,4011a0361bd6aa457b7fa7d2b52516a9337893fb,,,Pac-Man,,,v10292004,2004,"Blackbird | e5frog",,?,,,,,*,,,,@,,,
@,,43e65171eed732e75e574df00839b8bada1dbd14,,,Pac-Man,,,@,2004,"Blackbird | e5frog",@,@,@,@,@,@,*,@,@,@,@,,,
"Casino Poker",,4540b1cfca461d6eba26754c34090aa74822a4bd,,,,,,,1978,Zircon,,?,Zircon-25,,,,,,,,@,,,
@,,4adbdd6aefef2f2b77231e58718b218aceeb0f65,,,"Test Controls",,,@,200x,e5frog,@,@,@,@,@,@,@,@,@,@,@,,,
"!Fairchild Channel F BIOS",,4b0a38b5af525aa598907683f0dcfeaa90d242e0,,,"Channel F BIOS | Fairchild VES",,,"With Hockey+Tennis",1976,Fairchild,,?,"Bconcatenated SL31253 & SL31254",,,,,,,,@,,,
"Magic Numbers | Mind Reader | Nim",,4b696a4f8a20f6dcd6a4ba690756d862956515a4,,,,,,,1977,Fairchild,,?,Fairchild-08,,,,,,,,@,,,
"Math Quiz II: Multiplication & Division",,4c643e00f32629c066e778be92f37e3f7bfd1ad6,,,,,,,1977,Fairchild,,?,Fairchild-07,,,,,,,,@,,,
"Dodge It",,54fdab06a07f84d073858f56a054a59ec0b1142e,,,,,,,1978,Fairchild,,?,Fairchild-16,,,,,,,,@,,,
@,,5dac0cd323eedb1f5153db0b7f8e256f6bfba9ff,,,"Full Screen Picture Demo",,,@,200x,e5frog,@,@,@,@,@,@,@,@,@,@,@,,,
@,,5e70dda9fed1ac70abf98e22d82cafc34a7b9533,,,"Colortest Demo",,,@,200x,"Riddle, Sean",@,@,@,@,@,@,@,@,@,@,@,,,
"256K Channel F Multigame ROM",,6064489fd4ba0b95fa4effcd8ee971751504c63f,,,"Channel F Multi-Cart",,,,2004,"Riddle, Sean",,?,,,,,,,,,@,,,
@,,608d7c34c1a6138e75fba9c49b95d66c9919f2e9,,,"RG09 Demo",,,@,2009,e5frog,@,@,@,@,@,@,@,@,@,@,@,,,
"Video Whizball",,61babb950ebc0b0acab29acf5dcbecc60dcd70a3,,,,,,,1978,Fairchild,,?,Fairchild-20,,,,,,,,@,,,
Ordtaevling,,62509545b8eef641c432705ff82cd8264c3e1d82,,,Ordtavling,,,,1978,Luxor,se,?,Luxor-18,,,,,,,,@,,,
"Blind Man's Bluff | Jailbreak | Maze | Trailblazer",,64b0218f8279331d022f013cfa12133799d5e8dc,,,,,,,1977,Fairchild,,?,Fairchild-10,,,,,,,*,@,,,
Hangman,,653c0e2f54feeb2ddc909649377e57da658238ad,,,,,,,1978,Fairchild,,?,Fairchild-18,,,,,,,*,@,,,
@,,66e2d158095721c0c9b4d50de4a6d9925ec62c73,,,Spitfire,,,proto,1976,Zircon,@,@,@,@,@,@,@,@,@,@,@,,,
@,,7077e42b2e8a101da05bb2188d7b65858ca8ec1e,,,"Glactic Space War",,,proto,197x,Zircon,@,@,@,@,@,@,@,@,@,@,@,,,
"!Public Domain",,758422b7e0c03c00935373500053042cbac915e5,,,"Channel F Multi-Cart: Menu",,,,2004,"Riddle, Sean",,?,,,,,,,,,@,,,
"!Fairchild Channel F BIOS",,759e2ed31fbde4a2d8daf8b9f3e0dffebc90dae2,,,"Channel F BIOS | Fairchild VES",,,SL90025,1976,Fairchild,,?,SL90025,,,,,,,,@,,,
@,,78c355ff55bc446fb7811a704767b3b1ceaa494c,,,"International Karate Demo Test 3",,,@,200x,@,@,@,@,@,@,@,@,@,@,@,@,,,
@,,7e5966c1c393dc1b02ac34d57733a357bbcd4d5c,,,"Robot War",,,proto,1977,Fairchild,@,@,@,@,@,@,@,@,@,@,@,,,
@,,7e7c82e1d4ea8073e23a1927c7d7e5e3b7f2a9e4,,,Pac-Man,,,@,2004,"Blackbird | e5frog",@,@,@,@,@,@,*,@,@,@,@,,,
"!Fairchild Channel F BIOS",,81193965a374d77b99b4743d317824b53c3e3c78,,,"Channel F BIOS | Fairchild VES",,,SL31254,1976,Fairchild,,?,SL31253,,,,,,,,@,,,
Bowling,,82d49201ee82e8cba6a907aca80969796a84d7f4,,,,,,,1978,Fairchild,,?,Fairchild-21,,,,,,,,@,,,
"Blind Man's Bluff | Jailbreak | Maze | Trailblazer",,858cfaf0e2e32f5a2d4a70716f77d054cfedb05c,,,,,,,1977,Fairchild,,b,Fairchild-10,,,,,,,"Multi-Cart Hack",@,,,
"!Public Domain",,859399ff5227aad57e77489b6f62703e8e4af87b,,,Pac-Man,,,v20041211-14,2004,"Blackbird | e5frog",,?,,,,,*,,,,@,,,
"Video Blackjack",,86579196567c9686009ad271263269181496a9c7,,,,,,,1976,Fairchild,,?,Fairchild-03,,,,,,,,@,,,
"Robot War | Torpedo Alley",,87f3f9afcc232d767cf6a5040c88b31283f76199,,,,,,,1977,Fairchild,,?,Fairchild-13,,,,,,,,@,,,
"Lights Out",,88a923f3dc8951cb3685cdf442ee608d89317a88,,,,,,,2004,"Riddle, Sean",,?,,,,,,,,,@,,,
Tetris,,8b6cc8f682c49e7ed2e4833333aa4d6c5f9c42d9,,,,,,,2004,"Trauner, Peter",,?,,,,,*,,,,@,,,
"Doodle | Quadra Doodle | Shooting Gallery | Tic Tac Toe",,8edfb668b3eb759f8597fb13b1aeaf43aaf53680,,,,,,,1976,Fairchild,,?,Fairchild-01,,,,,,,,@,,,
"!Fairchild Channel F BIOS",,8f70d1b74483ba3a37e86cf16c849d601a8c3d2c,,,"Channel F BIOS | Fairchild VES",,,SL31254,1976,Fairchild,,?,SL31254,,,,,,,,@,,,
"Pinball Challenge",,9267d85982414af753172e4c9998863463c32c99,,,,,,,1978,Fairchild,,?,Fairchild-17,,,,,,,,@,,,
"!Public Domain",,94c1920dd9ca875d60f75c8e6669ea99df8ea687,,,Pac-Man,,,v10292004-b14,2004,"Blackbird | e5frog",,?,,,,,*,,,,@,,,
