Name:            Clone of:
10yard85         10yard
10yardj          10yard
1392apvs         1292apvs
18w2             18w
18wheelro        18wheelr
18wheelrt        18wheelr
18wheels         18wheelr
18wheelu         18wheelr
1941j            1941
1941r1           1941
1941u            1941
1942a            1942
1942abl          1942
1942b            1942
1942h            1942
1942p            1942
1942w            1942
1943b            1943
1943bj           1943
1943j            1943
1943ja           1943
1943jah          1943
1943u            1943
1943ua           1943
1944d            1944
1944j            1944
1944u            1944
1945kiiin        1945kiii
1945kiiio        1945kiii
19in1            39in1
19xxa            19xx
19xxar1          19xx
19xxb            19xx
19xxd            19xx
19xxh            19xx
19xxj            19xx
19xxjr1          19xx
19xxjr2          19xx
19xxu            19xx
2020bba          2020bb
2020bbh          2020bb
20pacgalr0       20pacgal
20pacgalr1       20pacgal
20pacgalr2       20pacgal
20pacgalr3       20pacgal
20pacgalr4       20pacgal
24_130           24_150
24_140           24_150
24_144           24_150
25pacmano        25pacman
32x_mcd          32x_scd
32x_mcdj         32x_scd
32xe             32x
32xj             32x
386i             ngen
386sc            ibm5170
386sc2c          ibm5170
386schg          ibm5170
386sxvhcom       ibm5170
3b2_310          3b2_300
3b2_400          3b2_300
3bagflnz         3bagflvt
3cdpokera        3cdpoker
3do_pal          3do
3in1semia        3in1semi
3siud            ibm5170
3stoogesa        3stooges
3wondersb        3wonders
3wondersh        3wonders
3wondersr1       3wonders
3wondersu        3wonders
3x3puzzla        3x3puzzl
40lovej          40love
486apio          ibm5170
486ccv           ibm5170
486igb21         ibm5170
486wb6a3         ibm5170
48in1            39in1
48in1a           39in1
48in1b           39in1
48in1c           39in1
4dmshl3g         ibm5170
4dmuhl3s         ibm5170
4enlineb         4enlinea
4enrayaa         4enraya
4in1a            39in1
4in1b            39in1
4nd04a           ibm5170
4rosesa          4roses
50lionsm         50lions
5clowna          5clown
5clownsp         5clown
5dragce          5drag
5dragsp          5drag
600              turtles
60in1            39in1
64streetj        64street
64streetja       64street
705p3prg         705p5prg
705r3prg         705p5prg
705u3prg         705p5prg
720g             720
720gr1           720
720r1            720
720r2            720
720r3            720
7toitsu          mgakuen
800fath          mariner
800fatha         mariner
8ball1           8ball
8ballact2        8ballact
8bpm             8ballact
990189v          990189
99bottles        gammagic
99lstwar         repulse
99lstwara        repulse
99lstwarb        repulse
99lstwark        repulse
9ballsht2        9ballsht
9ballsht3        9ballsht
9ballshtc        9ballsht
a1000n           a1000
a1200n           a1200
a1200xl          a800
a130xe           a800xl
a2000n           a2000
a2600p           a2600
a3000n           a3000
a400030          a4000
a400030n         a4000
a4000n           a4000
a4000tn          a4000t
a400pal          a400
a433cc           ibm5170
a486ap4          ibm5170
a486isa          ibm5170
a486sio          ibm5170
a486sp3          ibm5170
a486sp3g         ibm5170
a486sv1          ibm5170
a486sv2          ibm5170
a486sv2g         ibm5170
a500n            a500
a500pn           a500p
a5130            a5120
a51mxr3k         area51mx
a51mxr3ka        area51mx
a51site4a        a51site4
a5200a           a5200
a600n            a600
a600xl           a800xl
a65xe            a800xl
a65xea           a800xl
a7000            rpc600
a7000p           rpc600
a7800p           a7800
a800pal          a800
a800xe           a800xl
a800xlp          a800xl
aa3000           aa310
aa3020           aa3010
aa305            aa310
aa4              aa5000
aa4000           aa3010
aa4101           aa310
aa4201           aa310
aa440            aa310
aa4401           aa310
aa486s           ibm5170
aa5000a          aa5000
aa500d           aa500
aa540            aa310
aafbb            aafb
aafbc            aafb
aafbd2p          aafb
abae4            ibm5170
abah4            ibm5170
abaseb2          abaseb
abattle          astrof
abattle2         astrof
abav4            ibm5170
abax4            ibm5170
abc110           bbcbp
abc310           bbcbp
abc800m          abc800c
abcopd           abcop
abcopj           abcop
abcopjd          abcop
ablast           penbros
ablastb          penbros
abnudgeb         abnudge
abnudged         abnudge
abnudgeo         abnudge
abpb4            ibm5170
abpi4            ibm5170
abpm4            ibm5170
abpv4            ibm5170
abpw4            ibm5170
abscam           puckman
aburner          aburner2
aburner2g        aburner2
abv105           abv106
abv106r          abv106
ac1_32           ac1
ac1bbclba        ac1bbclb
ac1blueca        ac1bluec
ac1bluecb        ac1bluec
ac1bluecc        ac1bluec
ac1bluecd        ac1bluec
ac1clbxta        ac1clbxt
ac1hideha        sp_hideh
ac1nudbka        ac1nudbk
ac1nudbkb        ac1nudbk
ac1nudbkc        ac1nudbk
ac1nudbkd        ac1nudbk
ac1piacla        ac1piacl
ac1piaclb        ac1piacl
ac1piaclc        ac1piacl
ac1prmcla        ac1prmcl
ac1prmclb        ac1prmcl
ac1prmclc        ac1prmcl
ac1rolla         ac1roll
