"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
KeyConfig,,005d6c78e3075d9d1f7bc226f70fbc41c0536e08,,,,,,,,,,?,,,,,,,,,,,,
"Touhou Dodgeball",,00878d6d9119ae5ac2feb25009a9abb2f7094875,,,,,,v1.0.0,,,,?,,,,,,,,,,,,
"Megaman: Day in the Limelight",,00942b7bdf96ec2b85568244764550fbb6471827,,,,,,v1.4,,,,!,,,,,,,,,,,,
"Nemesis 1: Remake",,00b68ba0b021ce49cabc4e8cbe5d2cdf652c2443,,,,,,v0.1.9.10,,,,?,,,,,,,,,,,,
"Devil Engine",,00de95b29b4b4fc5029cd769cf05c006c976d5e4,,,,,,"vTrial 1",,,,?,,,,,,,,,,,,
"They Came from Verminest",,00f5bf533a5d144df84e1b9774793f5d5d9245f2,,,,,,,,,,!,,,,,,,,,,,,
"Incredible Machine 95",,010edae6e30cb69e47646770a9aa594d04765d00,,,SETUP32,,,,,,,?,,,,,,,,,,,,
"Apache 95",,0159a7d1006af1972bc4c633a4a74696b556acd4,,,PATCHER,,,v1.0,,,,?,,,,,,,,,,,,
"Diablo II",,015ff0df721bea684d2f1610aa6558203d6c61a6,,,unins000,,,,,,,?,,,,,,,,,,,,
"Increible Machine: Even More Contraptions",,016374364c193b51b311af5178229912044a1928,,,EvenMore,,,,,,,?,,,,,,,,,,,,
"Cirno and Letty's Xmas",,019c384610988938d8be7a87e7ab270ed083780e,,,x05_rep,,,,,,,?,,,,,,,,,,,,
"Atomic BomberMan",,01cae27327543c022c83d1e22db34b4a811f5416,,,FREDSPIT,,,,,,,?,,,,,,,,,,,,
"PC Sensible World of Soccer: Total Pack",,01d49996cfac4c9df7bc7f88bedc1e1e93f22680,,,sws,,,,,,,?,,,,,,,,,,,,
"I Wanna Be the Guy",,02305b58cd43157a784b798c0897cbe4024a80a5,,,,,,"Beta slomo",,,,?,,,,,,,,,,,,
Lisa,,02339f3d1ea87f4842e880054456e5ee6d38ca23,,,,,,,,,,?,,,,,,,,,,,,
Lollipops,,02562d3b0ce6457d4a06f5d230f0e18cf2711eaf,,,,,,,,,,?,,,,,,,,,,,,
Kamui,,02619a17826b5d9d927b53f71b5840f506dfc19d,,,Kamui105ex01,,,,,,,?,,,,,,,,,,,,
"PC Sensible World of Soccer: Total Pack",,0268bc0c3edc5f7e813fca090fbc3f1de4296c8d,,,sws,,,,,,,?,,,,,,,,,,,,
Redist,,027d0c2749ec5eb21b031f46aee14c905206f482,,,vcredist_x64,,,,,,,?,,,,,,,,,,,,
"Comic Shoot",,02899e136576a21bcf4de3fda03a5e80106f50d9,,,,,,v1.01,,,,?,,,,,,,,,,,,
"Man Enough",,028bf83f5159f6370dff2a6cb593a9516073bdda,,,man_gm7,,,,,,,?,,,,,,,,,,,,
Spelunky,,02f8141dc69ff5310b977b5459bcc1071f89ba7d,,,config,,,,,,,?,,,,,,,,,,,,
"Storm Gear",,03344a08ac475a2a92bd289a998f07fc93b55d4a,,,storm_gear_full_1024x600,,,v1.21,,,,?,,,,,,,,,,,,
"Paradise Heights 2",,03b8dbbd3a94a85a62c4924716c6e845a0068399,,,,,,,,,,?,,,,,,,,,,,,
