"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Cirno and Letty's Xmas",,019c384610988938d8be7a87e7ab270ed083780e,,,x05_rep,,,,,,,?,,,,,,,,,,,,
Lollipops,,02562d3b0ce6457d4a06f5d230f0e18cf2711eaf,,,,,,,,,,?,,,,,,,,,,,,
"Yetisports 5: Flamingo Drive",,06e16b0c0472f90b9283661faf62ca040b8e974f,,,yetisports5,,,,,,,?,,,,,,,,,,,,
"Dedant v1.0",,072670c3c8b5359072794f5eb937ca62643e2644,,,Dedant,,,v1.0,,,,?,,,,,,,,,,,,
"Amazeface 1_1",,0847170e28b8f9edacc87f2bee34a8d7f9aa551e,,,Amazeface,,,v1.1,,,,?,,,,,,,,,,,,
"Touhou 2: The Story of Eastern Wonderland",,0d34886bfd369d26e752b03c97f78f96adb9f76c,,,fuuma,,,,,,,?,,,,,,,,,,,,
MUGEN,,0d9edf8e7524fdff00a6a65fe50f16f98be7d621,,,,,,1.1b1,,Elecbyte,xw,,,,,,,,,,,,,
MUGEN,,0f1cc29b81017a08fe725c2d7d88b5f8b360b9a1,,,SndMaker,,,1.02,2010/05/04,Elecbyte,xw,,,,,,,,,,,,,
"Abobo's Big Adventure",,1ada9acbb12cd55133dffd7272547dfee5ebde5f,,,,,,v1.4,,,xw,!,,,,,,,,,,,,
"Alien vs Predator",,1da22dc8f057db5f1c15c6d57ba101ced1ab877d,,,,,,,,,,?,,,,,,,,,,,,
"Streets of Rage Remake v5_1",,1edcf044d57968112335132c58cedf411e2427a6,,,SorMaker,,,,,,,,,,,,,,,,,,,
"Adagio v3_03",,1ff605cdd740ba62e9eecfaeec39ca4a3cde5ff7,,,"Adagio: Uninstall",,,v3.03,,,,?,,,,,,,,,,,,
Vocaluxe,,206c23fa718c615d40ea61c936413391df14b7f3,,,gst-validate-1.0,,,,,,,,,,,,,,,,,,,
"Rocket Jockey v1.0",,20ec28c25c2f5ff4072cb1bf0e613fa3fd7d5a9a,,,"Rocket Jockey",,,,,,,?,,,,,,,,,,,,
"Touhou 2: The Story of Eastern Wonderland",,23d7ec5aa53c99a52ce78fd7fea69fb9b908d33a,,,custom,,,,,,,?,,,,,,,,,,,,
"Fuzz Power v1.4",,269a7ad15659bf714d6f4e5f3ab1c8dce9c19431,,,"Fuzz Power",,,v1.4,,,,?,,,,,,,,,,,,
Vocaluxe,,286572b03d4b0879d053d469d4e34cde82eb448a,,,gst-discoverer-1.0,,,,,,,,,,,,,,,,,,,
"Yetisports 2: Orca Slap",,28cf0b58fb1048d06c573f49d1b12465896db52e,,,yetisports2,,,,,,,?,,,,,,,,,,,,
illuminator,,2950acf0f50c5e0ce2c871bf0158953149edb5a1,,,,,,,,,,?,,,,,,,,,,,,
"Actua Soccer 3",,296ed41bf687b93dc8733d11fe83c54f5e31ee5d,,,checkver,,,,,,,?,,,,,,,,,,,,
"Yetisports 3: Seal Bounce",,2c78c59978827850452fb2990b473d790eb93d7a,,,yetisports3,,,,,,,?,,,,,,,,,,,,
Alfredo,,37f215489a75553fe49196a75ba75576791f15c9,,,,,,,,,,?,,,,,,,,,,,,
"Touhou 2: The Story of Eastern Wonderland",,38c7d8df2c6160d8b6492a1f29ca0110c9be9f84,,,initializedata,,,,,,,?,,,,,,,,,,,,
"Jupiter Scope v1.0",,3a96c6c1d01ae4b130b88cf0324a18c6ad09f9a9,,,"Jupiter Scope",,,v1.0,,,,?,,,,,,,,,,,,
