"Group","SHA1","ID","Folder","FileName","Title","Media Filename","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
005,,005,,,,005,,,,,,,,,,,,,,,,,,
09825_67907,,09825_67907,,,"Hewlett-Packard HP-09825-67907",@,@,,@,@,@,@,@,@,@,@,,@,@,@,,,,
100lions,,100lions,,,"100 Lions","100 Lions",,"(10219211, NSW/ACT)",,,,,,,,,,,,,,,,
10yard,,10yard,,,"10-Yard Fight","10-Yard Fight",,"(World, set 1)",,,xw,,,,,,,,,,,,,
10yard,,10yard85,,,"10-Yard Fight '85","10-Yard Fight '85",,"(US, Taito license)",,,us,,,,,,,,,,,,,
10yard,,10yardj,,,"10-Yard Fight","10-Yard Fight",,(Japan),,,jp,,,,,,,,,,,,,
11beat,,11beat,,,"Eleven Beat","Eleven Beat",,,,,,,,,,,,,,,,,,
1292apvs,,1292apvs,,,"1292 Advanced Programmable Video System",@,@,,@,@,@,@,@,@,@,@,,@,@,@,,,,
136094_0072,,136094_0072,,,"Atari 136094-0072 XGA",@,@,,@,@,@,@,@,@,@,@,,@,@,@,,,,
136095_0072,,136095_0072,,,"Atari 136095-0072 XGA",@,@,,@,@,@,@,@,@,@,@,,@,@,@,,,,
1292apvs,,1392apvs,,,"1392 Advanced Programmable Video System",@,@,,@,@,@,@,@,@,@,@,,@,@,@,,,,
15lions,,15lions,,,"15 Lions",@,@,"(10166211, Queensland)",@,@,@,@,@,@,@,@,,@,@,@,,,,
18w,,18w,,,"18 Wheeler","18 Wheeler",,"(set 1)",,,,,,,,,,,,,,,,
18w,,18w2,,,"18 Wheeler","18 Wheeler",,"(set 2)",,,,,,,,,,,,,,,,
18wheelr,,18wheelr,,,"18 Wheeler","18 Wheeler",,"(deluxe, Rev A)",,,,,,,,,,,,,,,,
18wheelr,,18wheelro,,,"18 Wheeler",@,@,(deluxe),@,@,@,@,@,@,@,@,,@,@,@,,,,
18wheelr,,18wheelrt,,,"18 Wheeler",@,@,"(deluxe, Rev T)",@,@,@,@,@,@,@,@,,@,@,@,,,,
18wheelr,,18wheels,,,"18 Wheeler","18 Wheeler",,(standard),,,,,,,,,,,,,,,,
18wheelr,,18wheelu,,,"18 Wheeler","18 Wheeler",,(upright),,,,,,,,,,,,,,,,
1941,,1941,,,"1941: Counter Attack","1941 - Counter Attack",,"(World 900227)",,,xw,,,,,,,,,,,,,
1941,,1941j,,,"1941: Counter Attack","1941 - Counter Attack",,(Japan),,,jp,,,,,,,,,,,,,
1941,,1941r1,,,"1941: Counter Attack","1941 - Counter Attack",,(World),,,xw,,,,,,,,,,,,,
