Group,SHA1,ID,Folder,FileName,Title,[Removed],"Sort Title",Version,Year,Publisher,Zone,DumpStatus,"Dump Info",Fixed,Trainer,Translation,Pirate,Cracked,Modified,Hack,"Extra Parameters",,,
"Fushigi no Yume no Alice",,ab964e50e51b970724741deb958c1b65b15cb71d,,,,,,,1990,Face,jp,o,,,,,,,,,@,,,
"Fushigi no Yume no Alice",,dc43b6ce36e97ff9ac2107b75c458ca74cc6adaf,,,,,,,1990,Face,jp,b,,,,,,,,,@,,,
"Fushigi no Yume no Alice",,d7c7a2bd623d1f7b8b4586a6381aa52ea5286e7e,,,,,,,,,jp,?,,,,,,,,,,,,
"Fushigi no Yume no Alice",,8af190492b48440d2e418181276cf4d4bc5d8daf,,,,,,,,,jp,b,,,,,,,,,,,,
"Formation Soccer on J. League",,707e1313ced02b5ff8092de22e997d60ad7cdc72,,,,,,,,,jp,?,,,,,,,,,,,,
"Formation Soccer: Human Cup '90",,134d1ff718c7924c5d43240885f449fd70947418,,,,,,,1990,Human,jp,b,"Corrupt gfx",,,,,,,,@,,,
"Formation Soccer: Human Cup '90",,d937c115390d9027ef9b79eb54baf44b04bd925f,,,,,,,,,jp,?,,,,,,,,,,,,
"Galaga '90",,c4df4b78816cb1d4f407acb03165ec541b3f4a6d,,,,,,,1989,NEC,us,b,,"PC Engine compatible",,,,,,,@,,,
"Galaga '90",,bf5ef8c5701754c049fa50e36c2a344f7f3cca64,,,,,,,1989,NEC,us,?,,"PC Engine compatible",,,,,,1,@,,,
"Galaga '90",,b25ba761fef7e89291a3b391eb55ce80cf410afd,,,,,,,1989,NEC,us,?,,"PC Engine compatible",Lives,,,,,,@,,,
"Gaia no Monshou",,d5370842452de5b98964e84690aae5894f8f9ecd,,,,,,,,,jp,?,,,,,,,,,,,,
"Fushigi no Yume no Alice",,3f50002689262486e7b986d62e4bbc89da8c9dc6,,,,,,,1990,Face,jp,b,,,,,,,,,@,,,
"Gai Flame",,9a1fe44f92d7a1318f27f5f109a9faf0f71fdc7b,,,,,,,,,jp,?,,,,,,,,,,,,
"Gaia no Monshou",,322098f826198409179081a1c21956bbb7485b10,,,,,,,1988,NCS,jp,b,,,,,,,,,@,,,
"Final Soldier",,96da058cdd231b362e96c64791b14d306895563a,,,,,,,,,jp,,,,,,,,,,,,,
"Final Soldier",,9afa2e5a7807e376bf2d1fd20859ce98554e7773,,,,,,,1991,Hudson,jp,u,,,,,,,,,@,,,
"Final Soldier",,0fba92efe9644a6f55036535f827dc4b6c0312e6,,,,,,,,,jp,b,,,,,,,,,,,,
"Final Soldier",,f59bebeb4745510de969787bdf7639f3cb86f944,,,,,,,1991,Hudson,jp,b,,,,,,,,,@,,,
"Final Lap Twin",,1e15b4d0320dfcf504604cb66ae4644c6dcc8557,,,,,,,,,jp,?,,,,,,,,,,,,
"Final Lap Twin",,142da9f3fecef8cb7b42259b32e291deca3ba64e,,,,,,,,,jp,b,,,,,,,,,,,,
"Final Match Tennis",,32ad286b58ae8881cfac7a209fbb4be9bbb5d382,,,,,,,,,jp,?,,,,,,,,,,,,
"Fire Pro Wrestling: 2nd Bout",,625fc0a66319b319793d7f8800551b3375988483,,,,,,,,,jp,?,,,,,,,,,,,,
"Fire Pro Wrestling: Combination Tag",,d149ca397c5a45367c32fb78210e6febf734d837,,,,,,,1989,Human,jp,?,,,,,,,,,@,,,
"Fire Pro Wrestling: Combination Tag",,1326806ce11308c874e86601b92d563e3e325bf3,,,,,,,1989,Human,jp,o,,,,,,,,,@,,,
"Fire Pro Wrestling 3: Legend Bout",,59f4dff313243101e1fa71d0cf6f5a8ddda724cf,,,,,,,,,jp,?,,,,,,,,,,,,
"Final Soldier",,ce89c6ea5d9eb36a642742ecad9c35c16b761c49,,,,,,,1991,Hudson,jp,?,,,,,,,,,@,,,
"Final Soldier",,a8feaea60af4350335d1f4aa9c292024d2f5a9cb,,,,,,,1991,Hudson,jp,b,,,,,,,,,@,,,
"Final Soldier",,02426a01d7e7a8a6c7f95b678f02573da32514bf,,,,,,,,,jp,b,,,,,,,,,,,,
"Genpei Toumaden",,ccb48a1005fd76c6c7a712b181b0b1826a8c5512,,,,,,,,,jp,b,,,,,,,,,,,,
"Ghost Manor",,7092a265599194a280eca9314b496079cc49dcbd,,,,,,,1992,"Turbo Technologies",us,?,,,,,,,,,@,,,
"Ghost Manor",,344e89f853ec13ee6a4fe79164e619e8810f7e91,,,,,,,1992,"Turbo Technologies",us,b,,,,,,,,,@,,,
"Genpei Toumaden",,591e612553e892cabeb268fe6702b5081a1c23ed,,,,,,,1990,Namco,jp,b,,,,,,,,,@,,,
"Genji Tsuushin Agedama",,e263613c54a9ba0856bf7b52e7e1342e4aff9f69,,,,,,,,,jp,b,,,,,,,,,,,,
"Genpei Toumaden",,0f9c97e61ae5a718b5bdec84a0f3d85462a8090a,,,,,,,,,jp,?,,,,,,,,,,,,
"Genpei Toumaden",,fc46cbdc3639f94c72d0727ea72381a7f24584d4,,,,,,,,,jp,b,,,,,,,,,,,,
"Gomola Speed",,4592b3238b5c06655415a354a4ed42f39452befb,,,,,,,1990,UPL,jp,o,,,,,,,,,@,,,
"Gomola Speed",,77950d2ec76180b2dade9e83693e6b0797544732,,,,,,,,,jp,?,,,,,,,,,,,,
"Gomola Speed",,c0212481dfb97ddcfa1a8a8605ed21959627fa25,,,,,,,1990,UPL,jp,o,,,,,,,,,@,,,
"Gomola Speed",,698f2344191107dc21e412b85f80e05e99327ad8,,,,,,,,,jp,,,,,,,,,,,,,
"Ghost Manor",,82b2e4fbae4497c1802b86205f38e06305940c1e,,,,,,,1992,"Turbo Technologies",us,b,,,,,,,,,@,,,
"Gokuraku! Chuuka Taisen",,08446afcbe2f80984cbf064b68e2254ec1e7cae9,,,,,,,,,jp,?,,,,,,,,,,,,
"Gokuraku! Chuuka Taisen",,46a0eb7621428755bb1f26f931fc57dcae1b7b48,,,,,,,,,jp,o,,,,,,,,,,,,
"Games Express CD Card 1993",,014881a959e045e00f4db8f52955200865d40280,,,,,,,,,jp,?,,,,,,,,,,,,
"Games Express CD Card 1993",,1b357d80978c2bfa96277e25fe25d87de3b69afc,,,,,,,,,jp,b,,,,,,,,,,,,
"Games Express CD Card 1993",,6adc9d8839b47dcb130b0f26f84ae7ce2cadc628,,,,,,,,,jp,o,,,,,,,,,,,,
"Games Express CD Card 1993",,40885e34f2399b33af4983b2a87a9ba1371504a1,,,,,,,,,jp,o,,,,,,,,,,,,
"Galaga '90",,79f0b0f04f5fc25d7c4ddc2245ccd5decc9afade,,,,,,"Tai Sang Version",1989,NEC,us,?,,,,,,,,,@,,,
"Galaga '90",,3bf6f069f40f07970897fdc539e1138cd3103d40,,,,,,,1989,NEC,us,u,,"PC Engine compatible",,,,,,,@,,,
"Galaga '90",,ff73a144eb2da537d0e1a3c8c56ef197fd6ce1ce,,,,,,,1989,NEC,us,?,,,,,,,,,@,,,
"Genji Tsuushin Agedama",,9da55c6f8db492f75de71fb57feba33398c4505b,,,,,,,,,jp,b,,,,,,,,,,,,
"Genji Tsuushin Agedama",,25c35dae21e032fe8cd38d6e54a3330434e02adc,,,,,,,1991,NEC,jp,?,,,,,,,,,@,,,
"Genji Tsuushin Agedama",,fceb31040802c179daf77d5cfe736e22c6b73b70,,,,,,,,,jp,,,,,,,,,,,,,
"Gekisha Boy",,c1753e03f21bae136c6e8ef264f33bbcc1fd6695,,,,,,,,,jp,?,,,,,,,,,,,,
"Ganbare Golf Boys",,69794e5af0d2ec1a5bf6122c64fd5bc43092ae04,,,,,,,1989,"Masaya | NCS",jp,?,,,,,,,,,@,,,
"Gekisha Boy",,85faf65edbb1a4fafb04bf9f79212fe7996e6b1e,,,,,,,1992,Irem,jp,b,,,,,,,,,@,,,
"Gekisha Boy",,cd8a5fad218f4450c856e8d7c88ce8a57cbd06d5,,,,,,,,,jp,?,,,,en,,,,,,,,
"F-1 Pilot: You're King of Kings",,43e3cd882182976510a2b3adb36cf070db4c2948,,,,,,,,,jp,?,,,,,,,,,,,,
"F-1 Pilot: You're King of Kings",,3d4276dd2407c43f2727af9125a8ffe61a8e0d0a,,,,,,,1989,Pack-In-Video,jp,o,,,,,,,,,@,,,
"F-1 Pilot: You're King of Kings",,e427afa516755d9616adac9228b0d15df94f1e84,,,,,,,1989,Pack-In-Video,jp,,,,,,,,,,@,,,
"F-1 Dream",,623ac926ba2a19f1c4c86e5ff35a186293c2bca0,,,,,,,,,jp,?,,,,,,,,,,,,
Energy,,5d7013d9cefe6bc5eba069a225c32505c20c4bd6,,,,,,,1989,"Masaya | NCS",jp,b,,,,,,,,,@,,,
"F-1 Dream",,d10a10797592ae9d186812be2407e3422f40169b,,,,,,,,,jp,,,,,,,,,,,,,
"F-1 Dream",,73f440771ad59128141bb61d4e443788fcbda453,,,,,,,,,jp,,,,,,,,,,,,,
"F1 Circus '91: World Championship",,c94ba967c03115708f8afc571c11a6273c6f1ebb,,,,,,,,,jp,b,,,,,,,,,,,,
"F1 Circus '91: World Championship",,d8f888b0558eeada044335a95c4df549c821492c,,,,,,,,,jp,?,,,,,,,,,,,,
"F1 Circus '91: World Championship",,ca7817e9cf2f2691e5eec5d898c0de1c565052c7,,,,,,,,,jp,b,,,,,,,,,,,,
"F1 Circus '91: World Championship",,89b0038945bfed1e65fd5c1c063af63f96cc7d1e,,,,,,,,,jp,b,,,,,,,,,,,,
"F1 Circus",,06e8158cd0f543df8ca780f8e12640e575a79af7,,,,,,,,,jp,,,,,,,,,,,,,
"F1 Circus",,256cc12c74ba7c7b599541fc1e98956a4fff6d99,,,,,,,,,jp,?,,,,,,,,,,,,
"F1 Circus '91: World Championship",,cd8597eed565df2e6232d6da70cc15fc3b6c1a15,,,,,,,,,jp,b,,,,,,,,,,,,
"Dungeon Explorer",,5be01fe9a36566cb613ecb77fac6d006f2cf405a,,,,,,,1989,"Hudson | NEC",us,o,,"PC Engine compatible",,,,,,1,@,,,
"Dungeon Explorer",,12db766783262cd0e4bab3aa835f6776b223a7f4,,,,,,,,,jp,b,,,,,,,,,,,,
"Dungeon Explorer",,5dc4c1f191fc7e38bac7992ed568589e59345840,,,,,,,1989,Hudson,jp,o,,,,,,,,,@,,,
"Dungeon Explorer",,e8eb4f4b3e7d4e8d41c0be8029f3320c8eec5a69,,,,,,,,,jp,?,,,,,,,,,,,,
"Dragon Spirit",,3bdd082360335232715633b469da71ab2597279d,,,,,,,1989,NEC,us,?,,,,,,,,,@,,,
"Drop Off",,54bb6ea11aca4ca6a16ba439828ba1f6fada3623,,,,,,,1990,NEC,us,?,,,,,,,,,@,,,
"Drop Off",,b941ec378988aac2a47a3c4a4ca1564836de5f18,,,,,,,,,us,?,,,,,,,,1,,,,
