"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,0011ed24adf2f5232a9ef1c5724bcc208a60e26c,,,ScummVM-N64,,,v1.6.0-kyra,2013,"ScummVM Team",@,@,@,@,@,@,@,@,@,@,@,,,
"Star Fox 64",,0022386bd3e0959df11108b9205d94bcfc924224,,,,,,v0,1997,Nintendo,jp,b,,*,,,,,,,@,,,
"F-1 World Grand Prix",,00468d7f707625af12ee106f3f4b0d276b116eba,,,,,,,1998,"Paradigm Entertainment | Video System",de,?,,,,,,,,*,@,,,
"V-Rally Edition 99",,009511834d453e6a152a03846dcb818c838e2654,,,,,,,1998,Infogrames,eu,?,,NTSC,,,,,,*,@,,,
@,,00b8440a8ad71d9a1e21895311426c1ad1dc82e6,,,ScummVM-N64,,,v1.5.0-agos,2012,"ScummVM Team",@,@,@,@,@,@,@,@,@,@,@,,,
@,,00da4cc08c5a35bfd165ecd8f266f588664a4d7a,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,25,@,,,
"Army Men: Sarge's Heroes",,00e594fa64da61c2ad3138a31a22b9854bb3fafa,,,,,,,1999,3DO,eu,!,,,,,,,,,@,,,
"Pokemon Snap",,00e5a9605092fed9e803f1580d5e54d032bc3504,,,,,,,1999,"HAL Laboratory | Nintendo",au,?,,GameShark,,,,,,*,@,,,
"NFL Blitz",,00f362d7c1e2fb0da89f486c624d447d1973034d,,,,,,,1997,Midway,us,?,,PAL,,,,,,*,@,,,
"Armorines: Project S.W.A.R.M.",,00fe641d1d28455c4107cd314e681938f3fe8b9e,,,,,,,1999,Acclaim,us,?,,PAL,,,,,,*,@,,,
"Nushi Zuri 64",,010f65015fd0a05b25b25c5a8dde00fc0d8d9673,,,,,,v0,1998,Pack-In-Video,jp,b,,,,,,,,,@,,,
"Fighters Destiny",,011bdbaa1bc6d6a5540a749cf1a90bf6a35fd94b,,,"Fighting Cup",,,,1998,"Imagineer | Genki",jp,!,,,,,,,,,@,,,
"Mr. Backup Z64 BIOS",,01463289d47b99acace8ef860216da16cc216678,,,,,,v2.17,1999,"Mr. Backup",,?,,,,,,,,5,@,,,
"F1 Pole Position 64",,014f65ca809e85fcfed8070851f4bad7fae74e37,,,,,,,1997,"Human | Ubisoft",us,b,,,,,,,,,@,,,
"Indy Racing 2000",,015bf0e0bc700a80a2606d3578e4a9b7645e99ec,,,,,,,2000,Infogrames,us,!,,,,,,,,,@,,,
"Paper Mario",,0179d423a209a8407eb839722e3204890ce6bd21,,,,,,v0.9,2001,Nintendo,us,?,,,,zh,,,,,@,,,
"Beetle Adventure Racing!",,017ccf695d633738b86db3ffc7786a7b73604fec,,,,,,,1999,"Electronic Arts",us,b,,,,,,,,,@,,,
"Shadowgate 64: Trials of The Four Towers",,019d0b6fa2ccaaf05ab9d7fe66eea8e132345456,,,,,,,1999,Kemco,jp,b,,,,,,,,,@,,,
"Rush 2: Extreme Racing USA",,01b0a31b1accc18061e8c85f6c5edf0dbd79f097,,,,,,,1998,"Atari | Midway",us,!,,,,,,,,,@,,,
"Star Wars: Rogue Squadron",,01b0cc8b89055db65c22694c0fe1b6d8e79cee62,,,,,,v0,1998,LucasArts,us,?,"Language Select",,,,,,,*,@,,,
"Mr. Backup Z64 BIOS",,01cf4446f2c27aa3ea9aba4fd33cbeb393e5620d,,,,,,v2.00,1998,"Mr. Backup",,?,,,,,,,,*,@,,,
@,,01d010297d345e191d4d8f6f8b4a5d1e00d88429,,,ScummVM-N64,,,v1.4.1-scumm,2012,"ScummVM Team",@,@,@,@,@,@,@,@,@,@,@,,,
Rakugakids,,01d46d34010a055ac26b3fab997d1ac46ef73b11,,,,,,,1998,Konami,eu,?,,NTSC,,,,,,*,@,,,
"Buck Bumble",,01d9497ea0e1f68ae285b8c7a57439b42b7d9a56,,,,,,,1998,"Argonaut | Ubisoft",us,!,,,,,,,,,@,,,
"Bomberman 64 {W}",,01e50f41733994bf229bee3b3d8aa9fd46441175,,,,,,,1997,Hudson,eu,!,,,,,,,,,@,,,
AeroGauge,,02044bea226783bf4048f3ff8df63c62d82d5bfb,,,,,,,1998,"ASCII | Locomotive",us,?,,,,,,,,3,@,,,
"Legend of Zelda: Ocarina of Time",,0227d7c0074f2d0ac935631990da8ec5914597b4,,,,,,,2003,Nintendo,eu,!,"Nintendo GameCube",,,,,,,,@,,,
"Olympic Hockey Nagano 98",,02310067defd4c7eac235dff5e71ef0566ce916c,,,,,,,1998,Atari,us,!,,,,,,,,,@,,,
@,,0235e5ade3d44f19a76591e1b094aa40af03a93a,,,"Retroactive 64drive Menu",,,v1.08,2012,Retroactive,@,b,@,@,@,@,@,@,@,@,@,,,
AeroGauge,,0253c33355986ddda18a7a72b81b91ddc1bed978,,,,,,"Demo kiosk",1997,"ASCII | Locomotive",jp,!,,,,,,,,,@,,,
"Doraemon: Nobita to 3tsu no Seireiseki",,025424f1a7b95f38f4a6cf3c266714ffbf724b2c,,,,,,,1997,Epoch,jp,b,,,,,,,,,@,,,
"Mario Kart 64",,0265e155194a853ffc95230f7d6efd50e6db3f52,,,,,,,1996,Nintendo,us,b,,,,,,,,,@,,,
"John Romero's Daikatana",,0278c3f9b2780890c4c2a3ee8a10c550a1eda346,,,,,,,2000,"Ion Storm | Kemco",eu,!,,,,,,,,,@,,,
@,,0282f6497f6ab5f341c23df3cffeb15e30fb282f,,,"F-Zero X",,,@,1998,Nintendo,us,@,@,@,@,@,@,@,@,20,@,,,
"Mario Golf",,0287c51af8b969702b88bc65c66edae8d3533cd8,,,"Mario Golf 64",,,v0,1999,"Nintendo | Camelot Software Planning",jp,b,,,,,,,,,@,,,
"Jikkyou Powerful Pro Yakyuu 6",,02924d963d214102cb723b0e54c901968aa51a1f,,,,,,v0,1999,Konami,jp,!,,,,,,,,,@,,,
@,,029923421684703a1cac8e7e28981099a239e8d9,,,"Neo N64 Myth Menu",,,v1.5SD,2010,NeoTeam,@,@,@,@,@,@,@,@,@,@,@,,,
@,,02a3eb14d2646ea7651f5ad9af58bf374f7bb023,,,"Zhi Pian Mario",,,v4,200x,Nintendo,cn,@,iQue,@,@,@,@,@,anual,@,@,,,
AeroGauge,,02a566477a3d4f8147a61543780976394d9d3820,,,,,,"Demo kiosk",1997,"ASCII | Locomotive",jp,b,,,,,,,,,@,,,
"NBA Jam 99",,02b21a0c7b8d0db0e0ae041e93ce77812913bab6,,,,,,,1998,Acclaim,eu,?,,,,,,,,*,@,,,
