"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Majokko Cream-chan no Gokko Series 1: Wannyan Idol Gakuen",,0007603e37adfec491fbce8ea510e22f777ec805,,,,,,,,,jp,?,,,,,,,,,,,,
"Iridion II",,0009e1d8651f7eca50a817928fd74bdee5663433,,,,,,,,,eu,?,,,,,,,,"Intro removed FF",,,,
"Final Fantasy I & II: Dawn of Souls",,000ab92c286bcb43a4ce960e807905f95ac0b542,,,"Final Fantasy I & II Advance Trainer Menu",,"Final Fantasy 1 and 2 Advance Trainer Menu",,,Batman,,?,,,,,,,,,,,,
"Disney's Magical Quest 2 starring Mickey & Minnie",,000da90f4984b0618d255d1b4c74c1b2538231e4,,,"Disney's Magical Quest 2 Starring Mickey & Minnie",,"Magical Quest 2 Starring Mickey and Minnie",,,,eu,?,,,1,,,,,,,,,
"Rugrats: All Grown Up!: Express Yourself",,001549d27f44e3e2bcde9b6a6613ae21d3063e19,,,,,,,,,eu,?,,"Removed EEPROM_v124",,,,,,,,,,
"Rayman Advance",,00160fbf1fb8aae10eb446c30b0c403cf62cf5c5,,,,,,Pre-Release,,,eu,?,,FACRASH,,,,,,,,,,
"Mario & Luigi: Superstar Saga",,0016a26ccb371296f4383f39de42bae7354aa0a7,,,,,,,,,eu,?,,"Removed EEPROM_v125",,,,,,,,,,
"Megaman Zero",,00277132569bcce56eb8ea04e62d938645e53e76,,,,,,1.0,,DigitalZeroDomain,us,?,,,,de,,,,,,,,
"Megaman Zero 2",,002f62dbf793bf795a05d00fc4eca10718a7aeb0,,,,,,1.0,,M13,us,?,,,,pl,,,,,,,,
"Disney's Home on the Range",,003a90c031e1d1b89ca928103933c66640331979,,,"Home on the Range",,,,2004,Disney,eu,!,,,,,,,,,@,,,
"E-reader Cards",,0048191bf763069b918905c3aef075e68e888034,,,"NES-e: Series 3: Donkey Kong 3",,,,,,us,?,,,,,,,,,,,,
Incredibles,,0050a78e103d80c4ea50adfcf658ffa8e34b8e79,,,,,,1.0,,K.ER,us,?,,,,pl,,,,,,,,
"Tom and Jerry Tales",,006a0db571a9ad376621b0522830b2a8ad60f867,,,,,,,,,eu,?,,,,,,,,,,,,
@,,007c780b5ef4eb40c6ff091674d91215e98aa8cd,,,"Blind Jump",,,@,2020/09/21,"Bowman, Evan",@,@,@,@,@,@,@,@,@,@,@,,,
@,,007d08a1a8d8cba78fa882c6f78a057bfcb405a4,,,Pong,,,@,2022/04/26,Guilty_D,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0091fbfa03c436fbaf8021bd33cf58b7925db59a,,,"Mind Departure",,,@,2012,"La Paz | Up Rough",@,@,@,@,@,@,@,@,@,@,@,,,
"Wario Land 4",,0092ea8bb679619148bc4c2e1b5f6cba6e8ab98b,,,,,,,,,eu-us,?,,,,gr,,,,,,,,
"V-Rally 3",,00a44c715aadd4ad3674f8d108271cdcb791cc16,,,,,,,,,us,?,,,,,,,,,,,,
"Disney's Magical Quest starring Mickey & Minnie",,00a58654c699ff5c45d3c5228d5abd7c28e59ef2,,,,,,,,,eu,?,,,,,,,,,,,,
"Super Street Fighter II Turbo: Revival",,00b0508e2774d0bbcb8f0994766cb362e62d7537,,,,,,,,,us,!,,,,,,,,,,,,
"Mortal Kombat: Deadly Alliance",,00b63d479efbc1edbd2c48e2e9f93c9bc8e911bc,,,,,,,,,eu,?,,,,,,,,,,,,
Scooby-Doo,,00c6ec5c8283f27b36bd302bd11d8169d1cfc502,,,,,,,,,eu,?,,,,,,,,,,,,
"International Karate Advanced",,00d84a521643600f81e2614318fc29349bbe4388,,,,,,,,,eu,?,,,1,,,,,,,,,
"Rayman 3: Hoodlum Havoc | Winnie the Pooh's Rumbly Tumbly Adventure",,00db78f5392eb20ba0808197dc54ae8d9ad5efd6,,,,,,,,,eu,?,,"Removed EEPROM_v125",,,,,,,,,,
"Teenage Mutant Ninja Turtles 2: Battle Nexus",,00dba9e4522993c17a020e0409e865fc485c95b7,,,,,,,,,us,?,,"Removed EEPROM_v125",,,,,,,,,,
"Yu-Gi-Oh!: Duel Monsters 5 Expert I",,00e42f8ee1e945b1973b21e10a33f03903ea46ec,,,,,,,,,jp,?,,1,,,,,,,,,,
"Ghost Trap",,00efb5ed50127f91e2a2827926cf2d4491e4b1b3,,,,,,,,,jp,?,,,,,,,,,,,,
"Tony Hawk's Downhill Jam",,00f5ba097755ba30c9da1d1cdc13c618955494cb,,,,,,,,,eu,?,,"Removed EEPROM_v124",,,,,,,,,,
"LEGO Island 2: Brickster's Revenge",,00fe8d6f16a8381d25b12cd0b5a45d54fca6ad0e,,,,,,,,,us,!,,,,,,,,,,,,
"Famicom Mini: Vol. 22: Nazo no Murasamejou",,0100d4e94c30adf73cd6082b89911dedf723ecd5,,,,,,,,,jp,o,,,,,,,,,,,,
"Tekken Advance",,01035de6aa8c8e0f441921abb355b528f7a78b2a,,,,,,,,,jp,b,,,,,,,,,,,,
