"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,00001e98a2230ac0b53329b6ae2d3c17e17eb98d,,,G-ZERO,,,v2.1.0,2022/03/02,7FH,@,@,@,@,@,@,@,@,@,@,@,,,
"Yie Ar Kung Fu",,000c4179e1d8d627001489f21d7975aadabc116e,,,,,,v1.1,,,,?,,,,,,,,,,,,
@,,0011be83356488c14c95e94fe844cbff2df9b0c8,,,"Photos of fries on the gameboy",,,@,2021/03/08,Oretal,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0014162123d6acdc7f5d66d164de19000130d245,,,"Burly Bear vs. The Mean Foxes",,,@,2011,"Mihai, Sebastian",@,@,@,@,@,@,@,@,@,@,@,,,
"Public Domain",,00195594e2899053aaef99dbcfc8d8f78b055730,,,"GBS Player: Trax",,,V1.01,,,,?,,,,,,,,,,,,
@,,001a6d36e4511baefb48580ba5b8b7e0f2730a7f,,,"Tally-Jo! and the Huge Mistake",,,@,2021/05/28,DeviousJinjo,@,@,@,@,@,@,@,@,@,@,@,,,
"Play Action Football",,001a9fdb219cc7457c4a85cc3c51c1859eeabc3a,,,,,,,1990,Nintendo,us,b,,,,,,,,,@,,,
"RPG Tsukuru GB",,001c144ca399ea17323861496eba9df191bb830e,,,,,,v0.60,,Magecraft,jp,?,,,,en,,,,,,,,
"NYR: New York Race",,001decc8331b4beb94a01a1b6ef08e1bf2920ece,,,,,,,,,eu-us,!,,,,,,,,,,,,
"Mr. Driller",,00204e9986e2837c38837697a4549bb506412480,,,,,,,,,us,?,,,,zh,,,,,,,,
@,,002fb2e5e0eb8019e515e9d27e23ba16d0b1ebc6,,,"Bug Favor",,,@,2022/02/09,grahmboycolor,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0030295574e4c518ff5cdf20febf6b6737426468,,,"Mani 4 in 1: Genki Bakuhatsu Gambaruger | Zettai Muteki Raijin-Oh | Zoids Densetsu | Miracle Adventure of Esparks: Ushinawareta Seiseki Perivron",,,@,19xx,Mani,cn,@,@,@,@,@,@,@,@,@,@,,,
"J.League Big Wave Soccer",,00369c42d2c4be0506901b64f7d5424538574ce0,,,,,,,1995,Tomy,jp,?,,,,,,,,,@,,,
"Maya the Bee & Her Friends",,003cb0034dfad57ee98919a59238a8a09ddabd1d,,,,,,,,,eu,?,,,1,,,,,,,,,
@,,004a82bdbf337c488fb20c29e273492424a3658f,,,"Chance Time",,,@,2022/03/02,Numeritos21,@,@,@,@,@,@,@,@,@,@,@,,,
"Bomberman GB {W}",,004e540e8aed59e5aee1c88ef84975000a6efe6c,,,"Bomberman GB 2",,,,1995,Hudson,jp,?,,,,,,,,,@,,,
@,,0061ab0dd45c02e22511ba88338ec739b10d0d82,,,"DMG P-01",,,@,2013,"Genesis Project",@,@,@,@,@,@,@,@,@,@,@,,,
"Faceball 2000",,006893bc116f0f9428564e742291931a10ac4762,,,,,,,1991,Bullet-Proof,us,b,,,,,,,,,@,,,
"Tomb Raider",,007187ff6e82981889aca9b29562b0115068a72c,,,,,,Beta,,,eu-us,?,,,,it,,,,,,,,
"Sea Battle",,00745f75877423494679bbc3912e58238ac399c3,,,"Schiffe Versenken",,,,1998,Infogrames,de,?,,,,,,,,,@,,,
"Cool World",,0075eb99fd94d6991a22294b7d7c1a04c0db9ca1,,,,,,,1992,Ocean,us,b,,,,,,,,,@,,,
@,,0077202e60af4ad9574697a1abfffddfc2fc7729,,,Weldon,,,v5,2021/03/11,BBoth,@,@,@,@,@,@,@,@,@,@,@,,,
