"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Eliminator: Boat Duel",,00009ecaf75344e39cc9a94805f5113c10f270a2,,,,,,,1991/11,"Electro Brain USA",us,,"iNES title",,,,,,,1,,,,
"Dragon Warrior III",,0000eba1e340bf0dc022c887e11bece22ee73b65,,,,,,"v revPRG0",1992/03,Enix,us,b,"b 3",,,,,,,,,,,
"Disney's Darkwing Duck",,000335199cf9c3729339cec13e3cadaf1de41536,,,,,,,1992/06,Capcom,us,,v.20020520,,,"ru MasterZ",,,,,,,,
"!Public Domain",,0007a9a3ae17d4a7cbd3b48ed0a5b812f25388ad,,,"NESMUSIC: Adventures in the Magic Kingdom",,,PD,,,,?,,,,,,,,,,,,
"Ikari III: Rescue",,000c29d91cb9a4db205c43adf33f0fb9df2aa675,,,"Ikari III: The Rescue",,"Ikari 3 - Rescue",,1991/02,SNK,us,b,"b 2",,,,,,,,,,,
"Wait and See!",,000cfd6c621fdd59e38c6a2fc594817b0d41ad3a,,,,,,,1997,"Dragon Co.",xa,,DH1001,,,,1,,,,,,,
"Dr. Mario",,0016552ba3098997336be2599abb214b7d070e92,,,,,,"v revPRG0",1990/07/27,Nintendo,"jp,us",b,"b 3",,,,,,,,,,,
Joust,,00170ed9d812e9a369f8bd8bd654eb0718e939cd,,,"When Mario Attacks by Redrum",,,"Joust Hack; o1",,,,,,,,,,,,,,,,
"AV Mahjong Club",,001a14d8e565480dff9d3fa69cffc92124caae95,,,,,,"Hacker; T+Chi",,,,,,,,,,,,,,,,
@,,001b71aa2785e8d17c20a09ee14cef7771d66058,,,1942,,,,1985/12/11,Capcom,"jp,us",a,"a 1",,,,,,,,,,,
"Ninja Gaiden",,002045bbd87d9fb6f3e5be6fc37baee1d66b3417,,,"Ninja Ryukenden",,,,1988/12/09,Tecmo,jp,b,"b 1",,,,,,,,,,,
"Sesame Street: ABC",,00222d1ea57c7ee4bb614536642d03f02cbca769,,,"Ernie & The Muppets Take It All Off",,,"Sesame Street ABC Hack",,,,,,,,,,,,,,,,
Excitebike,,00298236e6332bb2b801b260d4655b357f60190b,,,,,,,1984/11/30,Nintendo,"jp,us",o,"o 1; iNES title",,,,,,,Vimm,,,,
"Tecmo Super Bowl",,002bc5ac9ecce70f51a8a9c796fbd94b61a2184b,,,"Online Tecmo Football League S11 JAX-DET Week 13",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"Kid Icarus",,00345f84da542f53756353760385e6ce4d79a5db,,,,,,,1987/07,Nintendo,"eu,us",,,,,fr,,,,,,,,
"Bonk's Adventure",,00346e21a4338770515237c5a84f609442215a50,,,"FC Genjin: Freakthoropus Computerus",,,,1993/07/30,Hudson,jp,,v.20060912,,,"zh MS emumax",,,,,,,,
"Oeka Kids: Anpanman to Oekaki Shiyou!!",,003c3acea2548443038cea925f18687266767ca4,,,,,,,1990/10/25,Bandai,jp,,,,,,,,,,,,,
@,,003d54ce341705fafd21f2c83b3c677c077d8098,,,"Kyuukyoku Harikiri Stadium",,,,1988/06/28,Taito,jp,u,"u 1; mapper 4",,,,,,,1,,,,
Gauntlet,,004022e90a16e4ba52aad5d56ae33fb39f780c44,,,,,,"U; o1",,,,,,,,,,,,,,,,
Daisenryaku,,0044bec670c1b97a601fd9800499834cd9c0bc55,,,,,,,1988/10/11,Bothtec,jp,,"v1.0-20000618, iNES title",,,"en Aeon Genesis",,,,Vimm,,,,
Zanac,,0049c1fe04635b2ee1e0b84a0a1b0c0c8b510c6b,,,,,,,1987/12,FCI,us,,"iNES title",,,zh,,,,1,,,,
"After Burner",,004c230b0e8c587eba76f3321f3ce55554fbcab5,,,,,,,1989,Tengen,us,b,"b 2",,,,,,,,,,,
"Nobunaga no Yabou: Bushou Fuuun Roku",,0050ea3e914d54ca98d0e9e5e3be495b7bf33923,,,,,,,1991/12/21,Koei,jp,!,,,,,,,,,,,,
"!Multi-Game Pirate Carts",,0051f88141e2cd8fb02b4de749900b717bbe9a71,,,"Super 4 in 1",,,,199x,,xa,,K4033,,,,1,,,,,,,
"Hunt for Red October",,005a306f56a59f644aa087dbcdf62fbfcd11027a,,,"The Hunt for Red October",,"Hunt for Red October","v rev0",1991/01,"Hi-Tech Expressions",us,,,,,,,,,,,,,
@,,005d931dc0bd41987c24cf01fc01b1bd7e427f99,,,"Tecmo Super Bowl: SEXAY Season 4 Week 10",,,,2006,"Sexay Tecmo League",us,@,"Tecmo Super Bowl",,,,,,,1,,,,
Arkanoid,,00647c00101a2e83a9b941d567176e26755a0a8a,,,"Arkanoid: Dimension of Doh",,,"v 1.00",199x,"Dragon Eyes Studios",,,Arkanoid,,,,,,,1,,,,
"Digital Devil Story: Megami Tensei",,00650846a79552a50f478bc6d491024e69b275d2,,,"デジタル・デビル物語 女神転生",,"Digital Devil Story - Megami Tensei",,1987/09/01,Namco,jp,b,"b 1; mapper 4",,,,,,,1,,,,
@,,00657fec2a8f164751858ba8bb72b5fa5f65e250,,,"Super Sprint",,,,1989,Tengen,us,b,"b 3",,,,,,,,,,,
TwinBee,,00666caa9bf02859f714e7843596bf80d6c5625c,,,,,,"J; b2",,,,?,,,,,,,,,,,,
Cliffhanger,,00668301bd3d9386b533abdc645d9a0c48305da9,,,,,,,1993/11,"Sony Imagesoft",us,b,"b 1",,,,,,,,,,,
"Space Shuttle Project",,0066dabbfc1e67502b4a28bb46c9f37d7d01c4c2,,,,,,,1991/11,Absolute,us,,,,,,,,,,,,,
"Super Mario Bros.",,006bb36b48cd33ad7ba9f57d5eb658cf065d40a7,,,"Tricky Mario Neo",,,"SMB1 Hack; a1",,,,?,,,,,,,,,,,,
"Town & Country Surf Designs: Wood & Water Rage",,006c8859d1ab3429daa1228cd6161af3cdabb236,,,,,,,1988/02,LJN,us,b,"b 2",,,,,,,,,,,
"Super Mario Bros.",,006cc22fe54b4604177f1a24f2ceb969f943da02,,,"Super Link Bros",,,"Older; SMB1 Hack; a5",,,,,,,,,,,,,,,,
Shinobi,,006e02b51018cc9a08ee4040198ddc607b160556,,,,,,,1989,Tengen,us,u,"u 1",,,,,,,,,,,
"Metal Max",,006ecd9f94dd9983bbccd52eaa600c7f991a2fc2,,,"Ji Jia Zhan Shi",,,"Ch; a4",,,,,,,,,,,,,,,,
"Super Mario Bros.",,0076ff2f9577ea857821a74177422d2dd1c2102d,,,"Super Mario Bros Enhanced",,,"SMB1 Hack; o1",,,,,,,,,,,,,,,,
"Battle City",,007775f70b0726f7e20241484bf59e84cb35ce6f,,,"Tank Z",,,"Battle City Hack",,,,?,,,,,,,,,,,,
"Super Mario Bros.",,007841a51e06bea3c6c2f1ac8d93d80680dd707c,,,"Robo Mario",,,"SMB1 Hack",,,,,,,,,,,,,,,,
