"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Lennus II: Fuuin no Shito",,0000322aa5c21ef934c795f71087b04812128077,,,,,,"(J) [T-Eng1.03_Magic Destiny+Stealth Translations]",,,,?,,,,,,,,,,,,
"My First Hack by Skilllux",,00016e86aafdc5c833921a297b8058ddbbd5ec6e,,,,,,"(2011-10-23) (SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Troll Islands",,0005a7ea368694ed6ec54f1619cb6c5799098a85,,,,,,"(E) [!]",,,,?,,,,,,,,,,,,
"Zennihon Pro Wrestling",,0008e17c4be275f22c77915620b413ddbe261107,,,,,,"(J) [h1C]",,,,?,,,,,,,,,,,,
"VIP and Wall Mix 1: Mario Edition",,000cb2d1842725d8dbbc3f74eeac98d9d9e4c835,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
Yakouchuu,,000e0846e4b5514138d435ebbe50b23294fdd921,,,,,,"(J) [!]",,,,?,,,,,,,,,,,,
"Tsuyoshi Shikkarai Shinasai: Taisen Puzzle-dama",,0020b174c55f32df7bfb75ca06bd68ec0e017064,,,,,,"(J) [f1]",,,,?,,,,,,,,,,,,
"Super Hard Impossible Thing Which Happens to be a Cave",,0020bc5f1810641a1ff2fd9c5ee1793079537732,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Powerstars Hack, A by Powerstars321",,00267fc9eeaf5448e5b0c17851f39ee2ce40e88f,,,,,,"(2011-01-02) (SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Mario World: The Legend of Yoshital 2 v0",,0029e4a589805a9680316b73117d110569d9119c,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Toy Story",,002b81474aee31cdd1bcb3487cae47bcffbfed01,,,,,,"(U) [f2]",,,,?,,,,,,,,,,,,
"Super Star Wars: Return of the Jedi",,002c14e6ef8efdc4390ef7f8a0035609699dc5c5,,,,,,"(U) (V1.0) [t1S]",,,,?,,,,,,,,,,,,
"Tecmo Super Baseball",,002dac48c249abf6de1fd6bed175e9a0b12b36f6,,,,,,(Beta),,,,?,,,,,,,,,,,,
"Kawa no Nushi Tsuri 2",,003ac17eec27766a68ab1d5c7ee3b662ecb67944,,,,,,"(J) [h1]",,,,?,,,,,,,,,,,,
"Mario & Luigi DOS Remake",,003f10a032c96869b5d85c58e12ddff3602c7a31,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Hacked World v1.1",,003fce6f97b7d125e337490e9867a153a77eab11,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Mario World: Test 08",,00422307625cc765cda54917da3f3bd0f1ddbd4d,,,,,,"(SMW1 Hack) [a1]",,,,?,,,,,,,,,,,,
"Dai-4-Ji Super Robot Taisen",,0045ec324f7c205cba787a940f62c592b1a00a32,,,,,,"(J) (V1.1) [T+ChS24offb4beforefinished_WGF]",,,,?,,,,,,,,,,,,
"Toad's World: Lost Islands Demo 1 by Ice Man",,004d35a316bcc036fc7cd23a650f6e61a34c9a9e,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
Troddlers,,00539f5d5d7211322e171c072f9cbaec87a14b30,,,,,,"(U) [f1]",,,,?,,,,,,,,,,,,
