"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Phantasy Star Gaiden",,00075c98f58727f11dbee181e820e33a9955ed75,,,,,,v2.0Smallfont,1992,Sega,jp,?,,,,en,,,,,,,,
"Fantasy Zone Gear",,002de139e9e330f2811cf56401b9e3cc7f233b91,,,,,,,1991,"Sanritsu | Sega",xw,b,,,,,,,,,,,,
"Poker Face Paul's Blackjack",,010560dee1eafae3266eb9720e2f802c0deccf40,,,,,,,1993,"Adrenaline | Spidersoft",eu-us,?,,,,,,,,,,,,
Stargate,,011fd49600eaef8be7cbe35ab6eeb4e1554d836c,,,,,,,1994,"Acclaim | Probe",xw,?,,,,,,,,,,,,
Ninku,,01c1750d334c1138a0cfb3e0400139b3b17291d7,,,,,,v0.1,1995,Sega,jp,?,,,,en,,,,,,,,
"Sega Game Pack 4 in 1",,02fa5c6c6f81f5f4e1d78eced5a37617888404d3,,,"Sega Game Pack: 4 in 1",,,,1992,Sega,eu,!,,,,,,,,,,,,
"G-LOC: Air Battle",,033c65e52011fd6b9be86ecb0f5d8209dbbdbbca,,,,,,v1,1990,Sega,jp,,,,,,,,,,,,,
"Mortal Kombat 3",,034ecd615609efb4d96669dda7f32f546d5782f8,,,,,,,1995,"Acclaim | Midway | Software Creations | Williams",xw,!,,,,,,,,,,,,
"Incredible Hulk",,0410dafce21e5f40263ccb39871188ca84f7dd22,,,,,,,1994,"Probe | U.S. Gold",xw,?,,,,,,,,,,,,
"Jurassic Park",,0425dc09465a4b7be78ab7aa46107987ba61e82a,,,,,,,1993,Sega,eu,!,,,,,,,,,,,,
"Bishoujo Senshi Sailor Moon S",,0428df6805bf73d5383cef7a7cd0904136ff6066,,,,,,,1995,Bandai,jp,b,,,,,,,,,,,,
"Greendog: Beached Surfer Dude!",,0463ffe14c3e43670fb51f8da22247cb5e12992d,,,,,,,1993,Sega,xw,b,,,,,,,,,,,,
"Puyo Puyo 2 Tsuu",,04ea9ff57faeeccd1bbb17490d22313ae94c86d6,,,,,,,1994/12/16,Compile,jp,!,,,,,,,,,,,,
Columns,,05b73f39a90fd59e01262cbd3f4e7a21575d468a,,,,,,,1991,Sega,eu-us,!,,,,,,,,,,,,
"Prince of Persia",,0672814b9fb20dd217141f7853db300343f2c1ea,,,,,,,1992,Broderbund,eu,!,,,,,,,,,,,,
"Castle of Illusion Starring Mickey Mouse",,06bbeb784f913b37f58c2581c66d4ecb099deace,,,,,,,1991,"Disney | Sega",eu-us,!,,,,,,,,,,,,
"Tails' Skypatrol",,06c2563d1620dac46683a5c1561d969608665097,,,,,,,1995,"JSH | Sega | Sims",jp,?,,,,pt,,,,,,,,
"FIFA International Soccer",,0725626fc9988b690fc1fc77b294d31b78cbfb5a,,,,,,,1994,"Electronic Arts | Tiertex Design Studio",xw,?,,,,,,,,,,,,
"Earthworm Jim",,0735703dbf3b161c89e1c007bdf1de6cd5f96acf,,,,,,,1995,"Eurocom | Playmates | Virgin",us,,,,*,,,,,,,,,
"Defenders of Oasis",,07c1167c3b6eea294a73272c256934406f48f9d5,,,,,,,1992,Sega,eu-us,?,,,,,,,,,,,,
