"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Air Rescue",,0040a484e2e5ce1a86c296a78d5cdb21c5273c6f,,,,,,,,Emutrans,eu-us,b,,,,pt,,,,,@,,,
"Astro Warrior",,0057804295650fb09c28a0c0c7ea28b9ff9b2606,,,,,,,1986,Sega,eu-us,b,,,,,,,,,@,,,
"Bank Panic",,0116ce90860ae062de7972e5765066bb02d934a5,,,,,,,,,eu-us,,,,,,,,,,,,,
"Alex Kidd in Miracle World",,011e675236dbfcf18a61a006125f36254d3d3f16,,,,,,v1,1986,Sega,br,b,,,,,1,,,,@,,,
@,,014b8bb21ed60729c79f675196d052463ad29c36,,,"VIK 01 Demo",,,@,2004,L.i.N.,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0180c9b26c5a211bea8b85ac4ad21c52a09c7972,,,"Comical Machine Gun Joe",,,@,198x,Samsung,kr,@,@,@,@,@,@,@,@,@,@,,,
"Chuck Rock",,0199c62afb5c09f09999a4815079875b480129f3,,,,,,v2,1992,"Core Design | Virgin",us,!,,,,,,,,,@,,,
Paperboy,,0217f7d1e3164830adb9e8675430efed969287d1,,,,,,,1990,"Atari | Tengen | Tiertex Design Studio",us,,,,*,,,,,,@,,,
@,,021c05f23e7dc24a2d80787d99969ce07779b15c,,,"The Micro Xevious",,"Micro Xevious",@,1990,Zemina,kr,@,@,@,@,@,*,@,@,@,@,,,
"Dragon Crystal",,021c6983fdab4b0215ca324734deef0d32c29562,,,,,,,1991,Sega,eu-us,!,,,,,,,,,@,,,
"Dead Angle",,0236c5239c924b425a99367260b9ebfa8b8e0bca,,,,,,,1989,Sega,eu-us,!,,,,,,,,,@,,,
"Fantasy Zone",,0278cd120dc3a7707eda9314c46c7f27f9e8fdda,,,,,,v2,1986,Sega,eu-us,!,,,,,,,,,@,,,
@,,029269260f101519e4de723679cd6e39a3310ea4,,,"River Strike",,,v0.02,200x,"Pinheiro, Haroldo",@,@,@,@,@,@,@,@,@,@,@,,,
"Spider-Man vs. the Kingpin",,02ebee891d88bacdadd37a3e75e05763b7ad3c9b,,,"Spider-Man vs. The Kingpin",,,,1990,Sega,eu-us,!,,,,,,,,,@,,,
"Simpsons: Bart vs. The World",,038920e63437e05d8431e4cbab2131dd76fb3345,,,,,,,1993,"Acclaim | Flying Edge",eu-us,!,,,,,,,,,@,,,
@,,03eec0d33d7c3b376fe08ffec79f84091f58366b,,,"Spy vs. Spy",,,"Demo kiosk",1986,Sega,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0433eed112ec4c0bdb7b54662b5601406b07123c,,,"Chicken Crossing",,,v0.2,2021/12/10,haroldo-ok,@,@,@,@,@,@,@,@,@,@,@,,,
@,,04bd21aacb4f776d7ca11cd82d90c97f6553f23d,,,Driar,,,v0.05,2003,"Adolfsson, Stefan | Eriksson, David",@,@,@,@,@,@,@,@,@,@,@,,,
"Sega Chess",,04bfc7a071ed6a73ac3218ae24274807cb0e9ebd,,,,,,,1991,Sega,eu-us,?,,,,es,,,,,@,,,
