"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Public Domain",,000404db816c8e52addaa56ffa3eba5c78267304,,,Moonbase,,,v0.06,,,,b,,,,,,,,,,,,
"Ranger X",,0006f55e826148cff9e717b582a39a04adf100df,,,Ex-Ranza,,,,1993/05/28,Sega,jp,,,,,,,,,,,,,
@,,00095cf1d68636e8b7a3bc89b40b8a9de0e1b789,,,"The Jungle Book",,"Jungle Book",,1994/07,"Virgin Interactive",eu,,,"NTSC GhostlyDark",,,,,,,,,,
"Batman: Revenge of the Joker",,000bab35fcdec0ed942ddd88f59cda50920306c7,,,,,,,1992/11,Sunsoft,us,,,,,,,,,3,,,,
"Wolf Child",,000d45769e7e9f72f665e160910ba9fb79eec43f,,,,,,,1993/03,JVC,us,,,,,,,,,,,,,
"Steel Empire",,00109e6de5b823525b3ba519222fecc4e229f6d1,,,,,,Beta,1992/06,"Flying Edge","eu,us",,,,,,,,,,,,,
"Virtua Fighter 2",,0011ffe4a310c55fa1e6ffc5ba03b0152422c85f,,,,,,vRev1,1997/01,Sega,"eu,us",b,,,,,,,,,,,,
"Landstalker: Treasures of King Nole",,0013199c0f69cdf865709590cf6bc76fdf372660,,,"Landstalker: Le Tresor du Roi Nole",,"Landstalker - Tresor du Roi Nole",,,,fr,,,1,,,,,,,,,,
"College Football's National Championship",,00192b636d269997e102324e0a09e4883b263aeb,,,,,,,,,us,b,,,,,,,,,,,,
@,,001986534f0b1a5bb633b4deca748e8f5ee4d8e1,,,"Super Real Basketball",,,,1991/03,Sega,eu,,,"NTSC GhostlyDark",,,,,,,,,,
"Bill Walsh College Football",,003004b118fe236d68c2568bdf236f23157f90f5,,,,,,,,,ue,,,,,,,,,h1C,,,,
@,,0039b1bb5dc4d670a352055eb587a26149c21b24,,,"Shadowrun Conversion Mod",,,v2.2,2009/08/06,Magus77,,,,,,,,,,Shadowrun,,,,
"Bulls versus Lakers and the NBA Playoffs",,003b01282aff14ccea9390551aba5ac4a9e53825,,,"NBA Pro Basketball: Bulls vs Lakers",,,,1993/04/02,"Electronic Arts Victor",jp,,,,,,,,,,,,,
"Crue Ball: Heavy Metal Pinball",,004f101aef624cf55bd926c6cd650d30b9a6dc94,,,,,,Beta,1992,"Electronic Arts","eu,us",,,,,,,,,1,,,,
"Budokan: Martial Spirit",,004f3d6f333795315a072f3f0661ce4e5e91a4ae,,,,,,,1990/12,"Electronic Arts",eu,,,,,,,,,,,,,
"Splatterhouse 2",,005440fcd18e850e0ad7c70eeaba13f049204a39,,,,,,,1992/07,Namco,us,,,,2,,,,,,,,,
@,,005f27f6a12ac7b899b1a070e0527fdd26161a1c,,,Cadash,,,,1992/05,Taito,"kr,us",,,,,,,,,"arcade colors Tor Landeel",,,,
"Dragon's Eye: Shanghai 3",,0074fa6420dd60d3e3f18dbaf3787fe14b74290e,,,,,,,,,jp,,,,,,,,,h2C,,,,
"Triple Play: Gold Edition",,007bee242384db1887c5831657470584ff77a163,,,,,,,1996,"Electronic Arts",us,,,,,,,,,,,,,
"Battle Squadron",,0086ac41a4f4eaef54ba40de4e2871ccc6dda35f,,,,,,,,,ue,,,,,,,,,h2C,,,,
"Krusty's Super Funhouse",,008f070543db7bf704647e227fbb945295b96f0d,,,,,,vRev00,,,ue,,,,,,,,,h2C,,,,
