"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"0005708885e0826e82100c07fce16c979966edc3","@","@","Buran","@","","","1990","OMK Software","es","","","","","","","","",""
"@",,"00092cef4f466138bcd2281cbb616c6efee2a6d9","@","@","MSX Mania Collection: Disk 015","@","","","19xx","@","@","","","","","","","","",""
"@",,"000de8d8beb44c7a945a8271a4c9c3e7b89a4767","@","@","Master de Sonido: Konami","@","","","19xx","Martos","@","","[SCC]","","","","","","",""
"@",,"001f41edac83743068e5003eca6a0774e5637760","@","@","Race City","@","","","1988","Iber Soft","es","","[RUN'CAS-']","","","","","","",""
"@",,"0029860fff04a811b90124116d0ba10c882f3251","@","@","Budokan","@","","(Side A)","1991","Dro Soft","es","","[RUN'CAS-']","","","","","","",""
"@",,"0039cff292fe740d8c87cc2131a473cbb4f8c4f4","@","@","Koneko no Daibouken. Kitty's Great Adventure. Catboy","@","","","1986","Casio","jp","","","","","","","","",""
"@",,"003d58988d120823c84f6617326f5df83c7e5131","@","@","Yie Ar Kung-Fu","@","","","1985","Konami","jp","","[SCC]; [RC-725]","","","","","","",""
"@",,"00436f56e9fda6b2a67fee28ee94398c02308e8b","@","@","Northsea","@","","","1987","Aackosoft","nl","","","","","","","","",""
"@",,"005e183977f64ce641355353c0d1e26caff9c1d3","@","@","Super Cassette: Licht Krant","@","","","1985","Salasan","nl","","[CLOAD + RUN]","","","","","","",""
"@",,"0063ac510a5d0485b7e5b2dd26aa15e76232e66d","@","@","MSX Mania Collection: Disk 106","@","","","19xx","@","@","","","","","","","","",""
"@",,"0063c50f16ffc26a4e29af0e37df48650515526d","@","@","Blow Up","@","","","1988","Eurosoft","nl","","","","","","","Crazy Boss","",""
"@",,"00690bb52dc10c45f450ef381d57f8487446cd2e","@","@","Phantomas 2","@","","","1987","Dinamic Software","es","","","","","","","","",""
"@",,"0071b2eb214ff002dbbb7532653585b35b56f243","@","@","City Connection","@","","","1986","Jaleco","jp","","","","","","","","",""
"@",,"008e9b1447b7f321aa1f1b4ddf8e0ac0fd62c771","@","@","The Black Onyx","@","Black Onyx, The","Language jp","1986","Prosoft","kr","","","","","","","","",""
"@",,"00994335bddd9b704a5a96a76ad24e9f6732b468","@","@","Music Studio G7","@","","","1985","Sony","jp","","","","","","","","",""
"@",,"0099492bd11dfa3ddf87af3aeb4c92b29f78bd82","@","@","Konami's Game Master II","@","","","1988","Konami","jp","a","a 2; [RC-755]","","","","","","",""
"@",,"00a13582baf7bdb4caeca1b5d75a14d4e1af0925","@","@","The Tower of Druaga","@","Tower of Druaga, The","","1984","Namcot","jp","","","","","","","","",""
"@",,"00c200806b73034d995655359f0ee1b01f71e10b","@","@","Turbo Pack C: Heli","@","","","1987","Philips","nl","","","","","","","","",""
"@",,"00db7d0314901e22a02526edcf6ac68ff8b95b95","@","@","Dog Fighter","@","","","1986","Kuma Computers","gb","","","","","","","","",""
"@",,"00ed3b9f38807f820784e7112d1f1486d4bb4e01","@","@","Strangeloop","@","","","1987","Nippon Dexter","jp","","","","","","","","",""
"@",,"0108e2d19661c99781cb605c57199c4c55ed4637","@","@","Cubos Malucos","@","","","1987","Valle Paiva","br","","","","","","","","",""
"@",,"010d5f325fc38c5b590841d15ce4f07d59f2a4cb","@","@","Tenshidachi no Gogo. Afternoon Angels","@","","","1987","Jast","jp","","","","","","","","",""
"@",,"0111ddfc5fe9691fcfe7723585faf0482db6ae7d","@","@","Star Avenger","@","","","1984","Kuma Computers","gb","","","","","","","","",""
"@",,"011617e0d41ea74339b8d1631b220e7358ad9c8a","@","@","MSX Games: Issue 02: Bob 007: Infiltrado","@","","","1986","Grupo de Trabajo Software","es","","","","","","","","",""
"@",,"011a1828bb00b53f7883fb520e7e95ed96507a55","@","@","Escalador","@","","","1985","EMSA","es","","","","","","","","",""
"@",,"0125bce373c95ee78df074d19ad032158edc74a2","@","@","Ninjya Kage","@","","","1984","Hudson Soft","jp","","","","","","","","",""
"@",,"0136924f5801d67d83cd974742a93c3b5d44df5f","@","@","Italia '90: World Cup Soccer","@","","","1989","Dro Soft","es","","","","","","","","","MSX Files"
"@",,"0149d516aeee9b3943b06c54b48a853670f27fb4","@","@","Ke Rulen los Petas","@","","","1989","Iber Soft","es","b","b 1; [BLOAD'CAS-',R]","","","","","","",""
"@",,"01544042b810c0b401fce5d180adb6fea9b5ed20","@","@","Mr. Do! vs Unicorns","@","","","1984","Sony","jp","","","","","","","","",""
"@",,"016c889cbbe013fa90b31df15590083471941924","@","@","New Program MSX: Issue 17B: Dexoiz","@","","","1989","S.I.P.E.","it","","[RUN'CAS-']","","","","","","",""
"@",,"01723315d90b871ca57e7ab748701c943d1dd6f3","@","@","Damas","@","","","1985","DIMensionNEW","es","","[RUN'CAS-']","","","","","","",""
"@",,"01788f6238dc934fbc843aab85fdc0581ed96989","@","@","Video Hustler. Konami's Billiards","@","","","1984","Konami","jp","o","o 3; [RC-706]","","","","","","",""
"@",,"01b506cfecb366f7e00bcabb717e86e8974c02a2","@","@","Buru to Marty Kikiippatsu. Inspecteur Z","@","","","1986","HAL Laboratory","jp","","","","","","","","",""
"@",,"01b5be5c17b2765ff60e239d1f5ea3543b7dc1a0","@","@","El Descubrimiento de America","@","Descubrimiento de America, El","","1986","OMK Software","es","","","","","","","","",""
"@",,"01c135c6f5218f9319790f334e8f4d87a3c32ca1","@","@","Silent Shadow","@","","","1988","Topo Soft","es","","","","","","","","",""
"@",,"01cf858888f5a0d3aee08f42a66c515ab0d06400","@","@","BASIC Nyuumon II. BASIC Lessons II","@","","","1985","Casio","jp","","","","","","","","",""
"@",,"01d9bfcce1e5ca64f38f3a768eb14cc94c4db394","@","@","Trailblazer","@","","","1986","Gremlin Graphics Software","gb","","[BLOAD'CAS-',R]","","","","","","",""
"@",,"01ebdd5981c4841abddf6f76eb1f73e237e7688f","@","@","Tomboyish Becky's Large Adventure","@","","","1983","MIA","jp","","","","","","","","",""
"@",,"02249f0de5a882d7f9e73bd6d90d469fefc95dde","@","@","Mole Mole 2","@","","","1987","Victor","jp","","","","","pt Metalsoft","","","",""
"@",,"0227e4a4aa7b5e58df537beffc62e09cc2a04d5f","@","@","Averno","@","","","1989","Proein Soft Line","es","","","","","","","","",""
"@",,"02374c3b3be46cddd35056a813f687a34927792f","@","@","Hollywood Hijinx","@","","","1986","Infocom","us","","","","","","","","",""
"@",,"02433af04a682f81a30bc4aa30762a35bd3418ba","@","@","Coliseum","@","","","1988","Topo Soft","es","","","","","","","","",""
"@",,"025a6a5e0658f80ba027d831750f07a9a10ecb52","@","@","Indian no Bouken. Indian's Adventure","@","","","1984","Hudson Soft","jp","","","","","","","","",""
"@",,"0269d57c672e5279fa6ff40a526fd59404dfc39a","@","@","Coliseum","@","","","1988","Topo Soft","es","a","a 1","","","","","","",""
"@",,"0269dd19417d584c527f2fbe940d798d33d5657d","@","@","Aspar GP Master","@","","","1988","Dinamic Software","es","a","a 3; [RUN'CAS-']; [Martos]","","","","","","",""
"@",,"02714600f7828fec23348e7a76af4b5bb87c5e61","@","@","The Untouchables","@","Untouchables, The","(Side A)","1989","Erbe Software","es","","[RUN'CAS-']","","","","","","",""
"@",,"02806a531389b8f2b04802cc3b03e67a31237439","@","@","Super Cassette: Lint","@","","","1985","Salasan","nl","","[CLOAD + RUN]","","","","","","",""
"@",,"0285208600a62d3bbaefbaf2a4d4c47d5893f44b","@","@","Jagur","@","","","1987","Hudson Soft","jp","","","","","","","","",""
"@",,"02a2fafc7b9249db76803ece347ba73be25f71b5","@","@","Issunhoushi no Donnamondai. Little Samurai","@","","","1987","Casio","jp","","","","","","","","",""
"@",,"02ac390ba801b2b5027581222aac839c24e8d1f9","@","@","MSX Mania Collection: Disk 067","@","","","19xx","@","@","","","","","","","","",""
"@",,"02df68dfb60701c4d35eead377aa006394516c4d","@","@","Power Drift","@","","(Side B)","1989","Activision","us","","[RUN'CAS-']","","","","","","",""
"@",,"02e19a7e36a92a3bcfef4207289624ef04276f75","@","@","King Size: 50 Games in One Pack: The Horseraces","@","","","1986","Robtek Software","gb","","[CLOAD + RUN]","","","","","","",""
"@",,"02edd0a9dcca97580b4ded364defb390a86f4b4b","@","@","Captain Cosmo","@","","","1984","ASCII","jp","","","","","","","","",""
"@",,"02f3f9a712df1625176eaa0c790b493926c616d7","@","@","Mountain Bike Racer","@","","","1990","Positive","es","","","","","","","","",""
"@",,"0306181bb8babbc215e8c5066c1f490719541665","@","@","Soukoban Pocket Edition","@","","","2004","Karoshi","@","","[RK704]","","","","","","",""
"@",,"031a611ba1f75b7d5fe3ed088a61c24598b4b314","@","@","Golgo 13: Okami no Su","@","","","1986","Pony Canyon","jp","","","","","","","","",""
"@",,"031d5a8923c7eb7e233ec578398247e92b33eed9","@","@","Track & Field 1. Hyper Olympic 1","@","","","1984","Konami","jp","","","","","","","","",""
"@",,"032cb1c1c75b9a191fa1230978971698d9d2a17f","@","@","MSX-DOS","@","","v 2.2; (Disk 1 of 8)","1984","Microsoft","us","","[0]","1","","","","","",""
"@",,"03324599e07f35f8af85d9d33294437cad183d5f","@","@","Dragon Ninja","@","","(Side B)","1988","Imagine Software","gb","","[RUN'CAS-']","","","","","","",""
"@",,"0335a502ad8b5c77b90b3ee6a6cfc7b402b69eef","@","@","Eagle Fighter","@","","","1985","Casio","jp","","","","","","","","",""
"@",,"0348f1758daa118ebaf2bc593ff9a0a622fc89e8","@","@","Super Snake","@","","","1983","HAL Laboratory","jp","a","a 1","","","","","","",""
"@",,"035f61f4a628222f4ff26bc32c1bd1009735049f","@","@","Turbo 5000","@","","(NL)","1987","Robtek Software","gb","","","","","","","","",""
"@",,"036ad083ed0f9ee2c5eb0972f249b78a4fe98a1f","@","@","PanelPan","@","","","19xx","Eaglesoft","nl","","","","","","","","",""
"@",,"038efee2ac1767f82a051df85ba4ea7ef08ecffc","@","@","Scramble Spirits","@","","(Side A)","1990","Grandslam Entertainments","gb","a","a 1; [BLOAD'CAS-',R]","","","","","","",""
"@",,"03a4938c95820f8d72cc37c4fa51b5662add9b35","@","@","MSX Mania Collection: Disk 051","@","","","19xx","@","@","","","","","","","","",""
"@",,"03b2d0777b1b415779c25b965538520b4477a52a","@","@","Tensai Rabbian Daifunsen","@","","","1986","Toshiba-EMI","jp","","","","","","","","",""
"@",,"03b42b77b1a7412f1d7bd0998cf8f2f003f77d0a","@","@","Monogatari Megami Tensei. Digital Devil Story","@","","","1987","Telenet Japan","jp","","","","","","","","",""
"@",,"03b80134729235c0febc77becf353a7fd294ad32","@","@","Disk Mechanic","@","","v 2.0","1990","Discovery Informatica","br","","","","","","","","",""
"@",,"03bed39a3c36079eb73a7114a5532e5ee0230fba","@","@","Kubus","@","","","1985","Kuma Computers","gb","","","","","","","","",""
"@",,"03c465a271f2b83a67a1a086df9b318856f1ab8e","@","@","Aliens","@","","","1987","Mr. Micro","gb","","","","","","","","",""
"@",,"03f112b38fb1d05a9b0b50d3c6a54aa2ce9dd2b0","@","@","Super Bubble Bobble","@","","","1988","Zemina","kr","","","","","","","","",""
"@",,"03f4528150dad25ac8f6fcc54410a2c58ee7a581","@","@","Hyperball","@","","","1985","Mind Games Espana","es","","","","","","","Damian Roman","",""
"@",,"0400bf9fcebf76ead52a702a00b51eef991f730a","@","@","Aquapolis SOS","@","","","1983","General","jp","","","","","","","Sammi","",""
"@",,"04097143729e26b20b28d9fcbe49f5449e0a3351","@","@","Jewels of Darkness I: Colossal Adventure","@","","v 2","1986","Level 9 Computing","gb","","[RUN'CAS-']","","","","","","",""
"@",,"040cd316480a42ee2b4daae68112bf6709a3ce0e","@","@","Contabilidad 1","@","","","1988","Mind Games Espana","es","a","a 1; [CLOAD + RUN]","","","","","","",""
"@",,"0413bb3aeacb0c28429b8c85b42796dbe48bef6d","@","@","Gofer no Yabou Episode II. Nemesis 3: The Eve of Destruction","@","","","1988","Konami","jp","a","a 2; [RC-764]","","","","","","",""
"@",,"0421a25aff3ae300b2a4536dd0aa5fa924e7dd72","@","@","Lode Runner","@","","","1984","Sony","jp","a","a 1","","","","","","",""
"@",,"04283ae02107917da6f54a0f38d3a28254f7ab69","@","@","Boggy '84","@","","","1984","Nippon Columbia - Colpax - Universal","@","a","a 2","","","","","","",""
"@",,"0430c4c5003be750a220888a62a27f7bb42a7bed","@","@","Mil Caras","@","","","1985","Idealogic","es","","","","","","","","",""
"@",,"04325bfe5bc20a8f6d086933d138fb92ca200111","@","@","B.C.'s Quest for Tires II: Grog's Revenge","@","","","1985","Comptiq","jp","","","","","","","","",""
"@",,"0433c8cdf3ba57f8eb860df2655918af3a5cec2e","@","@","Passing Shot","@","","","1989","Image Works","gb","","","","","","","","",""
"@",,"043942f3372a9ba4ea2cbd2f7d0b6580c9b68fcf","@","@","MSX Mania Collection: Disk 075","@","","","19xx","@","@","","","","","","","","",""
"@",,"04396d52f28524d8d2439f34dbd81cc20b5a6ab7","@","@","Copion de Cartuchos 32k","@","","","19xx","Pyramid Soft","es","","","","","","","","",""
"@",,"0442dd29ea0f7b78c9cd5849ec7ef5bb21ec0bf5","@","@","The Light Corridor","@","Light Corridor, The","","1990","Infogrames","fr","","","","","","","","",""
"@",,"04500878b7f4011203379970f29de4e7d80bd258","@","@","UNPack","@","","v 1.0","1994","PGN","@","","","","","","","","",""
