"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"001d5aa958b1d16529e58ecf1822733a5131d51f","@","@","Song Player: Secret Agent Man","@","","Copyright Public Domain","1999","@","@","","","","","","","","",""
"@",,"009683f3a40adbdd97b7256d64614feff12469ae","@","@","Adventure -AD&D- Cloudy Mountain","@","","","1982","Mattel","@","","","","","","","","",""
"@",,"0096a526216b08156eaae9a614b69d776a9fc7c1","@","@","Pac-Man","@","","","2010/08/08","DZ-Jay","@","","[Input Test]","","","","","","",""
"@",,"02e91fd544bca504799d82f1e65a9db920033e4b","@","@","Eggs N Eyes","@","","Copyright Public Domain","1997","@","@","","","","","","","","",""
"@",,"03170f3ca8dee8aa785259126eddb006d8cfa6e0","@","@","Song Player: Creep","@","","Copyright Public Domain","1999","@","@","","","","","","","","",""
"@",,"04466e0ab547fa559d773e58981ccd2e2d026666","@","@","Pac-Man","@","","","2010/09/19","DZ-Jay","@","","","","","","","","",""
"@",,"08454a5f7b44730aa8249623785dd7a6471ab98f","@","@","Lock 'N' Chase","@","","","1982","Mattel","@","a","a 2","","","","","","",""
"@",,"08c97d4e23b8033d9437241c1f4d8a1486d1e9ea","@","@","Super Pro Football","@","","","1986","Intv Corp","@","","","","","","","","",""
"@",,"094b207668c03a6d903270490f495ddc237cd8d7","@","@","Atlantis","@","","","1981","Imagic","@","","","","","","","","",""
"@",,"09be21f691ec08d4ef3a33867d6f7232c0fa7556","@","@","Warp 4 Demo","@","","","20xx","Chevallier, Arnauld","@","","","","","","","","",""
"@",,"0a0230a5c06f3593d683458aec3d81654904f16d","@","@","Sharp Shot","@","","","1982","Mattel","@","","","","","","","","",""
"@",,"0b53bb03d25c345657baa388478aa8df94026c33","@","@","Royal Dealer","@","","","1981","Mattel","@","","","","","","","","",""
"@",,"109e0a05e73239962ded327827c7957960802744","@","@","Motocross","@","","","1982","Mattel","@","","","","","","","","",""
"@",,"12895e3e9ce094e393fe996383be1d48ba5be77f","@","@","Brickout!","@","","","1981","Mattel","@","","","","","","","","",""
"@",,"12a96e4111082f1cf5bee27f850f28e20009681b","@","@","Tutankham","@","","","1983","Parker Bros","@","","","","","","","","",""
"@",,"134af61bc7b06489d35a7474f8a29ef80db6f332","@","@","Learning Fun II: Word Wizard Memory Fun","@","","","1987","Intv Corp","@","","","","","","","","",""
"@",,"1390f0076470504037720b20f84404d502988231","@","@","Microsurgeon","@","","","1982","Imagic","@","","","","","","","","",""
"@",,"13aa104e884701d74e144b85b9583579d1980e80","@","@","Carnival","@","","","1982","Coleco-CBS","@","","","","","","","","",""
"@",,"13e321593daf93c2e3e964a05e43e4bb21da6ea6","@","@","Night Stalker","@","","","1982","Mattel","@","","","","","","","","",""
"@",,"14d4a6a21674db28eae7275bc6082a41e0aa29c9","@","@","IntvWolf: Beta 1","@","","(beta)","2003","Chevallier, Arnauld","@","a","a 1","","","","","","",""
"@",,"1744dd7db17b715cd2ef1c1b315d412ea6e20163","@","@","Intellivision: Intelligent Television Demo #5932 Revised","@","","","1978","Mattel","@","","","","","","","","",""
"@",,"175f860c164e3aec12944bb30da59741de0a621f","@","@","Super Cobra","@","","","1983","Parker Brothers","@","a","a 1","","","","","","",""
"@",,"17c37fbc5ff14c55931ae27e21603dff3db66dbe","@","@","Star Strike","@","","","1981","Mattel","@","","","","","","","","",""
"@",,"17d7b63a9bd07ad2165b2df64564821bf9edc54e","@","@","Pac-Man","@","","","2010","DZ-Jay","@","","","","oggle test","","","","",""
"@",,"1a8c0476103284237aa3585424d26c61fe31e423","@","@","Pac-Man","@","","","2010/09/06","DZ-Jay","@","","","","","","","","",""
"@",,"1b6fd19e745e50e8ea679bd5adfb719d1f276bc5","@","@","Beauty and the Beast","@","","","1982","Imagic","@","","","","","","","","",""
"@",,"1cf301a48856cff7ac5e2162889fd0f3956d911c","@","@","Minotaur","@","","","1981","Mattel","@","","","","","","","","",""
"@",,"1f4087be2c0a51ed08e49e6498794a9d26dc0d65","@","@","Pitfall!","@","","","1982","Activision","@","","","","","","","","",""
"@",,"1faa1d401bc7484492f3e1de433ed73019cbb5b5","@","@","BeamRider","@","","","1983","Activision","@","","","","","","","","",""
