"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"0011ed24adf2f5232a9ef1c5724bcc208a60e26c","@","@","ScummVM-N64","@","","v 1.6.0-kyra; Copyright Public Domain","2013","ScummVM Team","@","","","","","","","","",""
"@",,"0022386bd3e0959df11108b9205d94bcfc924224","@","@","Star Fox 64","@","","v rev0","1997","Nintendo","jp","b","b 3","","","","","","",""
"@",,"00468d7f707625af12ee106f3f4b0d276b116eba","@","@","F-1 World Grand Prix","@","","","1998","Paradigm Entertainment - Video System","de","","","","","","","","","1"
"@",,"009511834d453e6a152a03846dcb818c838e2654","@","@","V-Rally Edition 99","@","","","1998","Infogrames","eu","","","","","","","","","1"
"@",,"00b8440a8ad71d9a1e21895311426c1ad1dc82e6","@","@","ScummVM-N64","@","","v 1.5.0-agos; Copyright Public Domain","2012","ScummVM Team","@","","","","","","","","",""
"@",,"00da4cc08c5a35bfd165ecd8f266f588664a4d7a","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","25"
"@",,"00e594fa64da61c2ad3138a31a22b9854bb3fafa","@","@","Army Men: Sarge's Heroes","@","","","1999","3DO","eu","","","","","","","","",""
"@",,"00e5a9605092fed9e803f1580d5e54d032bc3504","@","@","Pokemon Snap","@","","","1999","HAL Laboratory - Nintendo","au","","","","","","","","","1"
"@",,"00f362d7c1e2fb0da89f486c624d447d1973034d","@","@","NFL Blitz","@","","","1997","Midway","us","","","","","","","","","1"
"@",,"00fe641d1d28455c4107cd314e681938f3fe8b9e","@","@","Armorines: Project S.W.A.R.M.","@","","","1999","Acclaim","us","","","","","","","","","1"
"@",,"010f65015fd0a05b25b25c5a8dde00fc0d8d9673","@","@","Nushi Zuri 64","@","","v rev0","1998","Pack-In-Video","jp","b","b 4","","","","","","",""
"@",,"011bdbaa1bc6d6a5540a749cf1a90bf6a35fd94b","@","@","Fighting Cup","@","","Language en,ja","1998","Imagineer - Genki","jp","","","","","","","","",""
"@",,"01463289d47b99acace8ef860216da16cc216678","@","@","Mr. Backup Z64 BIOS","@","","v 2.17","1999","Mr. Backup","@","","","","","","","","","5"
"@",,"014f65ca809e85fcfed8070851f4bad7fae74e37","@","@","F1 Pole Position 64","@","","","1997","Human - Ubisoft","us","b","b 1","","","","","","",""
"@",,"015bf0e0bc700a80a2606d3578e4a9b7645e99ec","@","@","Indy Racing 2000","@","","","2000","Infogrames","us","","","","","","","","",""
"@",,"0179d423a209a8407eb839722e3204890ce6bd21","@","@","Paper Mario","@","","","2001","Nintendo","us","","","","","zh","","","",""
"@",,"017ccf695d633738b86db3ffc7786a7b73604fec","@","@","Beetle Adventure Racing","@","","","1999","Electronic Arts","us","b","b 1","","","","","","",""
"@",,"019d0b6fa2ccaaf05ab9d7fe66eea8e132345456","@","@","Shadowgate 64: Trials of the Four Towers","@","","","1999","Kemco","jp","b","b 2","","","","","","",""
"@",,"01b0a31b1accc18061e8c85f6c5edf0dbd79f097","@","@","Rush 2: Extreme Racing USA","@","","","1998","Atari - Midway","us","","","","","","","","",""
"@",,"01b0cc8b89055db65c22694c0fe1b6d8e79cee62","@","@","Star Wars: Rogue Squadron","@","","v rev0","1998","LucasArts","us","","","","","","","","","1"
"@",,"01cf4446f2c27aa3ea9aba4fd33cbeb393e5620d","@","@","Mr. Backup Z64 BIOS","@","","v 2.00","1998","Mr. Backup","@","","","","","","","","","1"
"@",,"01d010297d345e191d4d8f6f8b4a5d1e00d88429","@","@","ScummVM-N64","@","","v 1.4.1-scumm; Copyright Public Domain","2012","ScummVM Team","@","","","","","","","","",""
"@",,"01d46d34010a055ac26b3fab997d1ac46ef73b11","@","@","Rakuga Kids","@","","Language en","1998","Konami","eu","","","","","","","","","1"
"@",,"01d9497ea0e1f68ae285b8c7a57439b42b7d9a56","@","@","Buck Bumble","@","","","1998","Argonaut - Ubisoft","us","","","","","","","","",""
"@",,"01e50f41733994bf229bee3b3d8aa9fd46441175","@","@","Bomberman 64","@","","Language en","1997","Hudson","eu","","","","","","","","",""
"@",,"02044bea226783bf4048f3ff8df63c62d82d5bfb","@","@","AeroGauge","@","","","1998","ASCII - Locomotive","us","","","","","","","","","3"
"@",,"0227d7c0074f2d0ac935631990da8ec5914597b4","@","@","Legend of Zelda, The: Ocarina of Time","@","","","2003","Nintendo","eu","","[Nintendo GameCube]","","","","","","",""
"@",,"02310067defd4c7eac235dff5e71ef0566ce916c","@","@","Olympic Hockey Nagano 98","@","","","1998","Atari","us","","","","","","","","",""
"@",,"0235e5ade3d44f19a76591e1b094aa40af03a93a","@","@","Retroactive 64drive Menu","@","","v 1.08; Copyright Public Domain","2012","Retroactive","@","b","b 1","","","","","","",""
"@",,"0253c33355986ddda18a7a72b81b91ddc1bed978","@","@","AeroGauge","@","","Demo kiosk; Language en","1997","ASCII - Locomotive","jp","","","","","","","","",""
"@",,"025424f1a7b95f38f4a6cf3c266714ffbf724b2c","@","@","Doraemon: Nobita to Mittsu no Seirei Ishi","@","","","1997","Epoch","jp","b","b 1","","","","","","",""
"@",,"0265e155194a853ffc95230f7d6efd50e6db3f52","@","@","Mario Kart 64","@","","","1996","Nintendo","us","b","b 3","","","","","","",""
"@",,"0278c3f9b2780890c4c2a3ee8a10c550a1eda346","@","@","Daikatana","@","","","2000","Ion Storm - Kemco","eu","","","","","","","","",""
"@",,"0282f6497f6ab5f341c23df3cffeb15e30fb282f","@","@","F-Zero X","@","","","1998","Nintendo","us","","","","","","","","","20"
"@",,"0287c51af8b969702b88bc65c66edae8d3533cd8","@","@","Mario Golf 64","@","","v rev0","1999","Nintendo - Camelot Software Planning","jp","b","b 3","","","","","","",""
"@",,"02924d963d214102cb723b0e54c901968aa51a1f","@","@","Jikkyou Powerful Pro Yakyuu 6","@","","v rev0","1999","Konami","jp","","","","","","","","",""
"@",,"029923421684703a1cac8e7e28981099a239e8d9","@","@","Neo N64 Myth Menu","@","","v 1.5SD; Copyright Public Domain","2010","NeoTeam","@","","","","","","","","",""
"@",,"02a566477a3d4f8147a61543780976394d9d3820","@","@","AeroGauge","@","","Demo kiosk; Language en","1997","ASCII - Locomotive","jp","b","b 3","","","","","","",""
"@",,"02b21a0c7b8d0db0e0ae041e93ce77812913bab6","@","@","NBA Jam 99","@","","Language en","1998","Acclaim","eu","","","","","","","","","1"
"@",,"02c05af24879b9d621e9a3dc4593da48e91de84f","@","@","Telefoot Soccer 2000","@","","","1999","South Peak","fr","","","","","","","","","1"
"@",,"02c6fe6b9e679974f709e46d3fd8f53445535edb","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","217"
"@",,"02f4b4fa430c0314292a0118702919e7c729c377","@","@","Wet Dreams: Readme","@","","Copyright Public Domain","1999","Immortal","@","","","","","","","","",""
"@",,"02fd7cae7c6dc9a4e8398a151db5756fd489be1c","@","@","Super Mario 64","@","","","1996","Nintendo","us","b","b 4","","","","","","",""
"@",,"030c934d9b50c21507a5ced76e3ee658700540d5","@","@","F-Zero X","@","","","1998","Nintendo","jp","b","b 3","","","","","","",""
"@",,"03172daaa5a5767742c6fb331e1cf91324c264c1","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","169"
"@",,"03257c820b7705400c32bde1bcc3161c55814605","@","@","Hoshi no Kirby 64","@","","v rev3","2000","HAL Laboratory - Nintendo","jp","","","","","","","","",""
"@",,"0329069c753ecad12fa20d78fbf1131cb58d09a2","@","@","Action Replay Professional 64","@","","v 3.0","1999","Datel","@","","","","","","","","","1"
