"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"003a90c031e1d1b89ca928103933c66640331979","@","@","Home on the Range","@","","","2004","Disney","eu","!","","","","","","","",""
"@",,"0091fbfa03c436fbaf8021bd33cf58b7925db59a","@","@","Mind Departure","@","","Copyright Public Domain","2012","La Paz - Up Rough","@","","","","","","","","",""
"@",,"044713bea5245ee6e31b8ec4744c0696f79b30d0","@","@","ZooCube","@","","","2002","Acclaim - PuzzleKings","us","","","","","","","","",""
"@",,"045be1369964f141009f3701839ec0a8dccb25c1","@","@","Yoshi's Universal Gravitation","@","","","2005","Nintendo","eu","","","","","","","","",""
"@",,"0734be2fe17d9ef5ede88e0a14cd194656aa23d8","@","@","Yu-Gi-Oh!: Ultimate Masters Edition: World Championship Tournament 2006","@","","","2006","Konami","eu","","","","","","","","",""
"@",,"08b1d2aa6b37d76d2b19688d01aca778aa6e7f26","@","@","Zapper","@","","","2002","Infogrames","eu","","","","","","","","",""
"@",,"08f3609b5c3988c4f716991b840439af5920fe9e","@","@","Dungeons & Dragons: Eye of the Beholder","@","","","2002","Infogrames","eu","!","","","","","","","",""
"@",,"0987705399dcf0d8b5b2f40b46919ad3d198027b","@","@","Need for Speed: Most Wanted","@","","","2005","Electronic Arts","eu","!","","","","","","","",""
"@",,"0a872e8131f8dd36ac94d500e6ae9bfd02181efc","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev0; Language en,ja","2004","Konami","jp","","","","","","","","","5"
"@",,"0cbf8a3165ef1fa9cfbba1dd1ee7274525424b67","@","@","Yu-Gi-Oh!: The Eternal Duelist Soul","@","","","2002","Konami","us","","","","","","","","","2"
"@",,"0da4ff24b61ae8b6d67ef59377770fd958517f2f","@","@","Worms Blast","@","","","2002","Team17 - Ubisoft","eu","","","","","","","","",""
"@",,"0ddeacc1523a54e849631481a81c15df85404455","@","@","Calculator Advance","@","","v 1.0; Copyright Public Domain","2005","Pierce, Patrick - Ulrich, Harrison","@","","","","","","","","",""
"@",,"0e8a1f95250775fc446f874b1324fee896051424","@","@","ZooCube","@","","","2002","Acclaim - PuzzleKings","eu","","","","","","","","","1"
"@",,"0fa1add609ab68d5e7a0e4dbcc992ab6a8766430","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev0; Language en,ja","2004","Konami","jp","","","","","","","","","2"
"@",,"1067cb5f687734713bca5d1e2afbbbcb1a51c575","@","@","Zero One SP","@","","","2004","Fuuki","jp","","","","","","","","","2"
"@",,"14870fc25affa81144e033b2a78ae0dbb1fdb49a","@","@","Legend of Zelda, The: Fushigi no Boushi","@","","","2004","Nintendo","jp","a","a 3","","","zh","","","",""
"@",,"14a5e70e05bca849695190833d1b107799ceb58d","@","@","Yu-Gi-Oh!: The Sacred Cards + Yu-Gi-Oh!: Reshef of Destruction","@","","","2006","Konami","eu","","","","","","","","",""
"@",,"1561c4e1f4ab945299f2dfb5bb7df532ec4d4067","@","@","Zapper","@","","","2002","Infogrames","us","","","","","","","","",""
"@",,"16f67cfd72702c617f940a58a26f75b5cb775858","@","@","Zapper","@","","","2002","Infogrames","us","","","","","","","","","2"
"@",,"17083c89f9dd84089f2a4cd8953a4e542d691e81","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev1; Language en,ja","2004","Konami","jp","","","","","","","","","5"
"@",,"179523e4c6da0dc050626ac69862f2a6e880f70d","@","@","Bubble Bobble: Old & New","@","","","2002","Empire","eu","!","","","","","","","",""
"@",,"1839f900e5f2c8a52a4ce160a8c35a572c2d388f","@","@","Zone of the Enders: The Fist of Mars","@","","","2002","Konami","us","","","","","","","","",""
"@",,"1a81843c3070decea4cbca20c4563541400b2437","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev1; Language en,ja","2004","Konami","jp","","","","","","","","",""
"@",,"1d33877dcc5ec94cc0d68460163208c7ebfb6ad3","@","@","Yu-Gi-Oh!: Reshef of Destruction","@","","","2004","Konami","eu","","","","","","","","",""
"@",,"1f1636f66fb7c11d66566caf5f633f65b47cd274","@","@","Yu Yu Hakusho: Spirit Detective","@","","","2003","Atari","us","","","","","vi","","","",""
"@",,"200c4aaae84720f56c8140f7e8d0086292121c4b","@","@","Final Fantasy I & II: Dawn of Souls","@","","","2004","Nintendo - Square Enix","eu","!","","","","","","","",""
"@",,"208e6ebcb567ee88404a6f052d3c351ffc06cc10","@","@","Zatch Bell! Electric Arena","@","","","2005","Bandai - Banpresto","us","","","","1","","","","",""
"@",,"21da535ccfe96fc735592dc25ee4ce0446ffd67a","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev1; Language en,ja","2004","Konami","jp","","","","","","","","","1"
"@",,"231a8c59d10ed12c9ea7a4124942ad3c50f495d7","@","@","Earthworm Jim 2","@","","","2002","Majesco - Vivendi","eu","!","","","","","","","",""
"@",,"2441dcc18125514596c36b7ebc090f3fb3644fdb","@","@","Zone of the Enders: The Fist of Mars","@","","Language en","2002","Konami","eu","","","","","","","","",""
"@",,"260edf2f12976fa67a4c22e1fb2c3ba8bb74d135","@","@","Zoids: Legacy","@","","","2004","Atari - Tomy","us","","","","1","","","","",""
"@",,"280212894b6f5a90bb9d8563c61fecd20739d269","@","@","Zoids Saga II","@","","","2003","Tomy","jp","","","","","zh","","","",""
"@",,"285d82976abefa9bdb1c0454458d419408aeb545","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev0; Language en,ja","2004","Konami","jp","","","","","zh","","","",""
"@",,"2953f982dfacfc7ac93bc216382f413aad674e21","@","@","Zoey 101","@","","Language en","2007","THQ","eu,us","","","","","","","","",""
"@",,"2a9825db34a7aedcfd0a9fae5c7cee50292f03b7","@","@","Yu Yu Hakusho: Spirit Detective","@","","","2003","Atari","us","","","","","","","","",""
"@",,"307798ca71bda7f6b313ff1c18880f22c5a81711","@","@","Breath of Fire II","@","","","2002","Capcom - Ubi Soft","eu","!","","","","","","","",""
"@",,"38226dc5e368e24a05d863f086d3a1e3d225b5e4","@","@","Legend of Zelda, The: Fushigi no Boushi","@","","","2004","Nintendo","jp","","","","","","","","","2"
"@",,"3a7fceffa1405640fe4606e006d272d1af542f2b","@","@","Yu-Gi-Oh!: World Championship Tournament 2004","@","","","2004","Konami","us","","","","","","","","",""
"@",,"3bb7f97ada7d60d8d334b271084effd1db853b32","@","@","Legend of Zelda, The: A Link to the Past: Four Swords","@","","","2003","Nintendo","eu","!","","","","","","","",""
"@",,"3ded1227698fbdb2ba47f03025cd1934fc184b99","@","@","Yu-Gi-Oh!: Dungeon Dice Monsters","@","","","2003","Konami","eu","","","","","","","","",""
"@",,"404edc3d6ef65055b65b7fb4e9622d1fc586edf4","@","@","Worms Blast","@","","","2002","Team17 - Ubisoft","eu","b","b 1","","","","","","",""
"@",,"40d9e41d715ee54d395e02aff153cfc2355e28ab","@","@","Zone of the Enders: The Fist of Mars","@","","","2002","Konami","us","","","","","","","","","1"
"@",,"4178bc2c89187dce127ab64dac2becf99fed0679","@","@","Altered Beast: Guardian of the Realms","@","","","2002","Infogrames - Sega","eu","!","","","","","","","",""
"@",,"41c1d98287ac350a1a673a41fef8e40fdf56c9e2","@","@","Worms Blast","@","","","2002","Team17 - Ubisoft","eu","b","b 2","","","","","","",""
"@",,"42501ed8395dfcc87cc112d20183a9394d0b232f","@","@","Zero One","@","","","2003","Fuuki","jp","","","","","","","","",""
"@",,"460fa2158606097f6e6f63ce966d2d6ecdd58d70","@","@","Zoids: Legacy","@","","","2004","Atari - Tomy","us","","","","","","","","",""
"@",,"4643aa187993460a0e80923dc97532f761e7ae90","@","@","Zapper","@","","","2002","Infogrames","us","","","","","","","","","1"
"@",,"48c85734164d4d83a232b5aca6bb9a2c5b7f5317","@","@","King of Fighters EX, The: NeoBlood","@","","","2002","BigBen - Sammy","eu","!","","","","","","","",""
"@",,"48f9f96375814e0daa58482e38d6bfaa65b83d3f","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev0; Language en,ja","2004","Konami","jp","","","","","","","","","3"
"@",,"4dcf0e28aa68027c378a1fb77070979a2fb9ef42","@","@","Yu-Gi-Oh!: Duel Monsters International: Worldwide Edition","@","","v rev0","2003","Konami","jp","","","","","","","","","3"
"@",,"4fc500bee894edebe3c84569fca2910cb4fad406","@","@","Yu-Gi-Oh!: World Championship Tournament 2004","@","","","2004","Konami","eu","","","","","zh","","","",""
"@",,"4fe552b76843b6555d1a8d6dedc6146a926488cf","@","@","Yu-Gi-Oh!: The Eternal Duelist Soul","@","","","2002","Konami","us","","","","","pt","","","",""
"@",,"510fbba212aca9bab95ea12f8fd933e62ee34dea","@","@","Yu-Gi-Oh!: The Eternal Duelist Soul","@","","","2002","Konami","us","","","","","","","","",""
"@",,"51b166dcca231369d7f98000766746dd4b98839c","@","@","Fire Emblem: The Sacred Stones","@","","","2005","Nintendo","eu","!","","","","","","","",""
"@",,"5203f49c3b372b49dcb5c23f0dcbbb8432336081","@","@","Banjo-Pilot","@","","","2005","THQ","eu","!","","","","","","","",""
"@",,"53d4ae06d1b605f8925c53d6c585478d73ff55c0","@","@","Yu-Gi-Oh!: Worldwide Edition: Stairway to the Destined Duel","@","","","2003","Konami","us","","","","","","","","",""
"@",,"540095380530df18c18cdaa071e5103e8cf18537","@","@","Yu-Gi-Oh!: Worldwide Edition: Stairway to the Destined Duel","@","","","2003","Konami","eu","","","","","","","","","1"
"@",,"54a4dcdeca2ee9a22559eb104b88586386639097","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev0; Language en,ja","2004","Konami","jp","","","","","","","","",""
"@",,"57d6bb789833b62b360072902982d5f1011b3640","@","@","Yu-Gi-Oh!: GX Duel Academy","@","","","2006","Konami","us","","","","","","","","",""
"@",,"58034adf2cf788ed308286090987ca73f807a54f","@","@","Castlevania: Harmony of Dissonance","@","","","2002","Konami","eu","!","","","","","","","",""
"@",,"5c7daf9154d41aa1faac520123ee60735f27e88e","@","@","Legend of Zelda, The: Fushigi no Boushi","@","","","2004","Nintendo","jp","a","a 6","","","zh","","","",""
"@",,"5f47fd6ebd9738c85ac93b9faa0266c8abb26090","@","@","ZooCube","@","","","2002","Acclaim - PuzzleKings","eu","","","","","","","","",""
"@",,"6014ca7c7af931d62634be4baa992a2fe187413f","@","@","Zoids Saga II","@","","","2003","Tomy","jp","","","","","","","","",""
"@",,"60f28391117e308a3a13e2171a2f9dbf80953806","@","@","Zatch Bell! Electric Arena","@","","","2005","Bandai - Banpresto","us","","","","","","","","","2"
"@",,"61e61abf112f15247fbed477206f59da8472ed4f","@","@","Yushun Rhapsody","@","","","2001","Capcom","jp","","","","","","","","","1"
"@",,"64f7bf0f0560f6e94da33b549d3206678b29f557","@","@","Boktai: The Sun is in Your Hand","@","","","2004","Konami","eu","!","[req. solar sensor]","","","","","","",""
"@",,"66dc426b71195c11761f7ce58ffef231e8e227b1","@","@","Yu Yu Hakusho: Spirit Detective","@","","","2005","Atari","eu","","","","","","","","",""
"@",,"6816f044c3f4cac76e888c0ec36dc216e7c140d2","@","@","Yu-Gi-Oh!: Sugoroku no Sugoroku","@","","","2004","Konami","jp","","","","","","","","",""
"@",,"6839254172e558923cde6a912a5ee537eec5fd40","@","@","Dynasty Warriors Advance","@","","","2005","KOEI - Nintendo","us","!","","","","","","","",""
"@",,"6c5404a1effb17f481f352181d0f1c61a2765c5d","@","@","Legend of Zelda, The: Fushigi no Boushi","@","","","2004","Nintendo","jp","","","","","","","","",""
"@",,"6ea20d7d4c8af0d6012d402fa93f867144e66588","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev1; Language en,ja","2004","Konami","jp","","","","","","","","","4"
"@",,"71ee0fe0a666983286c4a5d590dc609b47f8def6","@","@","Legend of Zelda, The: Fushigi no Boushi","@","","","2004","Nintendo","jp","a","a 5","","","zh","","","",""
"@",,"75d8c15ac281ea93c8ac7cc7641c490799557081","@","@","Zoids Saga","@","","","2001","Tomy","jp","","","","","","","","",""
"@",,"76be77c5bc0b6457e40e959b1afff71a65da9322","@","@","Yu-Gi-Oh!: Destiny Board Traveler + Yu-Gi-Oh!: Dungeon Dice Monsters","@","","","2006","Konami","eu","","","","","","","","",""
"@",,"76ec02bbf989ccdb88e3b99b968f066a1ca23247","@","@","Zooo","@","","","2005","Buddiez - Ignition Entertainment - Success","eu","","","","1","","","","",""
"@",,"77db4c447f27b0fe146f09cb3503979f3de0b9b1","@","@","Yu Yu Hakusho: Tournament Tactics","@","","","2004","Atari","us","","","","","","","","","2"
"@",,"7a3a5236fb3a335fbdc7b3ebb80a42766833d40d","@","@","Cars","@","","","2006","THQ","eu,us","!","","","","","","","",""
"@",,"7ed2b25dff8783a924c5d6dfe2add95d766f32f0","@","@","Zero One SP","@","","","2004","Fuuki","jp","","","","","","","","",""
"@",,"8087685e5500d7a0649d17e78e702e7f9a7f70b9","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev0; Language en,ja","2004","Konami","jp","","","","","","","","","6"
"@",,"80d5ad34315133be6cdea8fc40f0d2563c38b3e0","@","@","xXx","@","","","2002","Activision","us","","","","","","","","","1"
"@",,"83067b4574a49ae8d89b79d91e7ce4aad8141e67","@","@","Phalanx","@","","","2001","Kemco","eu","!","","","","","","","",""
"@",,"833a3a8f36273f79d61eb45c4028ce4dadb608cc","@","@","Yu-Gi-Oh!: World Championship Tournament 2004","@","","","2004","Konami","us","","","","","zh","","","",""
"@",,"86b9dfa441d1590aa06b81d20a1210ae1ba1a477","@","@","Zoku Bokura no Taiyou: Taiyou Shounen Django","@","","v rev0; Language en,ja","2004","Konami","jp","","","","","","","","","1"
