"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"120f6b670682cedb0ca6cc8c25ad410423a3563f","@","@","Super Pinball Magic","@","","","1991","Loricel","@","","","","","","","","",""
"@",,"128094fa2999d61466761232b25215e594ad509a","@","@","Pang","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"1c7ac7ab1d571dfa3ee1ad1f2bdd7f9bac9bc8ac","@","@","Dick Tracy","@","","","1990","Titus","@","","","","","","","","",""
"@",,"1e1c65e075c8f3e73d83d42ffe81f1311748432c","@","@","Panza Kick Boxing","@","","","1991","Loriciel","@","","","","","","","","",""
"@",,"1f9faefca86ed8089fe28f4a1836df106dbf4d12","@","@","Pro Tennis Tour","@","","","1990","Ubisoft","@","","","","","","","","",""
"@",,"1fe33ab83f61b729afa42bb56086a7db1c5dc7db","@","@","Klax","@","","","1990","Domark","@","a","a 1","","","","","","",""
"@",,"23ebe7747263e3a976267ca2465d29fa77c845a3","@","@","Burnin' Rubber","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"270844966810b91529d70f3c68f41e3986646659","@","@","No Exit","@","","","1990","Tomahawk","@","","","","","","","","",""
"@",,"28e4e4b3443a1aa060180cad2b01d653727f30a2","@","@","Copter 271","@","","","1991","Loriciels","@","","","","","","","","",""
"@",,"2ca4c437d014847b680b1850cadd36efe5672892","@","@","Operation Thunderbolt","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"2cf3f0140990548b2b3e7f5f7eaf9d7b6ae678af","@","@","Dick Tracy","@","","","1990","Titus","@","","","","","","","","",""
"@",,"2e251eb245e6439691ab5c83179ebae6e6285e44","@","@","Navy Seals","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"35dfc292310768a5ba46fe8b641551f6a77a8ffa","@","@","Mystical","@","","","1990","Infogrames","@","","","","","","","","",""
"@",,"360f2a0538bdaf15c3a69bf8eb82dcb358fbe1d5","@","@","Skeet Shoot","@","","","1990","Trojan","@","","","","","","","","",""
"@",,"38c29ca5f82393e41b5d641c7b4f337381e18827","@","@","Switchblade","@","","","1990","Gremlin","@","","","","","","","","",""
"@",,"3b3a1f870dff22fa0952f2da93e3dc90daef90cc","@","@","Tin Tin on the Moon","@","","","1990","Infogrames","@","","","","","","","","",""
"@",,"3bcd8fe1f519cb8b453d2957f844e84b1e4f28d4","@","@","Fire and Forget 2","@","","","1990","Titus","@","","","","","","","","",""
"@",,"3ff09f19471d8bcd878583f74a553048068b6dff","@","@","Wild Streets","@","","","19xx","Titus","@","","","","","","","","",""
"@",,"405e341437fab8db477606238af0c20eca2e39ee","@","@","Burnin' Rubber","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"425881938d49a810da7ea90ee7b641aed31b0df3","@","@","Batman: The Movie","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"486a5d6f6d9878e393323e51b8d0c6832f72428a","@","@","World of Sports","@","","","1990","Epyx","@","","","","","","","","",""
"@",,"4891370b716c843e94dd784c2eb25b8d2dea4ccd","@","@","No Exit","@","","","1990","Tomahawk","@","a","a 1","","","","","","",""
"@",,"49ab2a2788d79228d64441657ded9db736c98a24","@","@","Plotting","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"49b8a6cf1af1f801fb6109f65674427332005d30","@","@","Klax","@","","","1990","Domark","@","","","","","","","","",""
"@",,"4aebabe556a968be0ffe56cc3f3e12886b58cf7f","@","@","Wild Streets","@","","","1990","Titus","@","","","","","","","","",""
"@",,"4b0a80aa83eaa89f109bad55ae4b067f698faaeb","@","@","Copter 271","@","","","1991","Loriciel","@","","","","","","","","",""
"@",,"4b7e88f1e939172ac5d3b48aadcb978cb1d93f9f","@","@","Panza Kick Boxing","@","","","1991","Loriciel","@","","","","","","","","",""
"@",,"5093c5fa86a403f401a5d0416cf8535d4e6b4e26","@","@","Batman: The Movie","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"5143eff7374e83f798d21fbdb7e952f95faa9e1f","@","@","Plotting","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"541e138f789d4951c2eea9a9810c320b7a9ff6a7","@","@","Pro Tennis Tour","@","","","1990","Ubisoft","@","a","a 1","","","","","","",""
"@",,"567a15d8a892a20ba3c0d3184a0b381b58f0c34c","@","@","Operation Thunderbolt","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"56fa6b5636f9135ddff25bae0cb26bf5acb00022","@","@","The Enforcer","@","Enforcer, The","","1990","Trojan","@","","","","","","","","",""
"@",,"5eb7e056a19cb69c45c3bc575c5ed196e7fbd1f5","@","@","Robocop 2","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"61269b204c3188e14da303e7c778271b92dfc4ae","@","@","Skeet Shoot","@","","","1990","Trojan","@","","","","","","","","",""
"@",,"644b7671a06a37a8d0aa49a3c2e4cfca30e3c9c1","@","@","Batman: The Movie","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"6aab7380067ad224c804793f4e575718ff582042","@","@","Navy Seals","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"6b33ab5184c2af55f3b00c4d81138834bbc6fb5e","@","@","Crazy Cars 2","@","","","1990","Titus","@","","","","","","","","",""
"@",,"6bc5271370eb1ee92f809874f7ef346c2117f9cd","@","@","World of Sports","@","","","1990","Epyx","@","","","","","","","","",""
"@",,"7163872123d61bf575d8a766d9b55ecca0901447","@","@","Plotting","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"754aea95c7fd4c7a61433fb2459bc2f00881940e","@","@","Navy Seals","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"8194bc2eb3af0c0d57d765dae10ea38fa5d9526b","@","@","Barbarian II","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"8a6df955e93465ffe74ca8108cb85b5312470366","@","@","Tennis Cup 2","@","","","1990","Loriciel","@","","","","","","","","",""
"@",,"8b8c966cf70bea3ef8264d3420fbf1ae13aad096","@","@","Barbarian II","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"8efea437f6eeb848de0302254893bc51495f38e7","@","@","Pang","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"8f48816b69c00a3c07a8ddae1f5de2d36a11e966","@","@","Crazy Cars 2","@","","","1990","Titus","@","","","","","","","","",""
"@",,"92c5f229b4d6366611c074a9ca73a1ff1669a679","@","@","Tin Tin on the Moon","@","","","1990","Infogrames","@","","","","","","","","",""
"@",,"92c7f2bb892fe9af4856ffa14e1229012f341d97","@","@","World of Sports","@","","","1990","Epyx","@","a","a 1","","","","","","",""
"@",,"9609c1948dfa84bc51f56d94f9667e6fefdfe145","@","@","Mystical","@","","","1990","Infogrames","@","","","","","","","","",""
"@",,"9712010b8a875fd124f30a6a06ee24d12a46654f","@","@","Fire and Forget 2","@","","","1990","Titus","@","","","","","","","","",""
"@",,"99a77cbafcf3744b2a1dff50a8968ab90a065625","@","@","Operation Thunderbolt","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"9fb694a09a09f84a6519c9e074ff49504a424ccb","@","@","Tennis Cup 2","@","","","1990","Loriciel","@","","","","","","","","",""
"@",,"a05975ebdba4845bb8c5097958f27a3428728f8d","@","@","Burnin' Rubber","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"abf4f8a05956532693c8cc9ec600dd914d89ae45","@","@","Klax","@","","","1990","Domark","@","","","","","","","","",""
"@",,"b508acf81f604b2336758c16546c443c1214c2e9","@","@","Crazy Cars 2","@","","","1990","Titus","@","a","a 1","","","","","","",""
"@",,"cc0bb3f4ad5f30efe47d6afb708da481d46654d8","@","@","Pro Tennis Tour","@","","","1990","Ubisoft","@","","","","","","","","",""
"@",,"cde9a92af3c6b8e219188395d6fdcba43ff5a449","@","@","Robocop 2","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"ce7ab55a83a6003fe3e2b2a3a6f5b318da6f721d","@","@","Switchblade","@","","","1990","Gremlin","@","","","","","","","","",""
"@",,"d460637e306e3b8783cb298698de748df92557cd","@","@","Switchblade","@","","","1990","Gremlin","@","a","a 1","","","","","","",""
"@",,"d7f32c48aeffc3a721c4ecf45f77ac0a2a4ca90b","@","@","No Exit","@","","","1990","Tomahawk","@","","","","","","","","",""
"@",,"df74efe5dcb9049588c3a766ad04126f056e2ac9","@","@","Pang","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"ea98ec9bba1d1bd4c180453ef41e0ec5ccc35d69","@","@","Pang","@","","","1990","Ocean","@","a","a 1","","","","","","",""
"@",,"f188716e69c54c8ffed3b56f12aec3bcdb6eabce","@","@","The Enforcer","@","Enforcer, The","","1990","Trojan","@","","","","","","","","",""
"@",,"f9f22a19bc35c4a032e0563e8e8753c66929bd03","@","@","Super Pinball Magic","@","","","1991","Loricel","@","","","","","","","","",""
"@",,"fa0dacb89f5a655485f93cae5d8d39d8eda5377a","@","@","Robocop 2","@","","","1990","Ocean","@","","","","","","","","",""
"@",,"fac47d41c9904013a0ff43226e360343e2c9e154","@","@","Pang","@","","","1990","Ocean","@","a","a 2","","","","","","",""
"@",,"fe8d1ad76beb42261da2499f7fc16817f4636377","@","@","Wild Streets","@","","","1990","Titus","@","a","a 1","","","","","","",""
