"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"00028c9ff6d31823db506521d650a28af2617616","@","@","Archon II: Adept","@","","","1984","Electronic Arts","us","","[noATR]","","","","","","",""
"@",,"00050fe7c747f1823a594124d7d0581084d59692","@","@","Diese Demo Wurde","@","","","19xx","Benjy","@","","","","","","","","",""
"@",,"000adab162e1ec3969113b2cf47670b4504620aa","@","@","The Sands of Egypt","@","Sands of Egypt, The","","1982","Datasoft","us","","[req OSb]","","","","","","",""
"@",,"000af8fbf5f2576849447c3d2cd25a418a1b4361","@","@","Easy Money + Honky","@","","","1993","L.K. Avalon","pl","","[Easy Money]","","","","","","",""
"@",,"000bab15684c92b7deb26e2f10d5265b7c9a704d","@","@","Final Standings of the Demo-Competition","@","","","19xx","Tron","@","a","a 1","","","","","","",""
"@",,"001974ce3d74a8d2a23e25ffdbe6137df7691291","@","@","Fence Builder","@","","","1986/09","Atari User","gb","","","","","","","","",""
"@",,"001b7095feab47650a3f93e20409b7e7339b92d0","@","@","Computer Crosswords: Dell","@","","","1984","Softie","us","","","","","","","","",""
"@",,"002256232ae2c1c05a7eaff04b057edc799282d8","@","@","Frisky Tom","@","","","2005","Homesoft","de","","[5200]","","","","","","",""
"@",,"0025b3c89a6d0a5dc77af5094172145dcebe9fb9","@","@","Boulder Dash Construction Kit","@","","","1986","First Star Software","@","","","","","","","Terrasoft","",""
"@",,"00337f643790f51abfdb77d52affbc7aa547f545","@","@","Tarkus and the Orbs of Doom","@","","","1993","Tiger Developments","gb","","","","","","","Aura","",""
"@",,"0036dd2710875abc7173ea0bc0d46fa85261bb51","@","@","Gold Diver","@","","(Side B)","1989/04","Zong","de","","","","","","","","",""
"@",,"003d421e87f89894c16dca9b4a99f7eb4494c2f7","@","@","Get Out Your Lazy Bed","@","","","19xx","Kai Foerst","@","","","","","","","","",""
"@",,"004180d6ebabc5f26f4f4742099acd6b60e20a8f","@","@","Chuckie Egg","@","","","1985","A&F Software","gb","","","","","","","N.A.P.O.","",""
