"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"00fed66f800f8bb38f7881d862252886967699a7","@","@","Drumpad","@","","Copyright Public Domain","2002","Robert Jurziga","@","","","","","","","","",""
"@",,"01cab539ecce822787d7c2de87faf4815e1ece79","@","@","Jaguar Server 60Hz","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"01dc37e7a9d03246a93bcb8c6a3116cb6391ed31","@","@","Attack of the Mutant Penguins","@","","","1996","Sunrise Games","@","","","","","","","","",""
"@",,"02253d93eef375c8334f1f77a2d8b72fff7a94c6","@","@","Val D'Isere Skiing & Snowboarding","@","","","1994","Atari","@","","","","","","","","",""
"@",,"024a26f136ecbeaff2c0ada6857d35acb51f05e7","@","@","Joypad Tester","@","","Copyright Public Domain","2000","Matthias Domin","@","a","a 2","","","","","","",""
"@",,"053bf53375d9e2c6d82a39a4a0bf4ce0be078667","@","@","Joypad Tester","@","","Copyright Public Domain","2000","Matthias Domin","@","","","","","","","","",""
"@",,"05742ebd34a34804db2832866f3d814bf7cba331","@","@","Blitter 2","@","","Copyright Public Domain","199x","@","@","a","a 1","","","","","","",""
"@",,"06913c8219bb758b53777f3ff09a622b314060a3","@","@","JSS Demo II","@","","Copyright Public Domain","2002","@","@","","","","","","","","",""
"@",,"074938d609bde33208c639e3e99d58a5cc9c7db3","@","@","Zero Title Screen Demo","@","","Copyright Public Domain","19xx","Storm Works Interactive","@","","[$802000]","","","","","","",""
"@",,"082b2590dd90df9c7906fb63b6e7e9db0617fb67","@","@","Hubble Nebula","@","","Copyright Public Domain","199x","Robert Jurziga","@","","","","","","","","",""
"@",,"089b4d487701b0da6675da3d45691c2a478c5e25","@","@","JagOS 2000","@","","Copyright Public Domain","2000","Favard Laurent","@","","","","","","","","",""
"@",,"0a1c9c9ed162715035e68242881f8b50da85794c","@","@","Arkanoid 2","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
