"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"00129994149fc812d1bb09096001cdcb2c424c45","@","@","Hockey + Tennis","@","","","1976","Fairchild","@","b","b ios rip","","","","","","",""
"@",,"01d3cd0ea849865265d9f441cd6702b83cb7e89d","@","@","Lights Out","@","","Copyright Public Domain","2004","Riddle, Sean","@","a","a 1","","","","","","",""
"@",,"124c9477e330c71c1b94c7559dfa97ec1cc7c2c3","@","@","International Karate Demo Test 5","@","","Copyright Public Domain","200x","@","@","","","","","","","","",""
"@",,"13a5ca0471e6f4a7a5a2fc4d2b8f881516a28ec4","@","@","Democart 2","@","","Demo 1","197x","Fairchild","@","","","","","","","","",""
"@",,"1837e95e6631687fc6d008207e56a31705d55cdf","@","@","Alien Invasion","@","","","1978","Zircon","@","","","","","","","","",""
"@",,"1840255ae91bd02b246c31c268c3a7bfd7bd4dcd","@","@","Channel F Multi-Cart: Menu","@","","","2004","Riddle, Sean","@","a","a 1","","","","","","",""
"@",,"19166d49dec273cae1f2dbac983b130d282ed231","@","@","Hangman","@","","","1978","Fairchild","@","","","","","","","","",""
"@",,"1a952a190b1449c06f2a05ea043afface0105688","@","@","Robot War","@","","Language proto","1977","Fairchild","@","b","b 1","","","","","","",""
"@",,"1ccc13a2f4aeb4538379d77d08ac7bf425bc4780","@","@","Color Organ","@","","","19xx","@","@","","","","","","","","",""
"@",,"1f20a5500b51dfa275049f9b0e3ae14d864cbcfa","@","@","Color Organ","@","","","19xx","@","@","b","b 1","","","","","","",""
"@",,"2683b330dc2350341a51f1e3bdf75922bb425a9e","@","@","Checkers","@","","","1978","Zircon","@","","","","","","","","",""
"@",,"31f9580230fc1b9316032577f78b02c23ae92549","@","@","Pac-Man","@","","","2004","Blackbird - e5frog","@","a","a 3","","","","1","","",""
"@",,"3440928903f39354e1358018cebf12a00c8dff77","@","@","Desert Fox + Shooting Gallery","@","","","1976","Fairchild","@","","","","","","","","",""
"@",,"3b63cc8e4569bb40e16b43ddcc7ff15bcadd6e6d","@","@","Pac-Man","@","","","2004","Blackbird - e5frog","@","a","a 8","","","","1","","",""
"@",,"3bcc037b71f7754e0d91a9101b3b19c14316c838","@","@","F8 of Nations","@","","Copyright Public Domain","200x","nycurt","@","a","a 1","","","","","","",""
"@",,"4011a0361bd6aa457b7fa7d2b52516a9337893fb","@","@","Pac-Man","@","","","2004","Blackbird - e5frog","@","a","a 2","","","","1","","",""
"@",,"43e65171eed732e75e574df00839b8bada1dbd14","@","@","Pac-Man","@","","","2004","Blackbird - e5frog","@","a","a 6","","","","1","","",""
"@",,"4540b1cfca461d6eba26754c34090aa74822a4bd","@","@","Casino Poker","@","","","1978","Zircon","@","","","","","","","","",""
"@",,"4adbdd6aefef2f2b77231e58718b218aceeb0f65","@","@","Test Controls","@","","Copyright Public Domain","200x","e5frog","@","","","","","","","","",""
"@",,"4b0a38b5af525aa598907683f0dcfeaa90d242e0","@","@","Fairchild VES & Channel F BIOS","@","","","1976","Fairchild","@","a","a 2","","","","","","",""
"@",,"4b696a4f8a20f6dcd6a4ba690756d862956515a4","@","@","Magic Numbers + Mind Reader + Nim","@","","","1977","Fairchild","@","","","","","","","","",""
"@",,"4c643e00f32629c066e778be92f37e3f7bfd1ad6","@","@","Math Quiz II: Multiplication + Division","@","","","1977","Fairchild","@","","","","","","","","",""
"@",,"54fdab06a07f84d073858f56a054a59ec0b1142e","@","@","Dodge-It","@","","","1978","Fairchild","@","","","","","","","","",""
"@",,"5dac0cd323eedb1f5153db0b7f8e256f6bfba9ff","@","@","Full Screen Picture Demo","@","","Copyright Public Domain","200x","e5frog","@","a","a 1","","","","","","",""
"@",,"5e70dda9fed1ac70abf98e22d82cafc34a7b9533","@","@","Colortest Demo","@","","","200x","Riddle, Sean","@","","","","","","","","",""
"@",,"6064489fd4ba0b95fa4effcd8ee971751504c63f","@","@","Channel F Multi-Cart","@","","","2004","Riddle, Sean","@","","","","","","","","",""
"@",,"61babb950ebc0b0acab29acf5dcbecc60dcd70a3","@","@","Video Whizball","@","","","1978","Fairchild","@","","","","","","","","",""
"@",,"64b0218f8279331d022f013cfa12133799d5e8dc","@","@","Maze + Jailbreak + Blind-man's-bluff + Trailblazer","@","","","1977","Fairchild","@","","","","","","","","","1"
"@",,"653c0e2f54feeb2ddc909649377e57da658238ad","@","@","Hangman","@","","","1978","Fairchild","@","","","","","","","","","1"
"@",,"66e2d158095721c0c9b4d50de4a6d9925ec62c73","@","@","Spitfire","@","","Language proto","1976","Zircon","@","","","","","","","","",""
"@",,"7077e42b2e8a101da05bb2188d7b65858ca8ec1e","@","@","Glactic Space War","@","","Language proto","197x","Zircon","@","","","","","","","","",""
