"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"0058abea67256b1aad68e836cfa46015d2fdce53","@","@","Super Mario World","@","","","1991","Nintendo","us","","","","","","","","","155"
"@",,"00604c5d42a9ff8695977ba2a40928cfea41fcd5","@","@","Akumajou Dracula XX","@","","Language en,ja","1995","Konami","jp","","","","","","","","","5"
"@",,"007bae96d7ecf3e14d078052f5b6889edf87d245","@","@","Secret of Mana","@","","v rev1; Language en","1994","Square","eu","a","a 2","","","es","","","",""
"@",,"008f7e816a79c72f41aefd4d892af385d261c728","@","@","Ball Bullet Gun: Survival Game Simulation","@","","Language en,ja","1995","Betop - I'Max","jp","","","","","en","","","",""
"@",,"00a74437eb26353976444eccb138ac008893b1fd","@","@","Captain Commando","@","","Language en","1995","Capcom","jp","","","","","","","","","4"
"@",,"00c5863a292f35bcedcc5da88f446e7f668d8e0e","@","@","Primal Rage","@","","","1995","Bitmasters - Time Warner Interactive","us","","","","","","","","","1"
"@",,"00de1576c4c5dc177013d6cdec19087e3693d05d","@","@","Tales of Phantasia","@","","","1994","Namco","jp","","","","","","","","","1"
"@",,"011e0c2c3c527c3e54f5e51d8d4a09aa1fee28b8","@","@","Super Mario World","@","","","1991","Nintendo","us","","","","","","","","","119"
"@",,"012cedca3e5c55da41e47819840d0b0e5cb23853","@","@","Super Mario World","@","","","1991","Nintendo","us","","","","","","","","","11"
"@",,"01cbcbdce9adb8c87942abec8bdcc6d004f973bc","@","@","The Pirates of Dark Water","@","Pirates of Dark Water, The","","1994","Sunsoft","us","","","","1","","","","",""
"@",,"023a3d743270d808a555ee47f55155d47014ccad","@","@","Super Mario World","@","","","1991","Nintendo","us","","","","","","","","","68"
"@",,"026fda91543973971317ff842061c1d0c4b861e0","@","@","Frankenstein","@","","(beta)","1994","Sony","us","","","","","","","","","1"
"@",,"0286244db60ff8c6f0d91545d6297ad460a75e0a","@","@","Little Magic","@","","","1993","Altron","jp","","","","","en","","","",""
"@",,"0296985db05fd0074e115c2e07fbebfb65c0fe64","@","@","Super Mario World","@","","","1991","Nintendo","us","","","","","","","","","137"
"@",,"029f40fd4f19f0722c21eff639f148ba68027fd7","@","@","Final Fantasy IV: Easy Type","@","","","1991","Square","jp","","","","","","","","","1"
"@",,"029fd32f8561b7d1ef9ec17384d4e77ea08cd1ea","@","@","The Twisted Tales of Spike McFang","@","Twisted Tales of Spike McFang, The","","1994","Bullet-Proof Software - Naxat - RED","us","","","","","","","","",""
"@",,"02aec778ffb44dffcebee0ee8b4604690c07160b","@","@","Little Magic","@","","","1993","Altron","jp","a","a 1","","","en","","","",""
"@",,"02ea97563e8af2a958003729f94cc91ab6d07353","@","@","Final Fantasy VI","@","","","1994","Square","jp","","","","","","","","","23"
"@",,"03172e779ff28d99cd3f2429cc2048e13b59a5f5","@","@","Super Turrican 2","@","","","1995","Ocean - Factor 5 - Rainbow Arts","us","","","","","","","","","4"
"@",,"0350f8e43b7b9eac8600239ad15dff202c2b75b3","@","@","Kat's Run: Zennihon K Car Senshuken","@","","","1995","Atlus","jp","","","","","","","","",""
"@",,"0367a3349aa2e780e844943b541e0703e8ae083c","@","@","Kat's Run: Zennihon K Car Senshuken","@","","","1995","Atlus","jp","b","b 2","","","","","","",""
"@",,"0381086ad61745fb7aaa0b3950434eef586d3989","@","@","Rushing Beat Shura","@","","Language en,ja","1993","Jaleco","jp","","","","","","","","",""
"@",,"039d040c85eb09878726a8b957d98f0d58869179","@","@","Sunset Riders","@","","","1993","Konami","us","","","","1","","","","",""
"@",,"039d4270b88e36266f7d3a419bfb23c62160ccce","@","@","Tales of Phantasia","@","","","1994","Namco","jp","a","a 5","","","fr","","","",""
