"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"0006f55e826148cff9e717b582a39a04adf100df","@","@","Ex-Ranza","@","","","1993/05/28","Sega","jp","","","","","","","","",""
"@",,"000bab35fcdec0ed942ddd88f59cda50920306c7","@","@","Batman: Revenge of the Joker","@","","","1992/11","Sunsoft","us","","","","","","","","","3"
"@",,"000d45769e7e9f72f665e160910ba9fb79eec43f","@","@","Wolfchild","@","","","1993/03","JVC","us","","","","","","","","",""
"@",,"00109e6de5b823525b3ba519222fecc4e229f6d1","@","@","The Steel Empire","@","Steel Empire, The","(beta)","1992/06","Flying Edge","eu,us","","[AKA Empire of Steel]","","","","","","",""
"@",,"0011ffe4a310c55fa1e6ffc5ba03b0152422c85f","@","@","Virtua Fighter 2","@","","v rev1","1997/01","Sega","eu,us","b","b 1","","","","","","",""
"@",,"003b01282aff14ccea9390551aba5ac4a9e53825","@","@","NBA Pro Basketball: Bulls vs Lakers","@","","","1993/04/02","Electronic Arts Victor","jp","","","","","","","","",""
"@",,"004f101aef624cf55bd926c6cd650d30b9a6dc94","@","@","Crue Ball","@","","(beta)","1992","Electronic Arts","eu,us","","","","","","","","","1"
"@",,"004f3d6f333795315a072f3f0661ce4e5e91a4ae","@","@","Budokan: The Martial Spirit","@","","","1990/12","Electronic Arts","eu","","","","","","","","",""
"@",,"005440fcd18e850e0ad7c70eeaba13f049204a39","@","@","Splatterhouse 2","@","","","1992/07","Namco","us","","","","2","","","","",""
"@",,"007bee242384db1887c5831657470584ff77a163","@","@","Triple Play: Gold Edition","@","","","1996","Electronic Arts","us","","","","","","","","",""
"@",,"0092cbee204f80dff57e332cd7bd29c801033567","@","@","Thunder Force IV","@","","Language en","1992/07/24","Technosoft","jp","","","","3","","","","",""
"@",,"00a1d99056f5c3957da21be8f55c4576e62f3acc","@","@","Ultraman","@","","Language en,ja","1993/04/09","Ma-Ba","jp","","","","","","","","","1"
"@",,"00a7c1d398b0a5f89112f66a1ff9c523f4f4e327","@","@","Shinobi III: Return of the Ninja Master","@","","","1993/09","Sega","us","","","","","","","","","2"
"@",,"00ad2cf231bedbd373253b169e170e8b0db4c86a","@","@","Mega Turrican","@","","","1994/11","Sony Electronic Publishing","eu","","","","","","","","",""
"@",,"00ad3d22b5cde9434c0677c26bd3b7ce8186fffc","@","@","Shining Force: The Legacy of Great Intention","@","","(beta)","1993","Sega","us","","","","","","","","","1"
"@",,"00cf1595897d194100e6779af47d6d8df38a19c7","@","@","Cyber-Cop","@","","","1992/09","Virgin Games","us","","","","","ru","","","",""
"@",,"00e4266f3cd7ab2178ca37d564bc5315efdbe967","@","@","Pro Action Replay","@","","","1991/11","Datel","eu","a","a 1","","","","1","","",""
"@",,"00f7d87f7e9cd0f33e9008a02a6ae1ecbe4ad24e","@","@","Might and Magic: Gates to Another World","@","","","1991/07","Electronic Arts","eu,us","","","","","","","","","1"
"@",,"0103bbf1d12a6a72ad00515429155b3c6020cfbb","@","@","Mighty Morphin Power Rangers","@","","Language proto","1994/07/18","Sega","@","","","","","","","","",""
